Date,Symbol,Close,Vol2Trade,Z-ScoreDelVolume,NetDel2Vol
2014-05-16,GMRINFRA,28.25,214.04,2.52,228.07
2014-05-27,GMRINFRA,33.4,125.42,1.44,118.65
2014-06-05,GMRINFRA,35.4,300.0,2.42,391.43
2014-07-31,GMRINFRA,26.75,239.35,4.46,48.390000000000015
2014-09-05,GMRINFRA,24.55,158.06,1.45,-2.1500000000000057
2014-10-01,GMRINFRA,17.8,720.0,1.3,580.0
2014-12-03,GMRINFRA,18.95,155.84,2.38,153.24999999999997
2014-12-24,GMRINFRA,16.7,3325.0,2.12,1975.0
2015-01-15,GMRINFRA,17.4,666.67,1.77,513.33
2015-06-03,GMRINFRA,12.95,248.33,1.82,54.99999999999997
2015-11-24,GMRINFRA,14.85,464.29,1.42,42.849999999999966
2017-06-14,GMRINFRA,19.3,380.77,2.38,-151.92
2017-06-27,GMRINFRA,19.25,443.08,1.96,-141.53999999999996
2017-06-29,GMRINFRA,19.0,875.0,4.32,-44.23000000000002
2018-01-15,GMRINFRA,22.1,595.24,2.48,-4.759999999999991
2018-06-28,GMRINFRA,15.25,33300.0,4.05,7200.0
2018-07-10,GMRINFRA,17.05,466.67,1.14,8.329999999999984
2018-07-16,GMRINFRA,17.55,1187.5,1.4,562.5
2019-03-29,GMRINFRA,19.8,331.71,1.15,-51.21999999999997
2020-02-25,GMRINFRA,25.55,346.67,2.68,100.0
2020-03-02,GMRINFRA,20.05,677.78,1.67,-59.25999999999999
2020-03-19,GMRINFRA,16.0,1366.67,1.87,-120.0
2020-08-27,GMRINFRA,25.7,284.93,2.41,45.20999999999998
2021-05-17,GMRINFRA,26.2,105.0,1.08,165.0
2021-06-22,GMRINFRA,32.5,115.58,3.23,-53.46
2022-01-07,GMRINFRA,45.8,123.08,6.07,22.83
2022-02-25,GMRINFRA,37.5,43.97,1.01,27.66
2022-03-28,GMRINFRA,35.9,111.69,2.71,240.26
2022-05-24,GMRINFRA,37.0,486.36,11.84,859.09
2022-08-25,GMRINFRA,34.6,31.36,1.07,59.32000000000001
2023-12-07,GMRINFRA,61.7,336.36,1.04,609.09
2023-12-14,GMRINFRA,77.15,109.12,6.04,57.72999999999999
2024-01-04,GMRINFRA,84.45,130.2,5.22,74.51000000000002
2024-02-02,GMRINFRA,85.2,68.72,4.59,-2.8700000000000045
2024-04-29,GMRINFRA,87.4,81.91,3.82,53.55000000000001
2024-05-23,GMRINFRA,87.2,72.97,1.51,29.06
2024-05-28,GMRINFRA,87.5,83.46,1.92,67.72000000000001
2024-05-29,GMRINFRA,87.0,110.64,2.09,111.7
2024-06-06,GMRINFRA,84.3,69.23,2.82,29.36999999999999
2024-06-14,GMRINFRA,93.92,52.18,4.19,13.080000000000004
2024-06-18,GMRINFRA,97.84,62.5,6.11,24.290000000000006
2024-08-23,GMRINFRA,95.85,103.87,7.08,106.84
2024-09-20,GMRINFRA,94.53,155.85,7.54,245.21
2024-09-23,GMRINFRA,95.29,167.57,3.26,272.97
2024-09-30,GMRINFRA,94.06,32.33,1.21,58.650000000000006
2024-10-09,GMRINFRA,87.69,81.4,3.36,74.88
2024-10-22,GMRINFRA,80.39,27.66,1.05,9.569999999999997
2024-11-28,GMRINFRA,82.49,27.62,1.48,24.13
