Date,Symbol,Prev Close,Open,High,Low,Close,vwap,Volume,Trades,Deliverable Volume,%Deliverble,MWPL,MWPL_Diff,Close_Future,FUT_VOLUME,Open Interest,Expiry,Change in OI,Close_Diff,Position
2015-01-01,GNFC,82.5,82.85,83.2,82.15,82.4,82.76,40027,410,28835,72.04,,,,,,,,,
2015-01-02,GNFC,82.4,82.75,84.35,82.4,83.45,83.82,46822,540,35618,76.07,,,,,,,,,
2015-01-05,GNFC,83.45,83.5,84.5,83.1,83.65,83.66,21591,314,13211,61.19,,,,,,,,,
2015-01-06,GNFC,83.65,82.8,83.2,81.2,81.5,82.06,37175,523,23224,62.47,,,,,,,,,
2015-01-07,GNFC,81.5,81.65,89.0,81.15,84.05,85.09,292473,3101,80892,27.66,,,,,,,,,
2015-01-08,GNFC,84.05,85.0,86.3,84.4,84.95,85.17,45615,571,24446,53.59,,,,,,,,,
2015-01-09,GNFC,84.95,85.4,86.4,83.7,84.55,85.44,45482,737,22586,49.66,,,,,,,,,
2015-01-12,GNFC,84.55,85.15,85.5,83.5,83.75,84.21,10663,264,6837,64.12,,,,,,,,,
2015-01-13,GNFC,83.75,84.2,85.95,81.2,84.85,84.92,64956,940,40320,62.07,,,,,,,,,
2015-01-14,GNFC,84.85,85.8,86.05,84.1,84.35,85.04,26079,414,14070,53.95,,,,,,,,,
2015-01-15,GNFC,84.35,83.9,86.0,83.45,83.95,84.5,45079,495,30600,67.88,,,,,,,,,
2015-01-16,GNFC,83.95,83.85,85.0,83.7,83.95,84.09,15000,249,8827,58.85,,,,,,,,,
2015-01-19,GNFC,83.95,84.25,85.7,84.05,85.15,84.92,91372,825,41617,45.55,,,,,,,,,
2015-01-20,GNFC,85.15,85.85,86.45,84.0,85.55,85.59,69300,939,40127,57.9,,,,,,,,,
2015-01-21,GNFC,85.55,85.75,92.75,85.05,90.45,89.59,348108,3959,163794,47.05,,,,,,,,,
2015-01-22,GNFC,90.45,91.5,93.35,90.7,92.65,92.22,531600,4549,185177,34.83,,,,,,,,,
2015-01-23,GNFC,92.65,93.0,95.0,90.0,90.4,92.01,273847,2397,158668,57.94,,,,,,,,,
2015-01-27,GNFC,90.4,90.4,92.3,88.6,89.2,90.24,80089,878,59886,74.77,,,,,,,,,
2015-01-28,GNFC,89.2,89.8,89.8,86.45,87.35,87.66,73440,1187,40159,54.68,,,,,,,,,
2015-01-29,GNFC,87.35,87.05,88.15,86.1,86.65,87.04,30582,553,18254,59.69,,,,,,,,,
2015-01-30,GNFC,86.65,87.55,88.65,86.1,86.6,87.21,40297,460,22118,54.89,,,,,,,,,
2015-02-02,GNFC,86.6,83.7,83.7,80.7,81.45,81.77,247909,2659,155092,62.56,,,,,,,,,
2015-02-03,GNFC,81.45,82.4,83.65,81.0,81.85,82.55,102021,961,60202,59.01,,,,,,,,,
2015-02-04,GNFC,81.85,82.0,84.0,82.0,82.85,82.92,82576,809,58479,70.82,,,,,,,,,
2015-02-05,GNFC,82.85,82.9,83.7,81.5,81.65,82.62,57299,850,29910,52.2,,,,,,,,,
2015-02-06,GNFC,81.65,81.55,81.95,79.0,80.15,80.87,72920,785,51847,71.1,,,,,,,,,
2015-02-09,GNFC,80.15,80.45,80.45,78.4,78.55,78.98,30087,541,21486,71.41,,,,,,,,,
2015-02-10,GNFC,78.55,78.75,79.55,77.65,78.7,78.72,28623,372,21683,75.75,,,,,,,,,
2015-02-11,GNFC,78.7,79.85,79.9,78.0,79.5,79.24,21619,385,11349,52.5,,,,,,,,,
2015-02-12,GNFC,79.5,80.1,82.0,78.15,79.9,80.52,46969,908,22115,47.08,,,,,,,,,
2015-02-13,GNFC,79.9,81.3,81.3,79.2,80.0,80.14,20829,445,13601,65.3,,,,,,,,,
2015-02-16,GNFC,80.0,80.0,81.5,79.2,80.25,80.25,25706,393,18866,73.39,,,,,,,,,
2015-02-18,GNFC,80.25,80.2,84.35,79.4,82.65,82.63,93531,1281,41709,44.59,,,,,,,,,
2015-02-19,GNFC,82.65,84.0,85.25,82.5,83.5,84.23,107360,1174,57746,53.79,,,,,,,,,
