DeiiveryToTrade_CAT,VolumeToTrade_CAT,TradeDel2VolDiff_CAT,next_day_fluctuates,next_day_CandleType,percentage_fluctuation,TotalCount
High,High,High,27.17500000000001,Bearish,2,2
High,High,Low,26.675000000000008,Bearish,22,22
High,High,Medium,30.49285714285715,Bearish,7,7
High,High,Very Low,29.953214285714303,Bearish,140,140
High,Low,Low,15.399999999999977,Bullish,1,1
High,Low,Medium,23.995833333333323,Bearish,12,12
High,Medium,Low,25.037500000000012,Bullish,12,12
High,Medium,Medium,27.95,Bearish,17,17
High,Medium,Very Low,31.849999999999994,Bearish,8,8
High,Very High,High,25.850000000000005,Bearish,20,20
High,Very High,Low,24.285714285714285,Bullish,7,7
High,Very High,Medium,25.19062500000001,Bullish,16,16
High,Very High,Very High,21.488636363636374,Bearish,22,22
High,Very High,Very Low,20.94999999999999,Bearish,4,4
High,Very Low,High,25.518181818181834,Bearish,11,11
High,Very Low,Medium,28.842307692307706,Bearish,13,13
High,Very Low,Very Low,26.19999999999999,Bearish,2,2
Low,High,High,22.05000000000003,Bullish,15,15
Low,High,Very High,19.90250000000001,Bullish,20,20
Low,Low,Low,27.31400000000001,Bullish,25,25
Low,Low,Medium,29.5,Bullish,3,3
Low,Low,Very Low,31.218235294117665,Bearish,85,85
Low,Medium,High,23.446666666666655,Bearish,15,15
Low,Medium,Low,32.95000000000002,Bullish,4,4
Low,Medium,Medium,22.07857142857143,Bullish,21,21
Low,Medium,Very Low,16.72857142857143,Bearish,7,7
Low,Very High,Very High,33.075,Bearish,8,8
Low,Very Low,High,21.578571428571404,Bearish,7,7
Low,Very Low,Low,33.70972222222224,Bullish,36,36
Low,Very Low,Medium,27.360344827586225,Bearish,58,58
Low,Very Low,Very Low,39.92272727272727,Bearish,11,11
Medium,High,High,22.547222222222242,Bearish,18,18
Medium,High,Low,33.11428571428574,Bearish,7,7
Medium,High,Medium,19.553571428571427,Bearish,14,14
Medium,High,Very High,19.650000000000034,Bearish,4,4
Medium,High,Very Low,23.12499999999997,Bearish,4,4
Medium,Low,Low,25.351315789473688,Bearish,38,38
Medium,Low,Medium,31.274999999999988,Bearish,10,10
Medium,Low,Very Low,35.441666666666684,Bullish,18,18
Medium,Medium,Low,23.795833333333338,Bearish,12,12
Medium,Medium,Very Low,28.97091503267976,Bearish,153,153
Medium,Very High,High,14.899999999999864,Bearish,1,1
Medium,Very High,Very High,20.528571428571418,Bearish,14,14
Medium,Very Low,High,30.237499999999983,Bearish,4,4
Medium,Very Low,Medium,23.261764705882367,Bearish,17,17
Medium,Very Low,Very Low,15.050000000000011,Bearish,2,2
Very High,High,High,33.08333333333329,Bearish,3,3
Very High,High,Low,23.815624999999997,Bullish,16,16
Very High,High,Medium,25.596296296296305,Bullish,27,27
Very High,High,Very Low,35.129166666666684,Bullish,12,12
Very High,Low,High,25.273333333333365,Bullish,15,15
Very High,Low,Medium,16.30000000000001,Bearish,2,2
Very High,Medium,High,28.60833333333333,Bearish,6,6
Very High,Medium,Medium,21.924999999999997,Bearish,16,16
Very High,Very High,High,24.944444444444454,Bullish,36,36
Very High,Very High,Low,29.238297872340432,Bearish,47,47
Very High,Very High,Medium,25.17444444444447,Bullish,45,45
Very High,Very High,Very High,31.429411764705865,Bearish,17,17
Very High,Very High,Very Low,31.661956521739125,Bearish,46,46
Very High,Very Low,High,23.697727272727267,Bullish,22,22
Very High,Very Low,Medium,19.749999999999943,Bearish,2,2
Very High,Very Low,Very Low,33.039999999999985,Bearish,5,5
Very Low,High,Very High,28.54565217391305,Bearish,23,23
Very Low,Low,High,30.36500000000001,Bearish,20,20
Very Low,Low,Low,25.022222222222215,Bearish,9,9
Very Low,Low,Medium,30.366666666666664,Bullish,12,12
Very Low,Low,Very High,25.89166666666668,Bearish,24,24
Very Low,Low,Very Low,23.133333333333326,Bullish,3,3
Very Low,Medium,High,33.950000000000045,Bearish,1,1
Very Low,Medium,Very High,22.013636363636355,Bullish,22,22
Very Low,Very High,Very High,25.318749999999994,Bullish,16,16
Very Low,Very Low,High,32.64814814814814,Bullish,27,27
Very Low,Very Low,Low,29.31020408163266,Bearish,49,49
Very Low,Very Low,Medium,30.738372093023276,Bearish,43,43
Very Low,Very Low,Very High,25.34047619047619,Bullish,21,21
Very Low,Very Low,Very Low,34.071875,Bullish,48,48
