Date,Symbol,Volume,Trades,Deliverable Volume,DeiiveryToTrade,VolumeToTrade,TradeDel2VolDiff,Z-ScoreDelVolume_IMP,VolumeZscore_IMP,TradesZscore_IMP,FuturePremium_IMP,Z-ScoreDelVolume,VolumeZscore,TradesZscore,Del2Trade,Vol2Trade,NetDel2Vol,NetDel2Vol_IMP,ClosePriceDiff,Supply_Demand_Strength,DeiiveryToTrade_IMP,VolumeToTrade_IMP,TradeDel2VolDiff_IMP,Rolling_TWPC_Vol,Close,Close_Diff,Close_Future,Fut2Close%Change,FuturePremium,Fluc-Zscore,MWPL_Diff,Change in OI,MWPLDiffZscore,Prev Close,Open,High,Low,vwap,Open Interest,Expiry,MWPL,Position,BuyingPressure,SellingPressure,fluctuates,CandleSwipe,SwipePercent,SwipeType,CandleType,Return,Change,Supply_Demand_Strength,VWAP_12,VWAP_26,VWAP_Diff_Rate_Change,Per_Trade_Volume_to_Price,VolPerTrade_ROC,Histogram_VWAP,MACD_VWAP,SignalLine_VWAP,Histogram_VWAP_Close,MACD_Signal,MACD_Signal_Close,MACD_VWAP_Close,SignalLine_VWAP_Close,EWMA20BUYPRE,EWMA50BUYPRE,BUYSIGNAL,EWMA20SELLPRE,EWMA50SELLPRE,SELLSIGNAL,Price Change,Log(Volume),Price Movement with Volume,VTR,PCVR,CSI,EWMA20_VolPerTrade,EWMA50_VolPerTrade,VolPerTradeSIGNAL
2010-01-04,GRASIM,242897,,136163,183.33,117.02,36.17,Medium,Medium,,Very High,-0.36,-0.47,-1.02,35.29,46.08,-10.79,Medium,,Neutral,Very High,High,Medium,,2544.1,,2556.9,,12.800000000000182,0.67,,50512.0,-0.0,2475.05,2487.05,2551.0,2476.0,2519.02,1064096.0,2010-01-28,,Undecisive,,,75.0,,,,,,,Neutral,,,,,,,,,0.0,,,0.0,0.0,,,False,,,False,,12.400392764152363,,,,,,,False
2010-01-05,GRASIM,296799,,157120,229.03,142.86,37.62,Medium,Medium,,Low,-0.31,-0.42,-1.02,30.39,41.18,-10.79,Medium,84.05,Low Supply,Very High,Very High,Medium,,2628.15,71.40000000000009,2628.3,-0.5099999999999998,0.15000000000009095,1.07,,-87648.0,-0.0,2544.1,2555.0,2639.0,2550.0,2610.15,976448.0,2010-01-28,,ShortCovering,78.15,10.85,89.0,False,0.0,NoSwipe,Bullish,0.03250322373763925,84.05000000000018,Low Supply,,,,,,,,,1.51,,Buy,1.8900000000003274,0.38,78.15,78.15,False,10.85,10.85,False,84.05000000000018,12.60081042099745,1059.0981158848379,,0.0002831882856748176,,,,False
2010-01-06,GRASIM,423946,,244401,628.57,240.0,61.82,High,Medium,,Low,-0.14,-0.3,-1.02,13.73,29.41,-15.68,Medium,108.8,Low Supply,Very High,Very High,High,,2736.95,108.44999999999982,2736.75,-0.009999999999999787,-0.1999999999998181,2.59,,-43648.0,-0.0,2628.15,2629.9,2756.4,2615.1,2676.18,932800.0,2010-01-28,,ShortCovering,121.85,19.45,141.3,False,0.0,NoSwipe,Bullish,0.04056398509577086,108.79999999999973,Low Supply,,,,,,,,,4.32,,Buy,5.7800000000002,1.46,107.28,101.04,True,16.58,15.48,True,108.79999999999973,12.957361367612748,1409.7609167962635,,0.00025663645841687323,,,,False
2010-01-07,GRASIM,229856,,67957,108.16,112.5,4.01,Medium,Medium,,Low,-0.49,-0.48,-1.02,48.04,47.06,0.9799999999999969,High,-62.45,Low Demand,High,High,Low,,2674.5,-62.05000000000018,2674.7,0.009999999999999787,0.1999999999998181,0.89,,-35376.0,-0.0,2736.95,2737.0,2747.9,2665.3,2697.0,897424.0,2010-01-28,,LongUnwinding,9.2,73.4,82.6,False,0.0,,Bearish,-0.023081714725672775,-62.44999999999982,Low Demand,,,,,,,,,2.95,,Buy,5.150000000000091,2.2,51.24,67.47,False,49.05,37.83,True,-62.44999999999982,12.345208304874529,-770.9582586394121,,-0.0002716918418488089,,,,False
2010-01-08,GRASIM,352687,,181280,277.78,175.68,36.76,Medium,Medium,,Low,-0.27,-0.37,-1.02,26.47,36.27,-9.800000000000004,Medium,82.8,Low Supply,Very High,Very High,Medium,,2757.3,73.35000000000036,2748.05,-0.3599999999999999,-9.25,1.58,,-19184.0,-0.0,2674.5,2691.0,2776.7,2670.15,2738.43,878240.0,2010-01-28,,ShortCovering,87.15,19.4,106.55,False,0.0,NoSwipe,Bullish,0.03048949306086879,82.80000000000018,Low Supply,,,,,,,,,4.63,,Buy,7.989999999999782,3.36,70.39,73.11,False,33.24,32.11,True,82.80000000000018,12.773336257024862,1057.632242081661,,0.00023476907286063898,,,,False
2010-01-11,GRASIM,258989,,106562,148.78,126.67,14.86,Medium,Medium,,Low,-0.41,-0.45,-1.02,40.2,44.12,-3.9199999999999946,High,55.3,Low Supply,High,High,Low,,2812.6,61.04999999999973,2809.1,0.2100000000000004,-3.5,2.08,,-33792.0,-0.0,2757.3,2762.0,2834.75,2711.0,2785.94,844448.0,2010-01-28,,ShortCovering,101.6,22.15,123.75,False,0.0,NoSwipe,Bullish,0.01985738240397339,55.29999999999973,Low Supply,,,,,,,,,6.85,,Buy,11.920000000000073,5.07,86.5,79.94,True,27.51,29.46,False,55.29999999999973,12.464540868737284,689.2891100411684,,0.00021352258204016282,,,,False
2010-01-12,GRASIM,215476,,43180,88.89,108.16,21.68,Medium,Medium,,Low,-0.54,-0.49,-1.02,52.94,48.04,4.899999999999999,High,-16.1,Low Demand,High,High,Low,,2796.5,-19.299999999999727,2789.8,-0.12,-6.699999999999818,0.28,,-30800.0,-0.0,2812.6,2814.95,2832.75,2771.0,2804.46,813648.0,2010-01-28,,LongUnwinding,25.5,36.25,61.75,False,0.0,,Bearish,-0.0057406871745042665,-16.09999999999991,Low Demand,,,,,,,,,6.75,,Buy,13.510000000000218,6.76,55.52,68.58,False,31.95,31.07,True,-16.09999999999991,12.280604813414449,-197.7177374959715,,-7.471829809352275e-05,,,,False
2010-01-13,GRASIM,192870,,48507,92.45,100.0,8.17,Medium,Medium,,Low,-0.53,-0.51,-1.02,51.96,50.0,1.9600000000000009,High,35.05,Low Supply,High,High,Low,,2831.55,41.09999999999991,2830.9,0.21999999999999997,-0.650000000000091,1.4,,-24640.0,-0.0,2796.5,2785.0,2861.2,2761.0,2804.5,789008.0,2010-01-28,,ShortCovering,70.55,29.65,100.2,True,1.0,BothHighLowSwipe,Bullish,0.012455629621209496,35.05000000000018,Low Supply,,,,,,,,,7.4,,Buy,16.01000000000022,8.61,63.09,68.95,False,30.79,30.76,True,35.05000000000018,12.169771665803841,426.55049688642686,,0.00018172862549904175,,,,False
2010-01-14,GRASIM,176588,,55780,100.0,92.45,7.55,Medium,Medium,,Low,-0.51,-0.53,-1.02,50.0,51.96,-1.9600000000000009,High,10.65,Low Supply,High,High,Low,,2842.2,9.599999999999907,2840.5,-0.03999999999999998,-1.699999999999818,0.2,,-4576.0,-0.0,2831.55,2839.9,2889.0,2830.1,2869.07,784432.0,2010-01-28,,ShortCovering,12.1,46.8,58.9,True,0.98,CandleHighSwipe,Bullish,0.0037541352749093093,10.649999999999636,Low Supply,,,,,,,,,7.54,,Buy,18.029999999999745,10.49,37.5,59.26,False,38.83,33.99,True,10.649999999999636,12.081574614673404,128.66876964626735,,6.0309873830609307e-05,,,,False
2010-01-15,GRASIM,197834,,93027,131.82,100.0,24.14,Medium,Medium,,Low,-0.44,-0.51,-1.02,43.14,50.0,-6.859999999999999,High,5.2,Low Supply,High,High,Low,,2847.4,6.449999999999818,2846.95,0.05000000000000002,-0.45000000000027285,-0.09,,-6336.0,-0.0,2842.2,2835.1,2873.9,2825.0,2857.49,778096.0,2010-01-28,,ShortCovering,22.4,26.5,48.9,True,0.18,CandleLowSwipe,Bullish,0.0018278970218839063,5.200000000000273,Low Supply,,,,,,,,,7.19,,Buy,19.480000000000018,12.29,29.93,53.44,False,32.65,32.57,True,5.200000000000273,12.195183574198005,63.41495458583295,,2.6284662899199696e-05,,,,False
