Date,Symbol,Expiry,Open,High,Low,Close,Settle Price,FUT_VOLUME,Number of Contracts,Open Interest,Change in OI
2024-12-12,GUJGASLTD,2024-12-26,511.75,516.65,507.5,509.45,509.45,1552500.0,1242.0,6533750,62500
2024-12-11,GUJGASLTD,2024-12-26,506.95,523.0,506.95,519.75,519.75,2295000.0,1836.0,6471250,-165000
2024-12-10,GUJGASLTD,2024-12-26,505.15,517.95,505.0,510.35,510.35,5641250.0,4513.0,6636250,262500
2024-12-09,GUJGASLTD,2024-12-26,516.55,522.35,503.75,505.25,505.25,2726250.0,2181.0,6373750,53750
2024-12-06,GUJGASLTD,2024-12-26,505.0,518.4,496.7,515.1,515.1,3065000.0,2452.0,6320000,240000
2024-12-05,GUJGASLTD,2024-12-26,500.85,504.9,493.75,502.9,502.9,2886250.0,2309.0,6080000,390000
2024-12-04,GUJGASLTD,2024-12-26,497.25,504.0,494.95,496.45,496.45,2012500.0,1610.0,5690000,-193750
2024-12-03,GUJGASLTD,2024-12-26,485.6,498.35,482.45,497.15,497.15,3405000.0,2724.0,5883750,267500
2024-12-02,GUJGASLTD,2024-12-26,477.65,484.25,476.1,482.6,482.6,1490000.0,1192.0,5616250,-100000
2024-11-29,GUJGASLTD,2024-12-26,471.45,482.55,471.45,481.0,481.0,1983750.0,1587.0,5716250,50000
2024-11-28,GUJGASLTD,2024-11-28,474.05,477.8,470.25,471.45,472.0,3327500.0,2662.0,936250,-1530000
2024-11-27,GUJGASLTD,2024-11-28,472.95,475.65,468.85,472.9,472.9,2748750.0,2199.0,2466250,-1262500
2024-11-26,GUJGASLTD,2024-11-28,465.65,475.75,465.65,474.35,474.35,2573750.0,2059.0,3728750,-1120000
2024-11-25,GUJGASLTD,2024-11-28,467.35,469.8,462.05,466.2,466.2,5118750.0,4095.0,4848750,-1476250
2024-11-22,GUJGASLTD,2024-11-28,452.3,465.25,452.3,463.1,463.1,2180000.0,1744.0,6325000,-361250
2024-11-21,GUJGASLTD,2024-11-28,450.15,459.15,442.85,452.7,452.7,2365000.0,1892.0,6686250,-406250
2024-11-19,GUJGASLTD,2024-11-28,454.85,458.3,448.5,449.9,449.9,2655000.0,2124.0,7092500,-290000
2024-11-18,GUJGASLTD,2024-11-28,479.1,482.55,441.5,452.45,452.45,11033750.0,8827.0,7382500,-93750
2024-11-14,GUJGASLTD,2024-11-28,496.65,498.4,486.1,487.75,487.75,1247500.0,998.0,7476250,56250
2024-11-13,GUJGASLTD,2024-11-28,501.9,507.7,491.7,493.55,493.55,1962500.0,1570.0,7420000,-78750
2024-11-12,GUJGASLTD,2024-11-28,520.85,524.3,503.05,504.5,504.5,2271250.0,1817.0,7498750,177500
2024-11-11,GUJGASLTD,2024-11-28,520.05,527.7,518.65,519.7,519.7,1610000.0,1288.0,7321250,17500
2024-11-08,GUJGASLTD,2024-11-28,538.3,539.0,518.15,523.4,523.4,3452500.0,2762.0,7303750,175000
2024-11-07,GUJGASLTD,2024-11-28,532.5,553.45,532.45,542.6,542.6,7030000.0,5624.0,7128750,-388750
2024-11-06,GUJGASLTD,2024-11-28,519.55,531.0,517.4,529.2,529.2,2938750.0,2351.0,7517500,257500
2024-11-05,GUJGASLTD,2024-11-28,515.35,518.0,505.6,515.3,515.3,1615000.0,1292.0,7260000,-57500
2024-11-04,GUJGASLTD,2024-11-28,525.45,525.5,509.75,516.0,516.0,1585000.0,1268.0,7317500,-142500
2024-11-01,GUJGASLTD,2024-11-28,525.0,525.75,521.15,523.55,523.55,130000.0,104.0,7460000,-13750
2024-10-31,GUJGASLTD,2024-10-31,527.0,527.0,516.85,518.35,519.15,4403750.0,3523.0,1320000,-1626250
2024-10-30,GUJGASLTD,2024-10-31,529.45,533.45,525.9,527.5,527.5,2111250.0,1689.0,2946250,-1106250
2024-10-29,GUJGASLTD,2024-10-31,528.2,532.0,520.3,530.6,530.6,3300000.0,2640.0,4052500,-1922500
2024-10-28,GUJGASLTD,2024-10-31,526.3,532.35,519.0,528.35,528.35,3403750.0,2723.0,5975000,-1155000
2024-10-25,GUJGASLTD,2024-10-31,538.0,538.0,521.45,526.85,526.85,2492500.0,1994.0,7130000,-48750
2024-10-24,GUJGASLTD,2024-10-31,536.2,545.4,534.0,538.1,538.1,1185000.0,948.0,7178750,-123750
2024-10-23,GUJGASLTD,2024-10-31,545.1,547.5,533.3,542.25,542.25,2306250.0,1845.0,7302500,-135000
2024-10-22,GUJGASLTD,2024-10-31,552.0,558.25,536.25,537.9,537.9,2093750.0,1675.0,7437500,-132500
2024-10-21,GUJGASLTD,2024-10-31,571.25,571.35,546.65,548.3,548.3,1840000.0,1472.0,7570000,41250
2024-10-18,GUJGASLTD,2024-10-31,561.25,569.3,545.25,565.75,565.75,6855000.0,5484.0,7528750,-170000
2024-10-17,GUJGASLTD,2024-10-31,591.65,591.65,569.65,571.45,571.45,1632500.0,1306.0,7698750,-11250
2024-10-16,GUJGASLTD,2024-10-31,587.95,593.0,580.4,588.45,588.45,2280000.0,1824.0,7710000,-152500
2024-10-15,GUJGASLTD,2024-10-31,593.55,595.5,585.75,587.95,587.95,2145000.0,1716.0,7862500,408750
2024-10-14,GUJGASLTD,2024-10-31,598.1,604.0,585.65,590.1,590.1,2362500.0,1890.0,7453750,303750
