Date,Symbol,Prev Close,Open,High,Low,Close,vwap,Volume,Trades,Deliverable Volume,%Deliverble,Z-ScoreDelVolume
2025-03-26,GUJGASLTD,410.65,410.65,410.9,403.0,404.7,406.46,312039,12996,140459,45.01,-0.61
2025-03-25,GUJGASLTD,416.0,418.0,420.0,406.2,410.65,410.6,331397,17151,138695,41.85,-0.62
2025-03-24,GUJGASLTD,413.25,415.0,421.8,412.5,416.0,416.41,421384,15655,164729,39.09,-0.56
2025-03-21,GUJGASLTD,402.45,402.5,415.5,400.4,413.25,409.95,687219,24251,375537,54.65,-0.11
2025-03-20,GUJGASLTD,393.3,393.0,405.9,391.35,402.45,401.94,716882,29543,228072,31.81,-0.42
2025-03-19,GUJGASLTD,382.85,382.85,398.0,382.85,393.3,391.91,520176,18065,229330,44.09,-0.42
2025-03-18,GUJGASLTD,377.95,380.0,384.0,377.25,382.85,381.22,351403,11905,114650,32.63,-0.67
2025-03-17,GUJGASLTD,387.55,389.0,391.2,376.0,377.95,381.79,473738,16305,172667,36.45,-0.54
2025-03-13,GUJGASLTD,385.55,390.0,394.65,385.1,387.55,388.56,598565,21481,252075,42.11,-0.37
2025-03-12,GUJGASLTD,382.0,384.0,399.9,382.5,385.55,390.9,1600419,57979,510018,31.87,0.18
2025-03-11,GUJGASLTD,383.8,380.0,384.95,377.3,382.0,381.69,218624,10111,99238,45.39,-0.7
2025-03-10,GUJGASLTD,389.0,390.0,393.05,380.0,383.8,386.55,538434,26166,243727,45.27,-0.39
2025-03-07,GUJGASLTD,393.6,392.75,395.6,387.1,389.0,389.99,1189250,29176,827885,69.61,0.87
2025-03-06,GUJGASLTD,385.75,390.0,396.9,389.0,393.6,392.61,686047,31561,315497,45.99,-0.24
2025-03-05,GUJGASLTD,370.2,371.95,389.0,370.0,385.75,379.86,727097,33941,396114,54.48,-0.06
2025-03-04,GUJGASLTD,372.0,369.6,372.95,364.5,370.2,369.69,1656208,33566,1222551,73.82,1.72
2025-03-03,GUJGASLTD,370.35,370.35,375.0,360.25,372.0,366.87,556798,29040,188266,33.81,-0.51
