DeiiveryToTrade_CAT,VolumeToTrade_CAT,TradeDel2VolDiff_CAT,next_day_fluctuates,next_day_CandleType,percentage_fluctuation,TotalCount
High,High,Low,104.39000000000003,Bullish,10,10
High,High,Medium,85.11249999999995,Bullish,4,4
High,High,Very Low,85.92678571428566,Bearish,28,28
High,Low,High,82.46818181818186,Bullish,11,11
High,Low,Medium,65.17500000000007,Bearish,6,6
High,Medium,High,29.34999999999991,Bearish,1,1
High,Medium,Low,116.90500000000002,Bearish,10,10
High,Medium,Medium,76.02105263157895,Bearish,19,19
High,Medium,Very Low,64.84999999999991,Bearish,2,2
High,Very High,High,96.59999999999998,Bearish,7,7
High,Very High,Low,32.75,Bearish,1,1
High,Very High,Medium,141.9749999999999,Bullish,2,2
High,Very High,Very High,73.3250000000001,Bullish,8,8
High,Very High,Very Low,63.84999999999991,Bullish,1,1
High,Very Low,High,93.7062499999999,Bearish,16,16
High,Very Low,Very Low,30.0,Bullish,1,1
Low,High,High,75.06666666666631,Bearish,3,3
Low,High,Very High,72.77999999999994,Bullish,10,10
Low,Low,High,71.55000000000018,Bearish,1,1
Low,Low,Low,99.48076923076923,Bearish,13,13
Low,Low,Medium,98.77999999999983,Bearish,5,5
Low,Low,Very Low,131.5636363636364,Bearish,11,11
Low,Medium,High,77.20000000000005,Bullish,5,5
Low,Medium,Low,74.3333333333333,Bearish,6,6
Low,Medium,Medium,129.4625000000001,Bullish,4,4
Low,Medium,Very High,38.25,Bearish,1,1
Low,Medium,Very Low,68.34999999999991,Bearish,1,1
Low,Very High,Very High,97.89166666666677,Bearish,12,12
Low,Very Low,High,113.38437499999995,Bullish,16,16
Low,Very Low,Low,137.68,Bearish,5,5
Low,Very Low,Medium,89.76142857142848,Bearish,35,35
Low,Very Low,Very Low,90.65000000000009,Bullish,1,1
Medium,High,High,114.25499999999997,Bullish,10,10
Medium,High,Low,78.30000000000018,Bullish,1,1
Medium,High,Medium,68.30999999999999,Bullish,5,5
Medium,High,Very High,65.94999999999982,Bearish,2,2
Medium,High,Very Low,113.91666666666659,Bearish,3,3
Medium,Low,Low,109.39999999999998,Bullish,8,8
Medium,Low,Medium,99.55238095238089,Bearish,21,21
Medium,Low,Very Low,221.05000000000018,Bullish,1,1
Medium,Medium,Low,88.21874999999997,Bearish,8,8
Medium,Medium,Medium,186.05000000000018,Bullish,1,1
Medium,Medium,Very Low,75.14230769230765,Bearish,13,13
Medium,Very High,Very High,120.46538461538466,Bearish,13,13
Medium,Very Low,High,141.6021739130435,Bullish,23,23
Medium,Very Low,Medium,103.14230769230768,Bearish,13,13
Very High,High,High,74.9615384615384,Bullish,13,13
Very High,High,Low,34.049999999999955,Bullish,2,2
Very High,High,Medium,67.52499999999998,Bullish,8,8
Very High,High,Very Low,70.30000000000018,Bullish,1,1
Very High,Low,High,68.23809523809526,Bearish,21,21
Very High,Medium,High,87.13846153846156,Bearish,26,26
Very High,Medium,Medium,108.38333333333321,Bullish,3,3
Very High,Very High,High,99.24615384615373,Bullish,13,13
Very High,Very High,Low,87.81249999999997,Bullish,8,8
Very High,Very High,Medium,71.58749999999986,Bearish,4,4
Very High,Very High,Very High,72.54000000000005,Bullish,5,5
Very High,Very High,Very Low,99.99166666666645,Bearish,6,6
Very High,Very Low,High,77.86250000000003,Bearish,12,12
Very High,Very Low,Very Low,76.35000000000021,Bearish,3,3
Very Low,High,Very High,108.95000000000003,Bullish,12,12
Very Low,Low,High,79.79,Bullish,5,5
Very Low,Low,Medium,132.7249999999999,Bearish,2,2
Very Low,Low,Very High,115.35555555555551,Bullish,9,9
Very Low,Medium,High,350.0,Bearish,1,1
Very Low,Medium,Very High,107.96000000000001,Bullish,15,15
Very Low,Very High,Very High,111.47083333333336,Bearish,12,12
Very Low,Very Low,High,102.34999999999997,Bullish,20,20
Very Low,Very Low,Low,75.82083333333321,Bearish,12,12
Very Low,Very Low,Medium,116.24047619047616,Bullish,21,21
Very Low,Very Low,Very High,294.26249999999993,Bullish,8,8
Very Low,Very Low,Very Low,194.23888888888885,Bearish,9,9
