Date,Symbol,Volume,Trades,Deliverable Volume,DeiiveryToTrade,VolumeToTrade,TradeDel2VolDiff,Z-ScoreDelVolume_IMP,VolumeZscore_IMP,TradesZscore_IMP,FuturePremium_IMP,Z-ScoreDelVolume,VolumeZscore,TradesZscore,Del2Trade,Vol2Trade,NetDel2Vol,NetDel2Vol_IMP,ClosePriceDiff,Supply_Demand_Strength,DeiiveryToTrade_IMP,VolumeToTrade_IMP,TradeDel2VolDiff_IMP,Rolling_TWPC_Vol,Close,Close_Diff,Close_Future,Fut2Close%Change,FuturePremium,Fluc-Zscore,MWPL_Diff,Change in OI,MWPLDiffZscore,Prev Close,Open,High,Low,vwap,Open Interest,Expiry,MWPL,Position,BuyingPressure,SellingPressure,fluctuates,CandleSwipe,SwipePercent,SwipeType,CandleType,Return,Change,Supply_Demand_Strength,VWAP_12,VWAP_26,VWAP_Diff_Rate_Change,Per_Trade_Volume_to_Price,VolPerTrade_ROC,Histogram_VWAP,MACD_VWAP,SignalLine_VWAP,Histogram_VWAP_Close,MACD_Signal,MACD_Signal_Close,MACD_VWAP_Close,SignalLine_VWAP_Close,EWMA20BUYPRE,EWMA50BUYPRE,BUYSIGNAL,EWMA20SELLPRE,EWMA50SELLPRE,SELLSIGNAL,Price Change,Log(Volume),Price Movement with Volume,VTR,PCVR,CSI,EWMA20_VolPerTrade,EWMA50_VolPerTrade,VolPerTradeSIGNAL
2010-01-04,HAVELLS,665834,,136842,107.84,241.94,124.35,Medium,Medium,,,-0.51,-0.31,-1.06,48.11,29.25,18.86,High,,Neutral,High,Very High,Very High,,533.8,,,,,0.17,,,-0.0,514.65,520.0,541.7,516.0,532.96,,,,,,,25.7,,,,,,,Neutral,,,,,,,,,0.0,,,0.0,0.0,,,False,,,False,,13.40879566920552,,,,,,,False
2010-01-05,HAVELLS,554613,,101900,82.76,165.0,99.37,Low,Medium,,,-0.58,-0.4,-1.06,54.72,37.74,16.979999999999997,High,1.95,Neutral,High,High,Very High,,535.75,,,,,-0.38,,,-0.0,533.8,538.0,550.7,534.0,541.85,,,,,1.75,14.95,16.7,True,1.68,CandleHighSwipe,Bearish,0.0036463973832630003,1.9500000000000455,Neutral,,,,,,,,,0.04,,Buy,0.05000000000006821,0.01,1.75,1.75,False,14.95,14.95,False,1.9500000000000455,13.22602585220644,25.79075041180316,,3.515965186535558e-06,,,,False
2010-01-06,HAVELLS,241047,,66883,65.62,68.25,4.01,Low,Low,,,-0.64,-0.63,-1.06,60.38,59.43,0.9500000000000028,High,0.35,Neutral,Medium,High,Low,,536.1,,,,,-0.56,,,-0.0,535.75,536.0,540.35,526.5,533.8,,,,,9.6,4.35,13.85,False,0.0,NoSwipe,Doji,0.0006530764798053923,0.35000000000002274,Neutral,,,,,,,,,0.04,,Buy,0.06000000000005912,0.02,6.98,5.86,True,7.88,9.24,False,0.35000000000002274,12.392747214205606,4.337461524972244,,1.4519989877493714e-06,,,,False
2010-01-07,HAVELLS,440113,,78619,70.97,120.83,70.26,Low,Medium,,,-0.62,-0.48,-1.06,58.49,45.28,13.21,High,3.5,Neutral,High,High,High,,539.6,,,,,-0.44,,,-0.0,536.1,539.0,547.75,532.0,540.23,,,,,7.6,8.15,15.75,True,1.37,CandleHighSwipe,Bullish,0.006507413500108861,3.5,Neutral,,,,,,,,,0.15,,Buy,0.21000000000003638,0.06,7.34,6.5,True,8.04,8.82,False,3.5,12.994786791104119,45.481753768864415,,7.952503107156572e-06,,,,False
2010-01-08,HAVELLS,150843,,35444,53.62,51.43,4.08,Low,Low,,,-0.69,-0.7,-1.06,65.09,66.04,-0.9500000000000028,High,-10.0,Neutral,Medium,Medium,Low,,529.6,,,,,-0.39,,,-0.0,539.6,540.0,542.5,526.0,534.8,,,,,3.6,12.9,16.5,False,0.0,NoSwipe,Bearish,-0.01870611971080205,-10.0,Neutral,,,,,,,,,-0.15,,Sell,-0.12999999999999545,0.02,5.34,5.67,False,10.63,10.09,True,-10.0,11.923994839798224,-119.23994839798225,,-6.629409385917809e-05,,,,False
2010-01-11,HAVELLS,105620,,21096,47.22,45.21,4.26,Low,Low,,,-0.72,-0.73,-1.06,67.92,68.87,-0.9500000000000028,High,3.35,Neutral,Medium,Medium,Low,,532.95,,,,,-0.94,,,-0.0,529.6,536.0,538.0,530.5,533.82,,,,,2.45,5.05,7.5,False,0.0,,Bearish,0.006305606512347239,3.3500000000000227,Neutral,,,,,,,,,-0.16,,Sell,-0.17999999999994998,-0.02,3.85,4.9,False,7.75,8.75,False,3.3500000000000227,11.567603026260924,38.75147013797436,,3.171747775042627e-05,,,,False
2010-01-12,HAVELLS,261210,,67640,65.62,70.97,8.15,Low,Low,,,-0.64,-0.62,-1.06,60.38,58.49,1.8900000000000006,High,2.8,Neutral,Medium,High,Low,,535.75,,,,,-0.45,,,-0.0,532.95,532.0,545.5,530.0,537.96,,,,,5.75,9.75,15.5,True,1.4,BothHighLowSwipe,Bullish,0.005240023218540557,2.7999999999999545,Neutral,,,,,,,,,-0.05,,Sell,-0.08000000000004093,-0.03,4.82,5.07,False,8.77,8.99,False,2.7999999999999545,12.473079960490772,34.92462388937359,,1.0719344588644977e-05,,,,False
2010-01-13,HAVELLS,107279,,19098,47.22,45.21,4.26,Low,Low,,,-0.72,-0.73,-1.06,67.92,68.87,-0.9500000000000028,High,-5.35,Neutral,Medium,Medium,Low,,530.4,,,,,-0.71,,,-0.0,535.75,530.0,538.9,527.5,532.09,,,,,2.9,8.5,11.4,True,0.47,CandleLowSwipe,Bullish,-0.010036195482033605,-5.350000000000023,Neutral,,,,,,,,,-0.2,,Sell,-0.2799999999999727,-0.08,3.85,4.67,False,8.63,8.88,False,-5.350000000000023,11.583188196510177,-61.97005685132971,,-4.986996523084688e-05,,,,False
2010-01-14,HAVELLS,117831,,47410,58.21,47.22,18.88,Low,Low,,,-0.67,-0.72,-1.06,63.21,67.92,-4.710000000000001,Medium,-5.6,Neutral,Medium,Medium,Medium,,524.8,,,,,-0.45,,,-0.0,530.4,532.0,537.8,522.25,529.56,,,,,2.55,13.0,15.55,False,0.0,NoSwipe,Bearish,-0.010614201241773813,-5.600000000000023,Neutral,,,,,,,,,-0.48,,Sell,-0.67999999999995,-0.2,3.2,4.31,False,10.82,9.71,True,-5.600000000000023,11.677006673474395,-65.39123737145688,,-4.752569357809085e-05,,,,False
2010-01-15,HAVELLS,143464,,57762,63.08,51.43,18.47,Low,Low,,,-0.65,-0.7,-1.06,61.32,66.04,-4.720000000000006,Medium,-10.9,Neutral,Medium,Medium,Medium,,513.9,,,,,-0.15,,,-0.0,524.8,525.1,532.0,511.5,520.49,,,,,2.4,18.1,20.5,False,0.0,NoSwipe,Bearish,-0.020988543631695222,-10.899999999999977,Neutral,,,,,,,,,-1.05,,Sell,-1.5100000000001046,-0.46,2.8,4.01,False,14.47,11.31,True,-10.899999999999977,11.87383941162826,-129.42484958674777,,-7.597724864774422e-05,,,,False
