DeiiveryToTrade_CAT,VolumeToTrade_CAT,TradeDel2VolDiff_CAT,next_day_fluctuates,next_day_CandleType,percentage_fluctuation,TotalCount
High,High,Low,48.71428571428568,Bullish,7,7
High,High,Medium,61.549999999999955,Bullish,2,2
High,High,Very Low,101.80952380952372,Bearish,42,42
High,Low,Low,74.06249999999989,Bearish,4,4
High,Medium,Low,90.53181818181807,Bullish,11,11
High,Medium,Very Low,62.03863636363636,Bearish,22,22
High,Very High,High,67.46153846153841,Bearish,13,13
High,Very High,Low,63.40999999999995,Bullish,5,5
High,Very High,Medium,90.75000000000014,Bearish,5,5
High,Very High,Very High,101.72142857142846,Bearish,14,14
High,Very High,Very Low,69.55714285714286,Bullish,7,7
High,Very Low,Medium,72.2833333333333,Bearish,6,6
High,Very Low,Very Low,69.95000000000005,Bullish,2,2
Low,High,High,80.00999999999992,Bullish,10,10
Low,High,Medium,74.22500000000002,Bearish,2,2
Low,High,Very High,98.54999999999973,Bearish,2,2
Low,Low,Low,55.52499999999998,Bearish,4,4
Low,Low,Very Low,77.30808823529412,Bearish,68,68
Low,Medium,High,94.70000000000027,Bearish,1,1
Low,Medium,Low,52.83125000000001,Bearish,8,8
Low,Medium,Medium,40.0,Bearish,1,1
Low,Medium,Very Low,54.29666666666669,Bullish,15,15
Low,Very High,Very High,123.27999999999975,Bullish,5,5
Low,Very Low,Low,76.33181818181815,Bearish,11,11
Low,Very Low,Medium,83.18749999999994,Bullish,4,4
Low,Very Low,Very Low,77.16666666666657,Bearish,9,9
Medium,High,High,86.25999999999976,Bearish,5,5
Medium,High,Low,115.57499999999993,Bullish,4,4
Medium,High,Medium,97.96249999999998,Bullish,4,4
Medium,High,Very Low,75.9375,Bearish,8,8
Medium,Low,Low,89.42999999999992,Bearish,5,5
Medium,Low,Very Low,80.67586206896551,Bullish,29,29
Medium,Medium,Low,81.79999999999995,Bullish,3,3
Medium,Medium,Very Low,78.3184615384615,Bearish,65,65
Medium,Very High,High,80.34999999999991,Bearish,2,2
Medium,Very High,Very High,140.04999999999993,Bullish,6,6
Medium,Very Low,Low,88.10000000000002,Bullish,4,4
Medium,Very Low,Medium,53.22500000000002,Bearish,4,4
Medium,Very Low,Very Low,101.15000000000055,Bullish,1,1
Very High,High,Low,68.1759259259259,Bullish,27,27
Very High,High,Medium,97.29375000000016,Bullish,8,8
Very High,High,Very Low,106.74444444444443,Bearish,9,9
Very High,Low,Medium,103.52499999999993,Bullish,6,6
Very High,Medium,Low,92.08749999999986,Bullish,4,4
Very High,Medium,Medium,115.86874999999992,Bullish,8,8
Very High,Very High,High,92.96875,Bullish,8,8
Very High,Very High,Low,115.2733333333333,Bullish,15,15
Very High,Very High,Medium,86.24583333333322,Bearish,12,12
Very High,Very High,Very High,94.35000000000011,Bearish,8,8
Very High,Very High,Very Low,87.03799999999997,Bearish,25,25
Very High,Very Low,Medium,77.58571428571415,Bearish,7,7
Very High,Very Low,Very Low,80.83749999999986,Bearish,4,4
Very Low,High,High,66.25,Bearish,1,1
Very Low,High,Very High,98.80999999999995,Bearish,10,10
Very Low,Low,High,64.875,Bearish,2,2
Very Low,Low,Low,82.13124999999991,Bearish,8,8
Very Low,Low,Medium,72.42142857142848,Bearish,7,7
Very Low,Low,Very High,59.4571428571429,Bearish,7,7
Very Low,Low,Very Low,65.68333333333334,Bearish,9,9
Very Low,Medium,High,65.27999999999993,Bearish,5,5
Very Low,Medium,Medium,48.71666666666662,Bearish,3,3
Very Low,Medium,Very High,60.039999999999964,Bearish,5,5
Very Low,Very High,Very High,82.00555555555557,Bearish,9,9
Very Low,Very Low,High,71.61666666666649,Bearish,6,6
Very Low,Very Low,Low,84.68199999999997,Bearish,25,25
Very Low,Very Low,Medium,65.19285714285716,Bullish,7,7
Very Low,Very Low,Very High,104.61000000000008,Bearish,5,5
Very Low,Very Low,Very Low,86.46093749999997,Bearish,32,32
