Date,Symbol,Prev Close,Open,High,Low,Close,vwap,Volume,Trades,Deliverable Volume,%Deliverble,Z-ScoreDelVolume
2025-03-26,HDFCAMC,4112.3,4115.0,4188.4,4060.0,4071.35,4113.87,556289,57848,300560,54.03,0.23
2025-03-25,HDFCAMC,4100.45,4130.0,4140.0,4052.25,4112.3,4085.29,616824,82844,442714,71.77,0.62
2025-03-24,HDFCAMC,3994.55,4010.0,4129.9,3992.5,4100.45,4065.2,296918,36215,187679,63.21,-0.08
2025-03-21,HDFCAMC,3967.8,3955.4,4074.0,3940.2,3994.55,4003.27,854935,60187,588615,68.85,1.02
2025-03-20,HDFCAMC,3975.75,3995.6,4043.25,3945.15,3967.8,3981.0,418160,52978,255750,61.16,0.11
2025-03-19,HDFCAMC,3827.6,3800.0,3985.1,3800.0,3975.75,3923.81,406540,50757,240087,59.06,0.07
2025-03-18,HDFCAMC,3746.65,3752.4,3839.0,3743.65,3827.6,3807.27,416479,40365,279145,67.02,0.17
2025-03-17,HDFCAMC,3725.1,3726.1,3793.95,3718.4,3746.65,3748.12,242200,42468,150549,62.16,-0.18
2025-03-13,HDFCAMC,3767.65,3760.2,3772.5,3660.0,3725.1,3712.12,429672,70601,219511,51.09,0.01
2025-03-12,HDFCAMC,3779.3,3770.0,3815.0,3668.3,3767.65,3755.87,299570,45986,126090,42.09,-0.25
2025-03-11,HDFCAMC,3750.1,3722.0,3794.0,3679.0,3779.3,3740.27,263827,40359,131076,49.68,-0.23
2025-03-10,HDFCAMC,3834.2,3826.15,3857.2,3732.2,3750.1,3767.92,443880,60153,298016,67.14,0.22
2025-03-07,HDFCAMC,3842.05,3842.05,3907.1,3820.55,3834.2,3863.86,356115,41000,225595,63.35,0.03
2025-03-06,HDFCAMC,3864.3,3883.9,3912.45,3813.05,3842.05,3840.13,431466,50431,295198,68.42,0.22
2025-03-05,HDFCAMC,3695.0,3680.05,3880.85,3670.0,3864.3,3816.99,498919,43423,283084,56.74,0.18
2025-03-04,HDFCAMC,3712.65,3680.7,3750.0,3653.6,3695.0,3692.69,370819,49746,202566,54.63,-0.04
2025-03-03,HDFCAMC,3628.3,3635.45,3732.95,3622.8,3712.65,3680.35,368198,48901,193859,52.65,-0.06
2025-02-28,HDFCAMC,3688.8,3671.05,3677.85,3601.0,3628.3,3630.88,635909,61587,435231,68.44,0.6
2025-02-27,HDFCAMC,3765.25,3745.1,3762.85,3646.5,3688.8,3685.95,740074,83753,520508,70.33,0.83
2025-02-25,HDFCAMC,3783.45,3783.0,3837.95,3740.0,3765.25,3787.59,217126,28364,120198,55.36,-0.26
2025-02-24,HDFCAMC,3793.1,3787.45,3810.0,3722.35,3783.45,3771.72,220249,39916,110571,50.2,-0.29
2025-02-21,HDFCAMC,3879.6,3863.95,3928.0,3778.05,3793.1,3814.18,467995,66684,299213,63.94,0.23
2025-02-20,HDFCAMC,3791.75,3765.0,3894.2,3760.0,3879.6,3860.49,240299,29654,138662,57.7,-0.21
2025-02-19,HDFCAMC,3737.85,3731.0,3831.95,3701.1,3791.75,3777.88,234495,27817,136896,58.38,-0.22
2025-02-18,HDFCAMC,3730.55,3725.0,3756.0,3685.2,3737.85,3711.08,460813,82106,242794,52.69,0.07
2025-02-17,HDFCAMC,3752.45,3745.0,3794.95,3652.8,3730.55,3725.54,419130,40555,191627,45.72,-0.07
2025-02-14,HDFCAMC,3755.85,3765.0,3790.0,3695.0,3752.45,3748.15,661126,65044,433533,65.57,0.59
2025-02-13,HDFCAMC,3703.65,3731.45,3780.0,3681.05,3755.85,3751.56,445112,55726,285605,64.16,0.19
