Date,Symbol,Volume,Trades,Deliverable Volume,DeiiveryToTrade,VolumeToTrade,TradeDel2VolDiff,Z-ScoreDelVolume_IMP,VolumeZscore_IMP,TradesZscore_IMP,FuturePremium_IMP,Z-ScoreDelVolume,VolumeZscore,TradesZscore,Del2Trade,Vol2Trade,NetDel2Vol,NetDel2Vol_IMP,ClosePriceDiff,Supply_Demand_Strength,DeiiveryToTrade_IMP,VolumeToTrade_IMP,TradeDel2VolDiff_IMP,Rolling_TWPC_Vol,Close,Close_Diff,Close_Future,Fut2Close%Change,FuturePremium,Fluc-Zscore,MWPL_Diff,Change in OI,MWPLDiffZscore,Prev Close,Open,High,Low,vwap,Open Interest,Expiry,MWPL,Position,BuyingPressure,SellingPressure,fluctuates,CandleSwipe,SwipePercent,SwipeType,CandleType,Return,Change,Supply_Demand_Strength,VWAP_12,VWAP_26,VWAP_Diff_Rate_Change,Per_Trade_Volume_to_Price,VolPerTrade_ROC,Histogram_VWAP,MACD_VWAP,SignalLine_VWAP,Histogram_VWAP_Close,MACD_Signal,MACD_Signal_Close,MACD_VWAP_Close,SignalLine_VWAP_Close,EWMA20BUYPRE,EWMA50BUYPRE,BUYSIGNAL,EWMA20SELLPRE,EWMA50SELLPRE,SELLSIGNAL,Price Change,Log(Volume),Price Movement with Volume,VTR,PCVR,CSI,EWMA20_VolPerTrade,EWMA50_VolPerTrade,VolPerTradeSIGNAL
2018-08-06,HDFCAMC,19305566,695365,7025377,9.82,17.2,75.15,Very High,Very High,Very High,,19.15,25.4,21.03,91.06,120.78,-29.72,Low,,Neutral,Low,Low,High,1795.4,1815.95,,,,,0.7,,,0.0,1100.0,1726.25,1844.0,1726.25,1800.58,,,,,,,117.75,,,,,,,Neutral,,,,0.24,,,,,0.0,,,0.0,0.0,,,False,,,False,,16.775904006080005,,27.763212126005765,,,0.24,0.24,False
2018-08-07,HDFCAMC,3508379,138117,1075391,36.25,20.24,44.17,Very High,Very High,Very High,,2.4,4.1,3.27,73.39,125.38,-51.989999999999995,Low,-46.0,Neutral,Low,Low,High,1786.32,1769.95,,,,,0.01,,,0.0,1815.95,1819.8,1834.0,1755.0,1785.76,,,,,14.95,64.05,79.0,False,0.0,,Bearish,-0.025657449161244905,-46.0,Neutral,,,,0.32,33.33,,,,-0.83,,Sell,-1.0399999999999636,-0.21,14.95,14.95,False,64.05,64.05,False,-46.0,15.070664665406973,-693.2505746087207,25.401500177385838,-1.3111468287776207e-05,-0.005019299395503238,0.29,0.28,True
2018-08-08,HDFCAMC,1678483,68387,423542,87.5,35.58,59.34,Very High,Very High,Very High,,0.56,1.63,1.05,53.33,155.24,-101.91000000000001,Low,9.7,Neutral,Medium,Low,High,1773.63,1779.65,,,,,-0.4,,,0.0,1769.95,1762.0,1798.9,1742.35,1778.94,,,,,37.3,19.25,56.55,True,0.71,CandleLowSwipe,Bullish,0.005465418157283963,9.700000000000045,Neutral,,,,0.43,34.38,,,,-0.64,,Sell,-1.009999999999991,-0.37,29.85,26.66,True,34.18,39.93,False,9.700000000000045,14.33340096726038,139.03398938242634,24.543889920598943,5.7790278483607194e-06,0.0020330470613190567,0.36,0.34,True
2018-08-09,HDFCAMC,674845,33283,330457,123.33,125.0,1.35,Very High,Very High,High,,0.3,0.28,-0.07,-428.57,-400.0,-28.569999999999993,Low,-30.6,Neutral,High,High,Low,1758.68,1749.05,,,,,-0.57,,,0.0,1779.65,1779.6,1787.0,1740.0,1762.22,,,,,9.05,37.95,47.0,True,0.13,CandleLowSwipe,Bearish,-0.017343932364172865,-30.600000000000136,Neutral,,,,0.43,0.0,,,,-1.38,,Sell,-2.089999999999918,-0.71,17.96,20.22,False,36.34,39.16,False,-30.600000000000136,13.422238313856116,-410.720492403999,20.275966709731694,-4.534374560084188e-05,-0.012340248547426585,0.39,0.37,True
2018-08-10,HDFCAMC,587382,24433,291195,284.21,318.75,12.15,Very High,Very High,Medium,,0.19,0.16,-0.35,-54.29,-45.71,-8.579999999999998,Medium,-0.15,Neutral,Very High,Very High,Medium,1752.3,1748.9,,,,,-0.91,,,0.0,1749.05,1740.0,1768.0,1740.0,1753.94,,,,,8.9,19.1,28.0,False,0.0,,Bullish,-8.576451927044815e-05,-0.14999999999986358,Neutral,,,,0.86,100.0,,,,-1.53,,Sell,-2.6299999999998818,-1.1,13.13,16.97,False,27.14,32.94,False,-0.14999999999986358,13.283430653763345,-1.9925145980626895,24.04051897024516,-2.553704403605551e-07,-8.155014112318133e-05,0.57,0.5,True
2018-08-13,HDFCAMC,726503,36301,379826,93.18,91.43,1.88,Very High,Very High,High,,0.44,0.35,0.03,1466.67,1166.67,300.0,Very High,-43.35,Neutral,High,High,Low,1717.08,1705.55,,,,,-0.75,,,0.0,1748.9,1739.0,1741.2,1704.5,1715.86,,,,,1.05,35.65,36.7,False,0.0,NoSwipe,Bearish,-0.025099379510317377,-43.350000000000136,Neutral,,,,0.55,-36.05,,,,-2.93,,Sell,-4.759999999999991,-1.83,6.9,13.16,False,31.53,33.66,False,-43.350000000000136,13.495997891371424,-585.0515085909531,20.01330541858351,-5.9669402603981174e-05,-0.01611667746318154,0.56,0.51,True
2018-08-14,HDFCAMC,570586,30104,173159,21.43,221.43,933.27,High,Very High,High,,-0.14,0.14,-0.17,82.35,-82.35,164.7,Very High,22.4,Neutral,Low,Very High,Very High,1727.47,1727.95,,,,,-0.7,,,0.0,1705.55,1707.5,1746.95,1707.5,1732.42,,,,,20.45,19.0,39.45,True,0.33,CandleHighSwipe,Bullish,0.013048095415356897,22.40000000000009,Neutral,,,,0.48,-12.73,,,,-2.56,,Sell,-5.0300000000002,-2.47,13.78,14.68,False,25.17,30.19,False,22.40000000000009,13.254419181883948,296.89898967420163,18.953826733988837,3.925788575254228e-05,0.009862443186094924,0.53,0.51,True
2018-08-16,HDFCAMC,377188,18130,137582,129.17,358.33,177.41,Medium,High,Medium,,-0.24,-0.12,-0.55,43.64,21.82,21.82,Very High,-17.65,Neutral,High,Very High,Very High,1719.43,1710.3,,,,,-0.8,,,0.0,1727.95,1726.9,1741.0,1707.0,1722.96,,,,,3.3,30.7,34.0,True,0.03,CandleLowSwipe,Bearish,-0.010266941054539735,-17.65000000000009,Neutral,,,,0.61,27.08,,,,-2.8,,Sell,-5.970000000000027,-3.17,8.5,12.55,False,27.96,30.3,False,-17.65000000000009,12.840499015873771,-226.6348076301732,20.804633204633205,-4.679364136716993e-05,-0.012500540961399517,0.56,0.53,True
2018-08-17,HDFCAMC,320048,12799,120551,148.28,260.0,75.34,Medium,Medium,Low,,-0.29,-0.2,-0.72,40.28,27.78,12.5,High,5.35,Neutral,High,Very High,High,1720.5,1715.65,,,,,-1.09,,,0.0,1710.3,1719.7,1731.8,1714.05,1718.63,,,,,1.6,16.15,17.75,False,0.0,,Bearish,0.003123223835078015,5.350000000000136,Neutral,,,,1.41,131.15,,,,-2.48,,Sell,-6.269999999999982,-3.79,5.04,10.69,False,22.03,27.45,False,5.350000000000136,12.676226263527035,67.81781050987136,25.005703570591454,1.6716242563615885e-05,0.005298680405490379,0.85,0.7,True
2018-08-20,HDFCAMC,793064,31426,267631,200.0,129.55,35.22,Very High,Very High,High,,0.13,0.44,-0.13,-100.0,-338.46,238.45999999999998,Very High,31.5,Neutral,High,High,Medium,1741.72,1747.15,,,,,-0.81,,,0.0,1715.65,1724.75,1755.8,1722.2,1742.48,,,,,24.95,8.65,33.6,False,0.0,NoSwipe,Bullish,0.018193871384264426,31.5,Neutral,,,,0.75,-46.81,,,,-0.78,,Sell,-4.759999999999991,-3.98,15.01,12.94,True,15.33,23.87,False,31.5,13.583659203539483,427.8852649114937,25.235919302488384,3.9719366911119404e-05,0.013615645163606365,0.82,0.71,True
