Date,Symbol,Close,Vol2Trade,Z-ScoreDelVolume,NetDel2Vol
2017-11-23,HDFCLIFE,374.85,179.76,1.43,-9.519999999999982
2018-01-16,HDFCLIFE,482.65,168.75,1.24,89.57999999999998
2018-06-15,HDFCLIFE,469.75,149.14,3.12,119.83000000000004
2019-03-13,HDFCLIFE,366.15,396.1,4.02,125.98000000000002
2019-08-20,HDFCLIFE,527.9,50.45,1.15,0.8900000000000006
2019-08-27,HDFCLIFE,555.2,170.63,18.46,28.72
2020-06-12,HDFCLIFE,502.3,116.42,1.28,74.61999999999999
2021-09-03,HDFCLIFE,734.4,50.49,2.04,-0.980000000000004
2021-09-06,HDFCLIFE,736.05,487.5,1.28,312.5
2021-09-17,HDFCLIFE,747.75,318.18,1.83,97.73000000000002
2021-11-30,HDFCLIFE,680.8,122.12,2.22,74.34
2022-02-28,HDFCLIFE,523.2,120.59,1.73,49.02000000000001
2023-03-14,HDFCLIFE,470.55,94.51,1.2,37.36
2023-06-27,HDFCLIFE,667.2,180.0,5.25,25.879999999999995
2023-12-15,HDFCLIFE,673.1,132.84,1.2,46.25999999999999
2024-01-15,HDFCLIFE,614.45,45.54,1.67,4.160000000000004
2024-01-16,HDFCLIFE,611.25,47.62,1.22,16.93
2024-01-17,HDFCLIFE,606.6,116.33,1.9,77.55
2024-02-06,HDFCLIFE,592.75,58.79,2.67,14.559999999999995
2024-03-27,HDFCLIFE,626.35,269.7,3.31,231.82
2024-05-08,HDFCLIFE,550.45,125.58,1.08,125.58
2024-06-21,HDFCLIFE,580.95,228.57,1.18,192.86
2024-12-03,HDFCLIFE,634.0,86.17,1.29,51.05999999999999
