DeiiveryToTrade_CAT,VolumeToTrade_CAT,TradeDel2VolDiff_CAT,next_day_fluctuates,next_day_CandleType,percentage_fluctuation,TotalCount
High,High,High,102.0,Bullish,1,1
High,High,Low,78.14732142857142,Bearish,56,56
High,High,Medium,81.94999999999989,Bearish,19,19
High,High,Very Low,95.40257731958758,Bearish,97,97
High,Low,Low,39.5,Bullish,1,1
High,Low,Medium,73.22499999999998,Bearish,82,82
High,Medium,Low,101.24333333333337,Bullish,30,30
High,Medium,Medium,80.78928571428573,Bearish,14,14
High,Medium,Very Low,71.58999999999999,Bearish,15,15
High,Very High,High,91.26600000000002,Bearish,25,25
High,Very High,Low,72.65,Bullish,5,5
High,Very High,Medium,82.0208333333333,Bearish,12,12
High,Very High,Very High,98.89130434782605,Bullish,23,23
High,Very High,Very Low,149.76666666666642,Bearish,3,3
High,Very Low,Medium,79.75890410958901,Bullish,73,73
High,Very Low,Very Low,73.74999999999984,Bearish,3,3
Low,High,High,100.67499999999995,Bearish,8,8
Low,High,Medium,68.94999999999982,Bullish,1,1
Low,High,Very High,71.51052631578948,Bearish,19,19
Low,Low,High,55.149999999999636,Bearish,1,1
Low,Low,Low,62.54926470588233,Bearish,68,68
Low,Low,Medium,64.22666666666665,Bearish,15,15
Low,Low,Very Low,72.03203883495144,Bearish,103,103
Low,Medium,High,43.38571428571429,Bearish,7,7
Low,Medium,Low,76.21666666666663,Bearish,12,12
Low,Medium,Medium,61.17692307692305,Bearish,13,13
Low,Medium,Very High,30.75,Bearish,1,1
Low,Medium,Very Low,62.09285714285709,Bearish,14,14
Low,Very High,Very High,72.28181818181817,Bullish,22,22
Low,Very Low,Low,62.61388888888885,Bearish,72,72
Low,Very Low,Medium,65.64432989690722,Bearish,97,97
Low,Very Low,Very Low,50.5333333333333,Bearish,3,3
Medium,High,High,83.59999999999997,Bullish,9,9
Medium,High,Low,88.3958333333332,Bullish,12,12
Medium,High,Medium,135.75,Bearish,9,9
Medium,High,Very High,117.14999999999964,Bearish,1,1
Medium,High,Very Low,58.786363636363625,Bearish,11,11
Medium,Low,Low,70.24098360655738,Bearish,61,61
Medium,Low,Medium,72.07499999999999,Bearish,38,38
Medium,Low,Very Low,65.50714285714288,Bullish,7,7
Medium,Medium,Low,69.35333333333331,Bullish,30,30
Medium,Medium,Medium,104.2333333333335,Bearish,3,3
Medium,Medium,Very Low,73.3365131578947,Bearish,152,152
Medium,Very High,High,68.05000000000018,Bullish,3,3
Medium,Very High,Very High,77.25555555555553,Bearish,18,18
Medium,Very Low,Medium,65.75194174757283,Bearish,103,103
Very High,High,Low,84.53750000000001,Bearish,32,32
Very High,High,Medium,77.76136363636363,Bearish,44,44
Very High,High,Very Low,61.40000000000009,Bearish,3,3
Very High,Low,Medium,69.61071428571428,Bearish,98,98
Very High,Medium,Medium,69.23333333333332,Bullish,69,69
Very High,Very High,High,106.85416666666667,Bullish,12,12
Very High,Very High,Low,113.15151515151511,Bearish,33,33
Very High,Very High,Medium,112.36964285714275,Bearish,28,28
Very High,Very High,Very High,89.44722222222217,Bearish,18,18
Very High,Very High,Very Low,109.10499999999995,Bullish,30,30
Very High,Very Low,Medium,84.94555555555554,Bearish,90,90
Very High,Very Low,Very Low,123.72499999999991,Bearish,2,2
Very Low,High,Very High,54.68461538461532,Bearish,13,13
Very Low,Low,High,68.46530612244898,Bearish,49,49
Very Low,Low,Low,50.121874999999946,Bearish,16,16
Very Low,Low,Medium,61.964285714285715,Bearish,28,28
Very Low,Low,Very High,66.70441176470587,Bearish,34,34
Very Low,Low,Very Low,52.64166666666657,Bearish,6,6
Very Low,Medium,High,78.40000000000009,Bearish,2,2
Very Low,Medium,Very High,66.79999999999988,Bullish,9,9
Very Low,Very High,Very High,94.54999999999994,Bearish,11,11
Very Low,Very Low,High,58.969354838709684,Bullish,31,31
Very Low,Very Low,Low,60.35188679245279,Bearish,106,106
Very Low,Very Low,Medium,63.32592592592593,Bearish,81,81
Very Low,Very Low,Very High,67.84736842105264,Bullish,19,19
Very Low,Very Low,Very Low,65.74137931034484,Bullish,58,58
