Date,Symbol,Expiry,Open,High,Low,Close,Settle Price,FUT_VOLUME,Number of Contracts,Open Interest,Change in OI
2024-12-12,HINDALCO,2024-12-26,677.75,681.0,662.75,669.45,669.45,10868200.0,7763.0,42834400,-541800
2024-12-11,HINDALCO,2024-12-26,672.35,681.55,670.65,672.95,672.95,8862000.0,6330.0,43376200,347200
2024-12-10,HINDALCO,2024-12-26,674.95,678.95,666.95,671.3,671.3,7114800.0,5082.0,43029000,-21000
2024-12-09,HINDALCO,2024-12-26,668.3,675.2,656.65,673.8,673.8,13857200.0,9898.0,43050000,954800
2024-12-06,HINDALCO,2024-12-26,672.5,677.8,668.75,673.45,673.45,7767200.0,5548.0,42095200,50400
2024-12-05,HINDALCO,2024-12-26,666.9,675.35,661.0,671.7,671.7,11468800.0,8192.0,42044800,-1689800
2024-12-04,HINDALCO,2024-12-26,667.55,672.75,661.4,664.75,664.75,4781000.0,3415.0,43734600,40600
2024-12-03,HINDALCO,2024-12-26,666.1,671.3,659.1,669.25,669.25,7008400.0,5006.0,43694000,-894600
2024-12-02,HINDALCO,2024-12-26,657.5,666.6,656.85,665.0,665.0,5175800.0,3697.0,44588600,-956200
2024-11-29,HINDALCO,2024-12-26,655.85,662.25,653.3,659.65,659.65,5496400.0,3926.0,45544800,-21000
2024-11-28,HINDALCO,2024-11-28,661.25,663.05,648.2,651.0,650.25,14193200.0,10138.0,1947400,-6708800
2024-11-27,HINDALCO,2024-11-28,665.0,669.0,659.25,660.45,660.45,14933800.0,10667.0,8656200,-10201800
2024-11-26,HINDALCO,2024-11-28,661.1,669.35,658.45,665.9,665.9,13832000.0,9880.0,18858000,-7187600
2024-11-25,HINDALCO,2024-11-28,658.75,662.35,653.15,659.65,659.65,21446600.0,15319.0,26045600,-13921600
2024-11-22,HINDALCO,2024-11-28,650.4,656.5,646.5,650.95,650.95,10663800.0,7617.0,39967200,-4211200
2024-11-21,HINDALCO,2024-11-28,643.3,653.75,635.1,647.2,647.2,11583600.0,8274.0,44178400,-1047200
2024-11-19,HINDALCO,2024-11-28,651.2,655.6,638.35,640.85,640.85,9658600.0,6899.0,45225600,-515200
2024-11-18,HINDALCO,2024-11-28,634.8,663.95,634.8,652.65,652.65,25571000.0,18265.0,45740800,-2650200
2024-11-14,HINDALCO,2024-11-28,633.5,636.65,625.2,627.35,627.35,11956000.0,8540.0,48391000,-2339400
2024-11-13,HINDALCO,2024-11-28,648.75,650.9,623.8,628.55,628.55,16014600.0,11439.0,50730400,-929600
2024-11-12,HINDALCO,2024-11-28,667.0,673.75,650.95,652.95,652.95,27032600.0,19309.0,51660000,-511000
2024-11-11,HINDALCO,2024-11-28,645.6,660.0,640.35,657.85,657.85,16770600.0,11979.0,52171000,1489600
2024-11-08,HINDALCO,2024-11-28,654.8,662.5,649.0,651.85,651.85,19678400.0,14056.0,50681400,-425600
2024-11-07,HINDALCO,2024-11-28,682.0,692.95,648.5,651.2,651.2,50421000.0,36015.0,51107000,9458400
2024-11-06,HINDALCO,2024-11-28,709.5,717.9,690.4,711.9,711.9,19142200.0,13673.0,41648600,2727200
2024-11-05,HINDALCO,2024-11-28,680.95,703.9,678.1,700.25,700.25,15050000.0,10750.0,38921400,-397600
2024-11-04,HINDALCO,2024-11-28,690.75,692.25,665.0,678.1,678.1,7852600.0,5609.0,39319000,-565600
2024-11-01,HINDALCO,2024-11-28,690.0,693.05,687.25,691.2,691.2,767200.0,548.0,39884600,32200
2024-10-31,HINDALCO,2024-10-31,684.55,689.1,679.35,687.15,686.05,10088400.0,7206.0,2590000,-6927200
