Date,Symbol,Close,Vol2Trade,Z-ScoreDelVolume,NetDel2Vol
2017-11-01,HINDCOPPER,75.65,243.33,3.44,43.34
2017-12-22,HINDCOPPER,93.7,223.91,1.32,63.04999999999998
2020-01-03,HINDCOPPER,46.75,417.39,1.07,47.83000000000004
2020-12-14,HINDCOPPER,53.05,260.82,2.44,-9.269999999999982
2021-02-18,HINDCOPPER,88.25,123.74,1.73,0.7199999999999989
2021-02-25,HINDCOPPER,140.5,146.15,1.32,-33.33000000000001
2021-05-31,HINDCOPPER,170.4,98.04,1.0,98.04
2021-10-04,HINDCOPPER,121.3,115.79,4.01,-4.710000000000008
2022-01-07,HINDCOPPER,131.55,393.33,1.22,420.00000000000006
2022-12-01,HINDCOPPER,119.4,197.56,1.14,80.49000000000001
2023-06-20,HINDCOPPER,117.1,128.57,1.08,11.689999999999998
2023-07-06,HINDCOPPER,122.0,181.32,2.55,98.90000000000003
2023-07-07,HINDCOPPER,119.5,413.64,1.56,295.45000000000005
2023-07-14,HINDCOPPER,120.1,2020.0,3.01,4000.0
2023-07-25,HINDCOPPER,124.55,144.74,2.49,19.079999999999984
2023-08-14,HINDCOPPER,152.4,180.95,2.29,91.67000000000002
2023-08-29,HINDCOPPER,151.75,206.35,1.41,17.460000000000008
2023-11-28,HINDCOPPER,168.7,178.43,1.76,166.67000000000002
2023-12-18,HINDCOPPER,197.05,155.56,4.86,79.22
2024-01-05,HINDCOPPER,283.3,102.24,2.82,-11.86
2024-01-20,HINDCOPPER,270.25,89.66,1.38,29.31
2024-02-27,HINDCOPPER,253.0,80.16,1.19,14.28
2024-02-29,HINDCOPPER,269.8,91.2,2.52,-24.0
2024-03-13,HINDCOPPER,235.05,54.17,2.02,22.349999999999994
2024-03-15,HINDCOPPER,271.15,99.33,8.3,38.77
2024-03-21,HINDCOPPER,273.4,100.0,1.98,39.44
2024-03-28,HINDCOPPER,278.05,105.62,3.06,66.28999999999999
2024-04-25,HINDCOPPER,380.8,88.37,2.79,41.400000000000006
2024-05-29,HINDCOPPER,377.05,52.0,1.3,34.67
2024-05-30,HINDCOPPER,354.4,79.25,4.88,86.74000000000001
2024-06-28,HINDCOPPER,318.7,42.99,1.01,51.4
2024-08-14,HINDCOPPER,298.65,85.02,2.9,23.590000000000003
2024-08-16,HINDCOPPER,313.95,92.27,2.7,46.91000000000001
2024-08-19,HINDCOPPER,323.65,98.03,3.43,70.94
2024-08-27,HINDCOPPER,329.75,115.0,4.04,53.33000000000001
2024-08-30,HINDCOPPER,332.55,120.23,4.37,132.37
2024-09-19,HINDCOPPER,324.1,79.74,2.14,60.13000000000001
2024-09-27,HINDCOPPER,344.5,91.27,3.27,51.52
2025-01-13,HINDCOPPER,219.35,65.22,2.02,110.43
2025-03-21,HINDCOPPER,229.91,91.95,1.66,98.85
2025-03-28,HINDCOPPER,220.79,128.41,2.27,129.54
