Date,Symbol,Volume,Trades,Deliverable Volume,DeiiveryToTrade,VolumeToTrade,TradeDel2VolDiff,Z-ScoreDelVolume_IMP,VolumeZscore_IMP,TradesZscore_IMP,FuturePremium_IMP,Z-ScoreDelVolume,VolumeZscore,TradesZscore,Del2Trade,Vol2Trade,NetDel2Vol,NetDel2Vol_IMP,ClosePriceDiff,Supply_Demand_Strength,DeiiveryToTrade_IMP,VolumeToTrade_IMP,TradeDel2VolDiff_IMP,Rolling_TWPC_Vol,Close,Close_Diff,Close_Future,Fut2Close%Change,FuturePremium,Fluc-Zscore,MWPL_Diff,Change in OI,MWPLDiffZscore,Prev Close,Open,High,Low,vwap,Open Interest,Expiry,MWPL,Position,BuyingPressure,SellingPressure,fluctuates,CandleSwipe,SwipePercent,SwipeType,CandleType,Return,Change,Supply_Demand_Strength,VWAP_12,VWAP_26,VWAP_Diff_Rate_Change,Per_Trade_Volume_to_Price,VolPerTrade_ROC,Histogram_VWAP,MACD_VWAP,SignalLine_VWAP,Histogram_VWAP_Close,MACD_Signal,MACD_Signal_Close,MACD_VWAP_Close,SignalLine_VWAP_Close,EWMA20BUYPRE,EWMA50BUYPRE,BUYSIGNAL,EWMA20SELLPRE,EWMA50SELLPRE,SELLSIGNAL,Price Change,Log(Volume),Price Movement with Volume,VTR,PCVR,CSI,EWMA20_VolPerTrade,EWMA50_VolPerTrade,VolPerTradeSIGNAL
2015-01-01,HINDCOPPER,490411,5369,133078,21.54,7.27,66.25,Low,Low,Medium,,-0.65,-0.55,-0.51,127.45,107.84,19.61,High,,Neutral,High,Low,High,73.02,73.8,,,,,-0.08,,,0.01,70.65,71.0,74.7,70.55,72.79,,,,,,,4.15,,,,,,,Neutral,,,,22.01,,,,,0.0,,,0.0,0.0,,,False,,,False,,13.102999094021417,,91.34121810392998,,,22.01,22.01,False
2015-01-02,HINDCOPPER,252761,3104,96389,11.94,0.0,100.0,Low,Low,Low,,-0.67,-0.59,-0.59,113.56,100.0,13.560000000000002,High,-0.35,Neutral,Medium,,High,73.72,73.45,,,,,-0.51,,,0.01,73.8,73.5,74.9,72.8,73.92,,,,,0.65,1.4,2.1,True,0.0,CandleHighSwipe,Doji,-0.004753828986539865,-0.3499999999999943,Neutral,,,,38.78,76.19,,,,-0.01,,Sell,-0.010000000000005116,-0.0,0.65,0.65,False,1.4,1.4,False,-0.3499999999999943,12.440199657201768,-4.354069880020548,81.43073453608247,-1.3847072926598419e-06,-0.0014027286984602278,32.07,31.09,True
2015-01-05,HINDCOPPER,134899,2109,54642,11.43,1.64,85.65,Low,Low,Low,,-0.7,-0.61,-0.62,112.9,98.39,14.510000000000005,High,-0.1,Neutral,Medium,Low,High,73.62,73.35,,,,,-0.64,,,0.01,73.45,73.0,74.5,73.0,73.71,,,,,0.35,1.15,1.5,False,0.0,,Bullish,-0.0013623980308956618,-0.10000000000000853,Neutral,,,,42.64,9.95,,,,-0.01,,Sell,-0.009999999999990905,-0.0,0.45,0.49,False,1.23,1.27,False,-0.10000000000000853,11.812281629269929,-1.1812281629270935,63.96348980559507,-7.412953394762639e-07,-0.0005600892190265971,37.08,35.6,True
2015-01-06,HINDCOPPER,164543,2416,91030,10.29,1.67,83.77,Low,Low,Low,,-0.68,-0.6,-0.61,111.48,98.36,13.120000000000005,High,-3.3,Neutral,Medium,Low,High,70.77,70.05,,,,,-0.33,,,0.01,73.35,72.5,72.6,69.65,71.24,,,,,0.4,2.55,2.95,False,0.0,NoSwipe,Bearish,-0.04603323180597485,-3.299999999999997,Neutral,,,,23.09,-45.85,,,,-0.1,,Sell,-0.12999999999999545,-0.03,0.42,0.46,False,1.99,1.76,True,-3.299999999999997,12.010927213205305,-39.636059803577474,68.10554635761589,-2.005554778993939e-05,-0.01640565389220922,31.27,31.65,False
2015-01-07,HINDCOPPER,186557,2021,89847,8.82,3.33,62.24,Low,Low,Low,,-0.68,-0.6,-0.62,109.68,96.77,12.91000000000001,High,-1.15,Neutral,Medium,Low,High,69.3,68.9,,,,,-0.45,,,0.01,70.05,70.0,70.7,68.3,69.27,,,,,0.6,1.8,2.4,False,0.0,NoSwipe,Bearish,-0.016553094763403386,-1.1499999999999915,Neutral,,,,38.46,66.57,,,,-0.17,,Sell,-0.2400000000000091,-0.07,0.52,0.5,True,1.89,1.77,True,-1.1499999999999915,12.136492101397474,-13.956965916606991,92.30925284512618,-6.164335833016137e-06,-0.006905970270463628,34.03,33.5,True
2015-01-08,HINDCOPPER,184440,2379,75556,11.59,1.67,85.59,Low,Low,Low,,-0.69,-0.6,-0.61,113.11,98.36,14.75,High,2.05,Neutral,Medium,Low,High,70.68,70.95,,,,,-0.45,,,0.01,68.9,69.35,71.75,69.35,71.0,,,,,1.6,0.8,2.4,False,0.0,NoSwipe,Bullish,0.029319225586438513,2.049999999999997,Neutral,,,,32.3,-16.02,,,,-0.11,,Sell,-0.20999999999999375,-0.1,1.08,0.76,True,1.33,1.51,False,2.049999999999997,12.125079486320642,24.85641294695728,77.52837326607819,1.111472565603989e-05,0.010448261011751695,33.4,33.21,True
2015-01-09,HINDCOPPER,123438,1825,56852,10.0,3.28,67.2,Low,Low,Low,,-0.7,-0.61,-0.63,111.11,96.83,14.280000000000001,High,-0.8,Neutral,Medium,Low,High,70.6,70.15,,,,,-0.61,,,0.01,70.95,71.45,71.65,70.0,70.66,,,,,0.15,1.5,1.65,False,0.0,,Bearish,-0.011339597057581585,-0.7999999999999972,Neutral,,,,40.99,26.9,,,,-0.1,,Sell,-0.23000000000000398,-0.13,0.61,0.64,False,1.41,1.51,False,-0.7999999999999972,11.723494284702285,-9.378795427761794,67.6372602739726,-6.48098640613099e-06,-0.005139065987814682,36.09,34.95,True
2015-01-12,HINDCOPPER,102340,1866,43779,11.27,3.28,70.9,Low,Low,Low,,-0.71,-0.61,-0.63,112.7,96.83,15.870000000000005,High,0.15,Neutral,Medium,Low,High,70.23,70.3,,,,,-0.72,,,0.01,70.15,70.55,70.75,69.65,70.23,,,,,0.65,0.45,1.1,True,0.5,CandleLowSwipe,Bearish,0.0021359922681494226,0.14999999999999147,Neutral,,,,49.86,21.64,,,,-0.08,,Sell,-0.23000000000000398,-0.15,0.63,0.64,False,0.93,1.28,False,0.14999999999999147,11.536055882359083,1.7304083823537642,54.844587352625936,1.4657025600937216e-06,0.00092733568186161,40.86,38.06,True
2015-01-13,HINDCOPPER,1004379,9587,204021,39.34,19.57,50.25,Low,Medium,Medium,,-0.61,-0.46,-0.37,164.86,124.32,40.54000000000002,Very High,2.3,Neutral,High,High,Medium,72.58,72.6,,,,,0.13,,,0.01,70.3,71.0,75.15,70.0,73.66,,,,,2.6,2.55,5.15,False,0.0,NoSwipe,Bullish,0.0321931230141308,2.299999999999997,Neutral,,,,20.34,-59.21,,,,0.03,,Buy,-0.10999999999999943,-0.14,1.62,0.97,True,1.74,1.54,True,2.299999999999997,13.819879998042213,31.78572399549705,104.76468133931365,2.2899722116850284e-06,0.0033155026593821896,33.84,34.55,False
2015-01-14,HINDCOPPER,241416,3153,71446,15.94,1.69,89.4,Low,Low,Medium,,-0.69,-0.59,-0.58,118.97,101.72,17.25,High,-0.8,Neutral,Medium,Low,High,72.27,71.8,,,,,-0.32,,,0.01,72.6,72.5,74.0,71.0,72.45,,,,,0.8,2.2,3.0,False,0.0,,Bearish,-0.011080445776571857,-0.7999999999999972,Neutral,,,,25.52,25.47,,,,0.06,,Buy,-0.07000000000000739,-0.13,1.21,0.95,True,1.97,1.66,True,-0.7999999999999972,12.394276865482285,-9.915421492385793,76.56707897240723,-3.3137820194187507e-06,-0.003144757847252075,31.02,32.84,False
