Date,Symbol,Prev Close,Open,High,Low,Close,vwap,Volume,Trades,Deliverable Volume,%Deliverble,Z-ScoreDelVolume
2025-06-03,HINDPETRO,408.2,407.5,410.0,401.1,402.0,404.08,2570008,35001.0,1352237,52.62,-0.6
2025-06-02,HINDPETRO,411.05,409.6,412.7,407.0,408.2,409.15,2200493,30073.0,1061173,48.22,-0.77
2025-05-30,HINDPETRO,414.75,414.75,418.9,408.9,411.05,412.56,6164496,50181.0,3950328,64.08,0.86
2025-05-29,HINDPETRO,418.1,418.85,419.15,412.6,414.75,415.0,3108847,43967.0,1464589,47.11,-0.54
2025-05-28,HINDPETRO,412.15,412.15,420.5,409.05,418.1,416.22,5630546,45695.0,3388293,60.18,0.54
2025-05-27,HINDPETRO,414.6,414.95,415.55,406.3,412.15,411.8,4849935,62204.0,2836299,58.48,0.23
2025-05-26,HINDPETRO,408.1,408.8,417.45,408.45,414.6,414.16,2976520,33118.0,1353937,45.49,-0.6
2025-05-23,HINDPETRO,401.25,404.0,411.75,404.0,408.1,408.17,5540517,39883.0,2713666,48.98,0.16
2025-05-22,HINDPETRO,404.9,405.0,406.95,397.8,401.25,402.5,1971376,41211.0,958331,48.61,-0.83
2025-05-21,HINDPETRO,397.4,395.5,405.9,390.55,404.9,399.69,3723167,36240.0,1580101,42.44,-0.48
2025-05-20,HINDPETRO,404.9,406.0,410.5,392.2,397.4,402.73,3231580,40500.0,1470039,45.49,-0.54
2025-05-19,HINDPETRO,410.05,410.1,411.5,404.1,404.9,406.96,2489091,29225.0,1305728,52.46,-0.63
2025-05-16,HINDPETRO,402.7,404.45,411.2,402.65,410.05,407.95,5353067,54154.0,3290141,61.46,0.49
2025-05-15,HINDPETRO,396.6,400.0,407.3,397.7,402.7,401.8,5828155,79095.0,2326445,39.92,-0.06
2025-05-14,HINDPETRO,388.9,392.8,398.0,391.45,396.6,395.96,4370060,65078.0,2393230,54.76,-0.02
2025-05-13,HINDPETRO,388.8,390.0,393.6,386.2,388.9,389.22,3665291,57024.0,1840752,50.22,-0.33
2025-05-12,HINDPETRO,386.25,395.0,397.0,386.0,388.8,390.52,4957935,56879.0,2694953,54.36,0.15
2025-05-09,HINDPETRO,388.1,382.2,388.0,380.0,386.25,384.61,3757854,75066.0,1775597,47.25,-0.37
2025-05-08,HINDPETRO,396.95,399.0,402.6,385.0,388.1,393.17,5347464,60713.0,2643938,49.44,0.12
2025-05-07,HINDPETRO,396.8,394.0,405.1,392.6,396.95,398.27,8825404,120128.0,4108058,46.55,0.95
2025-05-06,HINDPETRO,409.85,410.0,411.85,395.1,396.8,402.66,5485163,62899.0,2352971,42.9,-0.04
2025-05-05,HINDPETRO,385.05,392.0,414.0,391.25,409.85,407.12,28073682,206101.0,12344697,43.97,5.58
2025-05-02,HINDPETRO,378.7,379.95,390.3,379.95,385.05,385.58,4484802,40314.0,2246491,50.09,-0.1
2025-04-30,HINDPETRO,391.1,395.0,402.75,374.5,378.7,388.85,9150558,88000.0,4242824,46.37,1.02
2025-04-29,HINDPETRO,392.2,393.1,396.8,389.25,391.1,392.29,4419920,85779.0,2776865,62.83,0.2
2025-04-28,HINDPETRO,380.7,377.0,393.0,377.0,392.2,390.28,6104973,59281.0,3783839,61.98,0.76
2025-04-25,HINDPETRO,390.45,390.4,393.1,378.25,380.7,382.82,2552932,35038.0,810455,31.75,-0.91
2025-04-24,HINDPETRO,388.8,390.0,394.0,387.3,390.45,390.58,4385172,40099.0,1906919,43.49,-0.29
2025-04-23,HINDPETRO,398.45,398.5,399.2,383.85,388.8,389.42,4742867,71487.0,2482956,52.35,0.03
2025-04-22,HINDPETRO,394.85,395.9,402.25,393.0,398.45,398.65,5630844,54167.0,3312022,58.82,0.5
2025-04-21,HINDPETRO,387.7,387.7,399.0,384.5,394.85,392.4,2836553,34096.0,1366009,48.16,-0.6
2025-04-17,HINDPETRO,390.05,389.9,391.3,385.05,387.7,387.59,2358710,36497.0,914294,38.76,-0.85
2025-04-16,HINDPETRO,379.1,378.5,391.15,377.3,390.05,385.09,3731014,49652.0,1426051,38.22,-0.56
2025-04-15,HINDPETRO,382.2,386.55,386.95,376.1,379.1,379.61,4572204,43114.0,2407387,52.65,-0.01
2025-04-11,HINDPETRO,379.3,384.5,386.75,377.05,382.2,381.02,7217670,77131.0,4010038,55.56,0.89
2025-04-09,HINDPETRO,369.15,372.0,383.05,365.15,379.3,376.08,11180400,101757.0,4790233,42.84,1.33
2025-04-08,HINDPETRO,352.8,360.1,371.7,353.0,369.15,363.85,10576907,136558.0,4707831,44.51,1.28
2025-04-07,HINDPETRO,358.35,350.0,366.95,341.5,352.8,356.42,15489620,128940.0,4650376,30.02,1.25
2025-04-04,HINDPETRO,362.45,373.0,377.85,350.6,358.35,361.88,12874209,83111.0,4752352,36.91,1.31
2025-04-03,HINDPETRO,362.15,361.0,374.3,359.35,362.45,363.59,5566330,49382.0,2621627,47.1,0.11
2025-04-02,HINDPETRO,361.7,360.1,363.4,353.05,362.15,358.97,2536402,40642.0,1158136,45.66,-0.71
2025-04-01,HINDPETRO,360.35,354.8,363.5,349.6,361.7,358.35,5111753,77487.0,2162915,42.31,-0.15
