Date,Symbol,Close,Vol2Trade,Z-ScoreDelVolume,NetDel2Vol
2017-02-23,HINDPETRO,571.0,91.67,1.0,186.11
2017-03-17,HINDPETRO,513.35,92.31,1.83,259.61
2017-03-23,HINDPETRO,521.75,88.89,1.02,73.01
2017-07-13,HINDPETRO,375.1,83.69,2.9,40.77
2017-08-03,HINDPETRO,396.8,89.31,2.41,62.25999999999999
2018-01-25,HINDPETRO,384.15,43.51,2.77,62.220000000000006
2018-01-29,HINDPETRO,375.15,57.24,5.27,67.94
2018-04-19,HINDPETRO,301.5,87.76,2.95,12.579999999999998
2018-04-26,HINDPETRO,296.35,186.61,4.32,153.55
2018-05-31,HINDPETRO,311.85,127.36,2.24,83.96
2018-06-28,HINDPETRO,261.35,104.8,1.85,-30.8
2018-08-13,HINDPETRO,273.1,167.65,1.24,197.06
2019-02-14,HINDPETRO,220.7,88.89,1.56,34.92
2019-04-03,HINDPETRO,260.5,130.3,2.41,52.28
2019-04-25,HINDPETRO,275.05,159.88,3.62,56.890000000000015
2020-05-04,HINDPETRO,207.8,149.02,1.09,64.70999999999998
2020-06-05,HINDPETRO,204.6,144.83,1.45,21.83999999999997
2020-06-30,HINDPETRO,216.75,541.18,1.95,605.88
2020-08-06,HINDPETRO,216.1,286.67,0.99,-66.67000000000002
2020-08-11,HINDPETRO,215.25,337.5,1.11,9.379999999999995
2020-10-01,HINDPETRO,175.5,361.54,1.7,74.35999999999996
2020-11-27,HINDPETRO,209.35,227.82,3.64,45.860000000000014
2020-12-31,HINDPETRO,217.9,236.11,1.6,208.33
2021-01-14,HINDPETRO,233.6,189.47,1.98,71.05999999999997
2021-02-02,HINDPETRO,222.3,456.25,1.53,21.870000000000005
2021-02-03,HINDPETRO,225.25,475.0,2.43,132.5
2021-02-26,HINDPETRO,242.45,172.48,1.77,-10.090000000000003
2021-03-17,HINDPETRO,235.9,190.62,1.74,81.25999999999999
2021-05-07,HINDPETRO,251.45,1866.67,1.37,416.6599999999999
2021-07-07,HINDPETRO,306.35,344.44,1.16,300.00000000000006
2021-10-05,HINDPETRO,314.45,76.33,1.57,-0.480000000000004
2022-05-31,HINDPETRO,227.8,440.0,2.43,532.0
2022-09-16,HINDPETRO,228.8,314.29,2.08,428.57
2022-11-28,HINDPETRO,238.5,384.44,2.6,193.34
2023-03-17,HINDPETRO,242.55,914.29,2.18,642.8500000000001
2023-05-31,HINDPETRO,260.9,4800.0,3.4,6533.33
2023-06-07,HINDPETRO,276.65,181.75,3.37,85.70999999999998
2023-07-03,HINDPETRO,283.5,179.22,2.55,-13.639999999999986
2023-09-15,HINDPETRO,252.25,1822.22,3.06,1577.78
2023-12-07,HINDPETRO,383.1,239.78,2.73,53.77000000000001
2023-12-27,HINDPETRO,381.85,197.27,4.12,177.28
2024-02-02,HINDPETRO,488.85,148.75,2.33,-51.67
2024-02-26,HINDPETRO,541.65,84.41,1.58,-37.94
2024-02-28,HINDPETRO,507.2,106.54,1.83,13.069999999999991
2024-02-29,HINDPETRO,509.4,108.73,1.8,34.13000000000001
2024-03-15,HINDPETRO,468.85,85.83,4.56,-25.989999999999995
2024-05-31,HINDPETRO,537.35,97.89,1.52,62.11
2024-07-24,HINDPETRO,353.85,336.67,1.54,176.66000000000005
2024-08-06,HINDPETRO,386.2,171.91,2.02,55.06
2024-08-13,HINDPETRO,371.35,180.29,4.08,117.52
2024-08-23,HINDPETRO,405.5,241.46,0.99,0.0
2024-10-17,HINDPETRO,433.35,198.92,3.01,124.74000000000004
2024-11-04,HINDPETRO,368.5,98.31,1.47,26.27
2024-12-11,HINDPETRO,410.1,310.81,2.18,278.38000000000005
2024-12-20,HINDPETRO,399.5,110.23,1.32,39.77
2025-02-28,HINDPETRO,293.75,152.5,1.04,107.5
2025-04-28,HINDPETRO,392.2,136.84,1.29,202.63
2025-05-16,HINDPETRO,410.05,136.0,1.0,264.0
