Date,Symbol,Prev Close,Open,High,Low,Close,vwap,Volume,Trades,Deliverable Volume,%Deliverble,MWPL,MWPL_Diff,Close_Future,FUT_VOLUME,Open Interest,Expiry,Change in OI,Close_Diff,Position
2010-01-04,HINDPETRO,390.3,393.5,407.0,390.5,399.75,401.3,866765,,431964,0.49840000000000007,,,401.6,,3119350.0,2010-01-28,438750.0,,Undecisive
2010-01-05,HINDPETRO,399.75,399.0,403.35,395.5,400.0,399.81,692724,,362938,0.5239,,,401.5,,3121300.0,2010-01-28,1950.0,-0.10000000000002274,ShortBuildUp
2010-01-06,HINDPETRO,400.0,397.0,402.7,384.0,389.9,389.08,1234808,,876943,0.7101999999999999,,,390.65,,2882100.0,2010-01-28,-239200.0,-10.850000000000023,LongUnwinding
2010-01-07,HINDPETRO,389.9,390.6,392.0,385.55,389.1,387.75,865098,,525020,0.6069,,,390.15,,2903550.0,2010-01-28,21450.0,-0.5,ShortBuildUp
2010-01-08,HINDPETRO,389.1,392.0,404.0,389.25,393.7,396.2,834271,,458103,0.5491,,,395.25,,3045250.0,2010-01-28,141700.0,5.100000000000023,LongBuildUp
2010-01-11,HINDPETRO,393.7,394.9,402.0,387.3,390.1,393.17,691921,,372500,0.5384000000000001,,,391.8,,3118700.0,2010-01-28,73450.0,-3.4499999999999886,ShortBuildUp
2010-01-12,HINDPETRO,390.1,393.0,394.7,381.35,382.4,386.45,956510,,561346,0.5869,,,383.8,,3321500.0,2010-01-28,202800.0,-8.0,ShortBuildUp
2010-01-13,HINDPETRO,382.4,384.3,392.0,382.0,386.45,387.6,772616,,273845,0.3544,,,388.1,,3340350.0,2010-01-28,18850.0,4.300000000000011,LongBuildUp
2010-01-14,HINDPETRO,386.45,389.9,396.2,388.3,391.8,392.17,742012,,275884,0.3718,,,392.6,,3346850.0,2010-01-28,6500.0,4.5,LongBuildUp
2010-01-15,HINDPETRO,391.8,391.8,396.0,385.2,386.45,388.21,420196,,220032,0.5236,,,387.7,,3367000.0,2010-01-28,20150.0,-4.900000000000034,ShortBuildUp
2010-01-18,HINDPETRO,386.45,389.9,393.5,385.1,387.2,388.94,297210,,134390,0.4522,,,388.0,,3333850.0,2010-01-28,-33150.0,0.30000000000001137,ShortCovering
2010-01-19,HINDPETRO,387.2,387.0,395.5,374.2,376.2,386.01,1030973,,530931,0.515,,,377.7,,3467750.0,2010-01-28,133900.0,-10.300000000000011,ShortBuildUp
2010-01-20,HINDPETRO,376.2,378.4,378.9,360.0,362.5,364.36,2268472,,1612229,0.7107,,,363.65,,3605550.0,2010-01-28,137800.0,-14.050000000000011,ShortBuildUp
2010-01-21,HINDPETRO,362.5,360.5,365.8,349.1,351.05,357.94,1045246,,588589,0.5631,,,352.1,,3605550.0,2010-01-28,0.0,-11.549999999999955,Undecisive
2010-01-22,HINDPETRO,351.05,351.0,353.9,339.25,351.6,347.67,1317602,,807255,0.6127,,,352.5,,3240900.0,2010-01-28,-364650.0,0.39999999999997726,ShortCovering
2010-01-25,HINDPETRO,351.6,354.1,354.1,346.05,351.45,350.17,417478,,233873,0.5602,,,352.15,,2933450.0,2010-01-28,-307450.0,-0.35000000000002274,LongUnwinding
2010-01-27,HINDPETRO,351.45,350.0,352.7,340.2,344.6,344.96,945493,,657605,0.6955,,,344.4,,1604850.0,2010-01-28,-1328600.0,-7.75,LongUnwinding
2010-01-28,HINDPETRO,344.6,350.0,352.3,333.2,337.0,340.19,1882223,,1343310,0.7137000000000001,,,337.0,,593450.0,2010-01-28,-1011400.0,-7.399999999999977,LongUnwinding
2010-01-29,HINDPETRO,337.0,337.7,340.0,324.2,333.7,331.3,2617670,,1713591,0.6546,,,,,,,,,
2010-02-01,HINDPETRO,333.7,337.0,352.8,334.25,349.35,344.57,1327737,,558242,0.4204,82.35733205,,351.2,,4046250.0,2010-02-25,230100.0,14.199999999999989,LongBuildUp
2010-02-02,HINDPETRO,349.35,355.0,358.0,343.25,351.9,351.58,887939,,273633,0.30820000000000003,82.68714078,0.33,352.45,,3878550.0,2010-02-25,-167700.0,1.25,ShortCovering
2010-02-03,HINDPETRO,351.9,354.75,360.0,348.05,356.15,355.09,789712,,140919,0.1784,82.46137885,-0.23,357.55,,3940950.0,2010-02-25,62400.0,5.100000000000023,LongBuildUp
2010-02-04,HINDPETRO,356.15,364.7,368.75,351.25,353.05,357.23,1589803,,637134,0.4008,82.66554616,0.2,353.05,,3857100.0,2010-02-25,-83850.0,-4.5,LongUnwinding
2010-02-05,HINDPETRO,353.05,350.05,354.4,335.2,339.75,344.34,1146215,,539312,0.4705,82.0432285,-0.62,340.3,,4005300.0,2010-02-25,148200.0,-12.75,ShortBuildUp
2010-02-06,HINDPETRO,339.75,338.9,352.9,338.9,348.7,346.46,103735,,26553,0.256,,,349.65,,4014400.0,2010-02-25,9100.0,9.349999999999966,LongBuildUp
2010-02-08,HINDPETRO,348.7,354.0,355.9,339.0,343.25,344.1,762923,,368160,0.4826,81.78605622,-0.26,344.7,,4074850.0,2010-02-25,60450.0,-4.949999999999989,ShortBuildUp
2010-02-09,HINDPETRO,343.25,344.0,349.25,341.2,343.3,345.55,535012,,200370,0.37450000000000006,81.77427734,-0.01,344.45,,4064450.0,2010-02-25,-10400.0,-0.25,LongUnwinding
2010-02-10,HINDPETRO,343.3,345.25,354.5,343.1,348.85,348.58,1315285,,626684,0.4765,81.13821764,-0.64,351.5,,4219150.0,2010-02-25,154700.0,7.050000000000011,LongBuildUp
