DeiiveryToTrade_CAT,VolumeToTrade_CAT,TradeDel2VolDiff_CAT,next_day_fluctuates,next_day_CandleType,percentage_fluctuation,TotalCount
High,High,Very Low,39.782291666666644,Bullish,192,192
High,Low,Very Low,33.761764705882364,Bearish,17,17
High,Medium,Very Low,32.95462184873948,Bearish,119,119
High,Very High,High,24.596875000000022,Bearish,16,16
High,Very High,Low,38.09761904761905,Bullish,21,21
High,Very High,Medium,36.77391304347825,Bearish,23,23
High,Very High,Very High,19.150000000000073,Bearish,3,3
High,Very High,Very Low,33.87105263157892,Bullish,38,38
High,Very Low,Very Low,17.767857142857146,Bearish,14,14
Low,High,High,9.25,Bearish,1,1
Low,High,Low,21.100000000000023,Bearish,2,2
Low,Low,Very Low,22.970774647887325,Bearish,284,284
Low,Medium,Low,20.899999999999977,Bullish,1,1
Low,Medium,Medium,35.5,Bearish,1,1
Low,Medium,Very Low,27.315853658536568,Bullish,41,41
Low,Very High,High,25.374999999999886,Bearish,2,2
Low,Very High,Very High,14.400000000000091,Bearish,1,1
Low,Very Low,Very Low,20.910000000000004,Bearish,110,110
Medium,High,Low,41.64444444444444,Bullish,9,9
Medium,High,Medium,24.25,Bearish,1,1
Medium,High,Very Low,25.891509433962277,Bullish,53,53
Medium,Low,Very Low,22.402032520325214,Bearish,123,123
Medium,Medium,Very Low,31.15688073394496,Bearish,218,218
Medium,Very High,High,37.642857142857096,Bullish,7,7
Medium,Very High,Medium,32.711111111111094,Bearish,9,9
Medium,Very High,Very High,34.80000000000018,Bearish,1,1
Medium,Very Low,Very Low,27.05000000000001,Bearish,22,22
Very High,High,Very Low,44.71259541984732,Bullish,131,131
Very High,Low,Very Low,31.371428571428574,Bullish,7,7
Very High,Medium,Very Low,46.31818181818182,Bearish,44,44
Very High,Very High,High,36.95,Bullish,8,8
Very High,Very High,Low,33.76499999999995,Bullish,20,20
Very High,Very High,Medium,28.836111111111094,Bearish,18,18
Very High,Very High,Very High,15.650000000000091,Bearish,2,2
Very High,Very High,Very Low,40.94438775510202,Bullish,196,196
Very High,Very Low,Very Low,36.11176470588237,Bearish,17,17
Very Low,High,High,33.38333333333329,Bearish,3,3
Very Low,High,Very High,9.350000000000023,Bullish,1,1
Very Low,Low,Low,8.900000000000091,Doji,1,1
Very Low,Low,Very Low,26.949999999999967,Bearish,19,19
Very Low,Medium,High,19.73333333333335,Bearish,3,3
Very Low,Medium,Low,32.44999999999982,Bearish,1,1
Very Low,Medium,Medium,28.574999999999932,Bearish,2,2
Very Low,Medium,Very High,8.850000000000023,Bearish,1,1
Very Low,Very High,Very High,27.470000000000006,Bullish,5,5
Very Low,Very Low,High,33.25000000000002,Bullish,8,8
Very Low,Very Low,Low,28.47307692307698,Bearish,13,13
Very Low,Very Low,Medium,33.618749999999935,Bullish,8,8
Very Low,Very Low,Very High,41.200000000000045,Bearish,1,1
Very Low,Very Low,Very Low,27.302917771883298,Bearish,377,377
