Date,Symbol,Volume,Trades,Deliverable Volume,DeiiveryToTrade,VolumeToTrade,TradeDel2VolDiff,Z-ScoreDelVolume_IMP,VolumeZscore_IMP,TradesZscore_IMP,FuturePremium_IMP,Z-ScoreDelVolume,VolumeZscore,TradesZscore,Del2Trade,Vol2Trade,NetDel2Vol,NetDel2Vol_IMP,ClosePriceDiff,Supply_Demand_Strength,DeiiveryToTrade_IMP,VolumeToTrade_IMP,TradeDel2VolDiff_IMP,Rolling_TWPC_Vol,Close,Close_Diff,Close_Future,Fut2Close%Change,FuturePremium,Fluc-Zscore,MWPL_Diff,Change in OI,MWPLDiffZscore,Prev Close,Open,High,Low,vwap,Open Interest,Expiry,MWPL,Position,BuyingPressure,SellingPressure,fluctuates,CandleSwipe,SwipePercent,SwipeType,CandleType,Return,Change,Supply_Demand_Strength,VWAP_12,VWAP_26,VWAP_Diff_Rate_Change,Per_Trade_Volume_to_Price,VolPerTrade_ROC,Histogram_VWAP,MACD_VWAP,SignalLine_VWAP,Histogram_VWAP_Close,MACD_Signal,MACD_Signal_Close,MACD_VWAP_Close,SignalLine_VWAP_Close,EWMA20BUYPRE,EWMA50BUYPRE,BUYSIGNAL,EWMA20SELLPRE,EWMA50SELLPRE,SELLSIGNAL,Price Change,Log(Volume),Price Movement with Volume,VTR,PCVR,CSI,EWMA20_VolPerTrade,EWMA50_VolPerTrade,VolPerTradeSIGNAL
2010-01-04,HINDUNILVR,668858,,461681,303.33,227.03,25.15,Low,Low,,Medium,-0.3,-0.37,-1.21,24.79,30.58,-5.789999999999999,Medium,,Neutral,High,Medium,Medium,,264.7,,264.95,,0.25,-1.12,,207000.0,-0.0,264.8,264.8,266.2,264.1,264.89,11683000.0,2010-01-28,,Undecisive,,,2.1,,,,,,,Neutral,,,,,,,,,0.0,,,0.0,0.0,,,False,,,False,,13.413327059480489,,,,,,,False
2010-01-05,HINDUNILVR,1392726,,890136,908.33,706.67,22.2,Medium,Medium,,Low,-0.12,-0.15,-1.21,9.92,12.4,-2.4800000000000004,High,-0.85,Low Demand,Very High,Very High,Medium,,263.85,-1.099999999999966,263.85,-0.09999999999999998,0.0,-1.04,,744000.0,-0.0,264.7,265.75,266.4,262.5,263.83,12427000.0,2010-01-28,,ShortBuildUp,1.35,2.55,3.9,True,0.08,CandleHighSwipe,Bearish,-0.0032163493813790467,-0.8499999999999659,Low Demand,,,,,,,,,-0.02,,Sell,-0.01999999999998181,-0.0,1.35,1.35,False,2.55,2.55,False,-0.8499999999999659,14.146773535639811,-12.024757505293357,,-6.103138736549514e-07,,,,False
2010-01-06,HINDUNILVR,1682107,,1250492,4133.33,1916.67,53.63,High,High,,Low,0.03,-0.06,-1.21,-2.48,4.96,-7.4399999999999995,Medium,1.5,Low Supply,Very High,Very High,High,,265.35,1.1499999999999773,265.0,-0.12999999999999995,-0.35000000000002274,-1.06,,-27000.0,-0.0,263.85,264.75,266.0,262.6,264.45,12400000.0,2010-01-28,,ShortCovering,2.75,0.65,3.4,False,0.0,,Bullish,0.005668949422227065,1.5,Low Supply,,,,,,,,,0.02,,Buy,0.020000000000038654,0.0,2.28,2.08,True,1.28,1.53,False,1.5,14.335557732236051,21.503336598354075,,8.91738753836706e-07,,,,False
2010-01-07,HINDUNILVR,2723548,,1860219,517.24,565.38,9.31,Very High,Very High,,Medium,0.29,0.26,-1.21,-23.97,-21.49,-2.4800000000000004,High,-0.55,Strong Demand,High,Very High,Low,,264.8,0.25,265.25,0.3,0.44999999999998863,-1.08,,-86000.0,-0.0,265.35,265.1,267.25,264.15,265.42,12314000.0,2010-01-28,,ShortCovering,0.65,2.45,3.1,True,0.47,CandleHighSwipe,Bearish,-0.002074885211050592,-0.5500000000000114,Strong Demand,,,,,,,,,0.02,,Buy,0.01999999999998181,0.0,1.35,1.56,False,1.95,1.88,True,-0.5500000000000114,14.817446000030952,-8.149595300017191,,-2.0194246622420877e-07,,,,False
2010-01-08,HINDUNILVR,4000986,,3528095,223.47,286.15,28.05,Very High,Very High,,Low,0.98,0.65,-1.21,-80.99,-53.72,-27.269999999999996,Low,1.15,Strong Demand,Medium,High,High,,265.95,0.6999999999999886,265.95,-0.16999999999999998,0.0,-1.09,,-43000.0,-0.0,264.8,265.1,267.0,264.15,265.12,12271000.0,2010-01-28,,ShortCovering,1.8,1.05,2.85,False,0.0,,Bullish,0.004333497125473151,1.1499999999999773,Strong Demand,,,,,,,,,0.05,,Buy,0.06999999999999318,0.02,1.59,1.63,False,1.47,1.62,False,1.1499999999999773,15.202051388708032,17.48235909701389,,2.874291487148361e-07,,,,False
2010-01-11,HINDUNILVR,2251471,,1736196,626.09,1108.33,77.02,Very High,Very High,,Low,0.23,0.12,-1.21,-19.01,-9.92,-9.090000000000002,Medium,0.15,Strong Demand,High,Very High,Very High,,266.1,0.25,266.2,0.03,0.0999999999999659,-1.09,,57000.0,-0.0,265.95,266.6,268.35,265.6,267.03,12328000.0,2010-01-28,,LongBuildUp,0.5,2.25,2.75,True,0.51,CandleHighSwipe,Bearish,0.0005638567953170082,0.1500000000000341,Strong Demand,,,,,,,,,0.06,,Buy,0.09000000000003183,0.03,1.03,1.36,False,1.87,1.79,True,0.1500000000000341,14.627094338338791,2.1940641507513177,,6.66231099579049e-08,,,,False
2010-01-12,HINDUNILVR,3826930,,3065321,253.16,301.67,19.16,Very High,Very High,,Medium,0.79,0.6,-1.21,-65.29,-49.59,-15.700000000000003,Low,-3.95,Strong Supply,Medium,High,Medium,,262.15,-3.75,262.45,0.07000000000000006,0.30000000000001137,-0.95,,280000.0,-0.0,266.1,266.0,266.75,260.55,262.76,12608000.0,2010-01-28,,ShortBuildUp,1.6,4.6,6.2,False,0.0,NoSwipe,Bearish,-0.014955318965101938,-3.9500000000000455,Strong Supply,,,,,,,,,-0.07,,Sell,-0.060000000000002274,0.01,1.32,1.41,False,3.26,2.46,True,-3.9500000000000455,15.15757347315093,-59.87241521894686,,-1.0321589367979152e-06,,,,False
2010-01-13,HINDUNILVR,1917571,,1438488,1200.0,6150.0,412.5,Very High,High,,Medium,0.11,0.02,-1.21,-9.09,-1.65,-7.4399999999999995,Medium,0.35,Strong Demand,Very High,Very High,Very High,,262.5,0.4000000000000341,262.85,0.01999999999999999,0.35000000000002274,-1.08,,-134000.0,-0.0,262.15,262.0,263.75,260.75,262.24,12474000.0,2010-01-28,,ShortCovering,1.75,1.25,3.0,False,0.0,,Bullish,0.0013342230131367927,0.35000000000002274,Strong Demand,,,,,,,,,-0.14,,Sell,-0.15999999999996817,-0.02,1.54,1.47,True,2.25,2.19,True,0.35000000000002274,14.466569838917453,5.063299443621437,,1.825225767390218e-07,,,,False
2010-01-14,HINDUNILVR,3583983,,2520634,316.07,328.3,3.87,Very High,Very High,,Medium,0.56,0.53,-1.21,-46.28,-43.8,-2.480000000000004,High,-6.45,Strong Supply,High,High,Low,,256.05,-6.2000000000000455,256.65,0.10000000000000009,0.5999999999999659,-0.86,,833000.0,-0.0,262.5,262.6,263.6,255.3,258.14,13307000.0,2010-01-28,,ShortBuildUp,0.75,7.55,8.3,False,0.0,NoSwipe,Bearish,-0.024878344123118623,-6.449999999999989,Strong Supply,,,,,,,,,-0.41,,Sell,-0.5299999999999727,-0.12,1.14,1.35,False,4.91,3.27,True,-6.449999999999989,15.091985309762137,-97.34330524796562,,-1.799673714970185e-06,,,,False
2010-01-15,HINDUNILVR,4361271,,3677734,215.24,259.21,20.43,Very High,Very High,,Medium,1.05,0.76,-1.21,-86.78,-62.81,-23.97,Low,0.35,Strong Demand,Medium,High,Medium,,256.4,0.5,257.15,0.04999999999999999,0.75,-1.09,,247000.0,-0.0,256.05,257.75,258.75,255.9,257.05,13554000.0,2010-01-28,,LongBuildUp,0.5,2.35,2.85,False,0.0,,Bearish,0.0013659871379552158,0.3499999999999659,Strong Demand,,,,,,,,,-0.53,,Sell,-0.7800000000000296,-0.25,0.82,1.22,False,3.63,3.1,True,0.3499999999999659,15.288274086604805,5.35089593031116,,8.02518348435504e-08,,,,False
2010-01-18,HINDUNILVR,1088348,,629990,426.09,404.17,5.14,Low,Medium,,Medium,-0.23,-0.24,-1.21,19.01,19.83,-0.8199999999999967,High,0.9,Low Supply,High,High,Low,,257.3,0.6000000000000227,257.75,-0.11999999999999997,0.44999999999998863,-1.05,,-3023000.0,-0.0,256.4,256.5,258.35,254.55,255.74,10531000.0,2010-01-28,,ShortCovering,2.75,1.05,3.8,True,0.52,CandleLowSwipe,Bullish,0.003503994241183861,0.9000000000000341,Low Supply,,,,,,,,,-0.52,,Sell,-0.9000000000000341,-0.38,1.79,1.44,True,2.34,2.73,False,0.9000000000000341,13.900171508197154,12.510154357377912,,8.269413827195291e-07,,,,False
2010-01-19,HINDUNILVR,1122943,,722987,536.84,426.09,20.63,Medium,Medium,,Low,-0.19,-0.23,-1.21,15.7,19.01,-3.3100000000000023,High,-1.85,Low Demand,High,High,Medium,,255.45,-2.6999999999999886,255.05,-0.33000000000000007,-0.39999999999997726,-1.07,,198000.0,-0.0,257.3,257.75,257.75,254.6,255.66,10729000.0,2010-01-28,,ShortBuildUp,0.85,2.3,3.15,False,0.0,,Bearish,-0.007216023510891567,-1.8500000000000227,Low Demand,262.06173471207234,,,,,,,,-0.55,,Sell,-1.0699999999999932,-0.52,1.32,1.36,False,2.32,2.65,False,-1.8500000000000227,13.931463475531247,-25.773207429733123,,-1.6474567275454076e-06,,,,False
2010-01-20,HINDUNILVR,2198874,,1719695,626.09,1310.0,109.24,Very High,Very High,,Low,0.23,0.1,-1.21,-19.01,-8.26,-10.750000000000002,Medium,2.35,Strong Demand,High,Very High,Very High,,257.8,1.8999999999999773,256.95,-0.18000000000000005,-0.8500000000000227,-0.99,,-1058000.0,-0.0,255.45,256.0,258.6,253.5,255.79,9671000.0,2010-01-28,,ShortCovering,4.3,0.8,5.1,False,0.0,NoSwipe,Bullish,0.009157394728280366,2.3500000000000227,Strong Demand,261.60066328901803,,,,,,,,-0.42,,Sell,-1.0500000000000114,-0.63,2.81,1.75,True,1.56,2.34,False,2.3500000000000227,14.603455969123091,34.318121527439594,,1.068728813019765e-06,,,,False
2010-01-21,HINDUNILVR,3093875,,2517812,316.07,418.42,32.38,Very High,Very High,,Low,0.56,0.38,-1.21,-46.28,-31.4,-14.880000000000003,Low,-1.05,Strong Supply,High,High,High,,256.75,-0.8499999999999659,256.1,0.07999999999999996,-0.6499999999999773,-0.98,,-712000.0,-0.0,257.8,258.0,261.1,255.65,258.79,8959000.0,2010-01-28,,LongUnwinding,1.1,4.35,5.45,True,0.97,CandleHighSwipe,Bearish,-0.004081241696419546,-1.0500000000000114,Strong Supply,261.1188884274129,,,,,,,,-0.36,,Sell,-1.079999999999984,-0.72,1.95,1.67,True,2.95,2.67,True,-1.0500000000000114,14.94493490852332,-15.692181653949657,,-3.3938022706153656e-07,,,,False
2010-01-22,HINDUNILVR,5117085,,4367929,190.98,221.0,15.72,Very High,Very High,,Low,1.33,1.0,-1.21,-109.92,-82.64,-27.28,Low,1.2,Strong Demand,Medium,Medium,Medium,,257.95,1.1499999999999773,257.25,-0.019999999999999962,-0.6999999999999886,-0.9,,-1455000.0,-0.0,256.75,253.0,259.15,251.95,256.96,7504000.0,2010-01-28,,ShortCovering,6.0,1.2,7.2,True,1.43,CandleOpenLowSwipe,Bullish,0.004662918881990663,1.1999999999999886,Strong Demand,260.2590076265823,,,,,,,,-0.25,,Sell,-1.0300000000000296,-0.78,3.98,2.2,True,2.08,2.43,False,1.1999999999999886,15.448095498944944,18.537714598733757,,2.3450851412473871e-07,,,,False
2010-01-25,HINDUNILVR,4355123,,3664359,216.35,259.21,19.81,Very High,Very High,,Low,1.04,0.76,-1.21,-85.95,-62.81,-23.14,Low,6.0,Strong Demand,Medium,High,Medium,,263.95,5.399999999999977,262.65,-0.22999999999999998,-1.3000000000000114,-0.83,,-1626000.0,-0.0,257.95,258.7,264.55,255.5,261.99,5878000.0,2010-01-28,,ShortCovering,8.45,0.6,9.05,False,0.0,NoSwipe,Bullish,0.02299392357896668,6.0,Strong Demand,260.00648032989454,,,,,,,,0.14,,Buy,-0.6000000000000227,-0.74,6.21,2.95,True,1.34,2.14,False,6.0,15.286863411268296,91.72118046760977,,1.3776878402745457e-06,,,,False
2010-01-27,HINDUNILVR,9203979,,7164315,148.4,153.78,3.63,Very High,Very High,,Medium,2.5,2.25,-1.21,-206.61,-185.95,-20.660000000000025,Low,-4.6,Strong Supply,Medium,Medium,Low,,259.35,-3.099999999999966,259.55,0.56,0.19999999999998863,-0.86,,-2349000.0,-0.0,263.95,263.0,263.0,254.7,259.57,3529000.0,2010-01-28,,LongUnwinding,4.65,3.65,8.3,True,0.31,CandleLowSwipe,Bearish,-0.017581190472215624,-4.599999999999966,Strong Supply,259.2493859186197,,,,,,,,0.15,,Buy,-0.5600000000000023,-0.71,5.43,3.15,True,2.49,2.38,True,-4.599999999999966,16.035146448518102,-73.76167366318272,,-4.997838434876879e-07,,,,False
