Date,Symbol,Expiry,Open,High,Low,Close,Settle Price,FUT_VOLUME,Number of Contracts,Open Interest,Change in OI
2024-12-12,ICICIBANK,2024-12-26,1329.85,1343.0,1329.8,1334.65,1334.65,13616400.0,19452.0,75100200,-1615600
2024-12-11,ICICIBANK,2024-12-26,1332.3,1335.15,1320.55,1331.9,1331.9,13283200.0,18976.0,76715800,-1634500
2024-12-10,ICICIBANK,2024-12-26,1322.8,1335.15,1320.45,1332.6,1332.6,8903300.0,12719.0,78350300,-1484000
2024-12-09,ICICIBANK,2024-12-26,1328.85,1334.8,1323.35,1328.1,1328.1,11873400.0,16962.0,79834300,-1101100
2024-12-06,ICICIBANK,2024-12-26,1347.9,1349.85,1331.4,1335.4,1335.4,23218300.0,33169.0,80935400,2747500
2024-12-05,ICICIBANK,2024-12-26,1317.4,1345.55,1314.05,1339.2,1339.2,36367100.0,51953.0,78187900,-1136800
2024-12-04,ICICIBANK,2024-12-26,1311.9,1324.5,1308.2,1320.35,1320.35,18312000.0,26160.0,79324700,-1257900
2024-12-03,ICICIBANK,2024-12-26,1307.65,1318.7,1302.1,1313.9,1313.9,17516800.0,25024.0,80582600,-368200
2024-12-02,ICICIBANK,2024-12-26,1302.35,1316.4,1296.0,1310.5,1310.5,14480200.0,20686.0,80950800,655900
2024-11-29,ICICIBANK,2024-12-26,1292.9,1309.45,1292.9,1307.45,1307.45,13271300.0,18959.0,80294900,-926100
2024-11-28,ICICIBANK,2024-11-28,1303.65,1312.45,1283.95,1286.75,1286.35,21183400.0,30262.0,5463500,-13808200
2024-11-27,ICICIBANK,2024-11-28,1304.15,1310.0,1299.0,1302.7,1302.7,29984500.0,42835.0,19271700,-21977200
2024-11-26,ICICIBANK,2024-11-28,1313.05,1313.4,1302.7,1305.95,1305.95,29094100.0,41563.0,41248900,-20584900
2024-11-25,ICICIBANK,2024-11-28,1294.6,1310.4,1290.85,1302.3,1302.3,41643000.0,59490.0,61833800,-16538200
2024-11-22,ICICIBANK,2024-11-28,1262.1,1282.4,1257.1,1275.9,1275.9,27790000.0,39700.0,78372000,-7252000
2024-11-21,ICICIBANK,2024-11-28,1247.0,1258.0,1232.95,1252.2,1252.2,21359100.0,30513.0,85624000,-108500
2024-11-19,ICICIBANK,2024-11-28,1260.35,1262.7,1242.4,1247.8,1247.8,26192600.0,37418.0,85732500,-6170500
2024-11-18,ICICIBANK,2024-11-28,1264.85,1264.85,1250.9,1254.75,1254.75,8997800.0,12854.0,91903000,-2156000
2024-11-14,ICICIBANK,2024-11-28,1262.55,1269.0,1246.0,1258.35,1258.35,19971700.0,28531.0,94059000,-2022300
2024-11-13,ICICIBANK,2024-11-28,1271.0,1277.5,1252.75,1258.6,1258.6,28217700.0,40311.0,96081300,1967000
2024-11-12,ICICIBANK,2024-11-28,1275.8,1297.3,1269.75,1274.45,1274.45,30484300.0,43549.0,94114300,6023500
2024-11-11,ICICIBANK,2024-11-28,1269.0,1280.4,1252.4,1274.2,1274.2,17841600.0,25488.0,88091500,938700
2024-11-08,ICICIBANK,2024-11-28,1278.8,1284.8,1258.4,1264.75,1264.75,21452900.0,30647.0,87152800,5064500
2024-11-07,ICICIBANK,2024-11-28,1306.95,1306.95,1282.0,1285.6,1285.6,17637200.0,25196.0,82088300,1617700
2024-11-06,ICICIBANK,2024-11-28,1306.6,1319.45,1298.85,1307.8,1307.8,24389400.0,34842.0,80470600,-2850400
2024-11-05,ICICIBANK,2024-11-28,1273.5,1304.1,1270.15,1300.2,1300.2,38810100.0,55443.0,83321000,1589000
2024-11-04,ICICIBANK,2024-11-28,1299.4,1299.4,1275.0,1281.4,1281.4,18273500.0,26105.0,81732000,-946400
2024-11-01,ICICIBANK,2024-11-28,1297.0,1298.4,1291.5,1295.35,1295.35,2468200.0,3526.0,82678400,-94500
2024-10-31,ICICIBANK,2024-10-31,1306.45,1318.45,1289.5,1294.15,1292.25,15523200.0,22176.0,6204100,-9458400
2024-10-30,ICICIBANK,2024-10-31,1322.75,1329.8,1304.6,1311.8,1311.8,23923900.0,34177.0,15662500,-14436800
2024-10-29,ICICIBANK,2024-10-31,1305.3,1334.05,1299.55,1330.75,1330.75,57034600.0,81478.0,30099300,-22829800
2024-10-28,ICICIBANK,2024-10-31,1284.9,1308.25,1280.15,1293.5,1293.5,59658200.0,85226.0,52929100,-19453700
2024-10-25,ICICIBANK,2024-10-31,1255.7,1271.15,1236.3,1258.8,1258.8,33109300.0,47299.0,72382800,-7194600
2024-10-24,ICICIBANK,2024-10-31,1255.35,1264.0,1244.0,1256.65,1256.65,23333100.0,33333.0,79577400,-4284000
2024-10-23,ICICIBANK,2024-10-31,1264.1,1269.7,1247.0,1254.25,1254.25,25254600.0,36078.0,83861400,-3503500
2024-10-22,ICICIBANK,2024-10-31,1267.3,1284.35,1260.3,1269.35,1269.35,38907400.0,55582.0,87364900,1188600
2024-10-21,ICICIBANK,2024-10-31,1266.85,1273.6,1252.9,1259.6,1259.6,24622500.0,35175.0,86176300,-2489900
2024-10-18,ICICIBANK,2024-10-31,1232.8,1269.3,1228.05,1266.85,1266.85,28730100.0,41043.0,88666200,-4718000
2024-10-17,ICICIBANK,2024-10-31,1256.0,1259.5,1229.55,1236.9,1236.9,17551100.0,25073.0,93384200,-1196300
2024-10-16,ICICIBANK,2024-10-31,1251.9,1257.5,1246.55,1249.0,1249.0,20601000.0,29430.0,94580500,1829800
2024-10-15,ICICIBANK,2024-10-31,1241.65,1260.0,1240.9,1257.55,1257.55,20793500.0,29705.0,92750700,-2685900
2024-10-14,ICICIBANK,2024-10-31,1226.95,1243.75,1223.4,1237.85,1237.85,14648200.0,20926.0,95436600,-553000
2024-10-11,ICICIBANK,2024-10-31,1247.8,1247.8,1227.3,1229.0,1229.0,18410000.0,26300.0,95989600,-2720900
2024-10-10,ICICIBANK,2024-10-31,1251.0,1258.85,1244.3,1247.2,1247.2,17514000.0,25020.0,98710500,-515900
2024-10-09,ICICIBANK,2024-10-31,1247.8,1268.75,1235.05,1249.8,1249.8,40872300.0,58389.0,99226400,5477500
2024-10-08,ICICIBANK,2024-10-31,1246.55,1253.5,1237.25,1241.6,1241.6,25627000.0,36610.0,93748900,3164700
2024-10-07,ICICIBANK,2024-10-31,1252.05,1267.75,1234.7,1243.05,1243.05,52513300.0,75019.0,90584200,7513100
2024-10-04,ICICIBANK,2024-10-31,1254.95,1272.55,1244.7,1248.05,1248.05,31606400.0,45152.0,83071100,4320400
2024-10-03,ICICIBANK,2024-10-31,1268.0,1276.0,1258.35,1267.15,1267.15,38238900.0,54627.0,78750700,3519600
2024-10-01,ICICIBANK,2024-10-31,1280.05,1289.2,1277.25,1284.9,1284.9,28123900.0,40177.0,75231100,-703500
2024-09-30,ICICIBANK,2024-10-31,1304.45,1305.5,1280.65,1283.2,1283.2,31566500.0,45095.0,75934600,3380300
2024-09-27,ICICIBANK,2024-10-31,1327.1,1332.95,1315.45,1317.85,1317.85,27233500.0,38905.0,72554300,1512000
