Date,Symbol,Close,Vol2Trade,Z-ScoreDelVolume,NetDel2Vol
2015-02-10,ICICIBANK,331.05,116.16,1.14,-1.009999999999991
2015-03-04,ICICIBANK,349.35,326.92,1.09,92.31
2015-06-03,ICICIBANK,295.75,143.59,1.02,117.95000000000002
2015-08-24,ICICIBANK,269.95,174.32,1.77,64.87
2015-08-25,ICICIBANK,283.5,512.5,1.02,125.0
2015-09-09,ICICIBANK,264.55,51.94,1.05,29.460000000000008
2016-02-01,ICICIBANK,217.2,202.27,2.88,124.99999999999996
2016-02-17,ICICIBANK,190.75,510.53,1.06,47.360000000000014
2016-02-18,ICICIBANK,196.15,762.5,1.55,206.25
2016-02-25,ICICIBANK,183.0,2342.86,2.66,1457.14
2017-02-02,ICICIBANK,285.8,4900.0,1.09,550.0
2017-04-20,ICICIBANK,272.75,313.16,1.72,139.46999999999997
2017-05-23,ICICIBANK,306.05,1485.71,1.31,385.72
2017-10-18,ICICIBANK,263.15,694.74,1.82,263.15
2017-10-25,ICICIBANK,305.7,311.4,10.55,76.47000000000003
2017-10-30,ICICIBANK,300.55,370.59,1.8,-17.649999999999977
2017-11-02,ICICIBANK,316.65,1362.5,1.55,575.0
2017-12-15,ICICIBANK,303.15,300.0,1.53,312.0
2017-12-28,ICICIBANK,315.3,7000.0,1.49,7900.0
2018-03-28,ICICIBANK,278.35,1500.0,1.29,342.8599999999999
2018-06-21,ICICIBANK,297.95,711.11,1.2,-44.440000000000055
2018-08-27,ICICIBANK,339.9,140.0,1.4,35.0
2018-10-05,ICICIBANK,307.3,235.14,1.04,-94.6
2018-11-16,ICICIBANK,367.55,741.18,1.18,-47.059999999999945
2019-03-06,ICICIBANK,371.95,862.5,1.91,331.25
2019-03-12,ICICIBANK,388.2,411.36,2.37,127.27999999999996
2019-03-15,ICICIBANK,395.3,627.27,1.64,118.18000000000006
2019-05-20,ICICIBANK,407.7,155.1,1.64,12.25
2019-09-20,ICICIBANK,417.5,158.33,4.68,-2.3300000000000125
2019-11-15,ICICIBANK,499.85,192.98,1.96,-21.049999999999983
2019-11-26,ICICIBANK,510.7,441.81,32.93,249.99999999999997
2020-03-09,ICICIBANK,457.75,96.48,2.36,7.47999999999999
2020-03-20,ICICIBANK,345.7,107.43,4.85,-17.28
2020-04-16,ICICIBANK,342.0,99.1,1.31,-59.88
2020-07-16,ICICIBANK,344.65,272.58,1.08,-98.39
2020-09-18,ICICIBANK,369.55,828.33,5.43,76.66999999999996
2021-01-29,ICICIBANK,537.0,112.69,1.38,-9.700000000000005
2021-04-15,ICICIBANK,575.2,120.92,1.72,-8.5
2021-04-28,ICICIBANK,621.35,116.03,1.07,-34.349999999999994
2021-10-25,ICICIBANK,841.7,94.5,4.43,-28.680000000000007
2021-12-08,ICICIBANK,753.4,80.1,2.12,30.89
2022-03-09,ICICIBANK,667.45,85.64,1.95,22.090000000000003
2022-11-30,ICICIBANK,952.9,47.86,1.31,64.11
2023-01-27,ICICIBANK,817.2,57.93,3.47,42.07
2024-01-04,ICICIBANK,987.15,49.65,1.51,55.940000000000005
2024-01-24,ICICIBANK,999.2,94.19,2.39,44.75999999999999
2024-03-21,ICICIBANK,1081.8,54.35,1.02,56.52
2024-11-25,ICICIBANK,1300.95,144.9,1.44,148.98
2024-12-20,ICICIBANK,1288.4,281.3,5.0,125.2
2025-02-28,ICICIBANK,1204.1,47.66,1.15,59.82000000000001
