Date,Symbol,Prev Close,Open,High,Low,Close,vwap,Volume,Trades,Deliverable Volume,%Deliverble
2024-12-13,ICICIBANK,1329.25,1325.35,1347.15,1313.5,1344.9,1334.68,13536684,226965.0,8805261,65.05
2024-12-12,ICICIBANK,1327.5,1321.55,1338.75,1321.55,1329.25,1330.74,9076896,189489.0,4608892,50.78
2024-12-11,ICICIBANK,1330.45,1324.7,1331.25,1316.0,1327.5,1325.69,8138066,177570.0,4405607,54.14
2024-12-10,ICICIBANK,1322.3,1319.0,1332.0,1315.25,1330.45,1327.71,8218214,157320.0,5774561,70.27
2024-12-09,ICICIBANK,1328.75,1322.1,1329.05,1320.25,1322.3,1323.57,8000764,148025.0,5650135,70.62
2024-12-06,ICICIBANK,1336.5,1342.5,1347.1,1326.7,1328.75,1334.62,8942672,208546.0,5623078,62.88
2024-12-05,ICICIBANK,1316.05,1316.25,1342.9,1308.6,1336.5,1329.38,19210697,281891.0,12163323,63.32
2024-12-04,ICICIBANK,1308.4,1302.6,1320.0,1301.7,1316.05,1313.28,11570281,247575.0,7517045,64.97
2024-12-03,ICICIBANK,1304.65,1303.95,1312.8,1296.1,1308.4,1306.89,11509276,235915.0,8693306,75.53
2024-12-02,ICICIBANK,1300.1,1299.9,1310.55,1289.15,1304.65,1303.46,9626400,225242.0,7281438,75.64
2024-11-29,ICICIBANK,1286.35,1283.1,1303.25,1283.1,1300.1,1296.93,11397228,242391.0,7815536,68.57
2024-11-28,ICICIBANK,1300.7,1301.05,1310.5,1282.3,1286.35,1292.68,22803745,275436.0,17693973,77.59
2024-11-27,ICICIBANK,1304.95,1298.5,1310.85,1297.85,1300.7,1302.15,21938082,222370.0,16717483,76.2
2024-11-26,ICICIBANK,1300.95,1310.6,1314.25,1302.45,1304.95,1306.1,7646955,164865.0,4396342,57.49
2024-11-25,ICICIBANK,1278.05,1296.0,1311.2,1290.0,1300.95,1302.41,22717581,205883.0,16520496,72.72
2024-11-22,ICICIBANK,1250.55,1258.0,1281.4,1256.0,1278.05,1275.03,11604338,214688.0,6844834,58.99
2024-11-21,ICICIBANK,1249.1,1248.55,1256.9,1232.55,1250.55,1247.38,9593870,209109.0,4862632,50.68
2024-11-19,ICICIBANK,1253.45,1257.05,1261.0,1240.85,1249.1,1251.54,11537317,233269.0,7049513,61.1
2024-11-18,ICICIBANK,1256.95,1260.0,1262.6,1249.4,1253.45,1254.62,6195554,204301.0,3775521,60.94
2024-11-14,ICICIBANK,1253.7,1253.75,1267.7,1243.05,1256.95,1255.26,9506892,224597.0,5310528,55.86
2024-11-13,ICICIBANK,1270.6,1270.6,1276.25,1250.0,1253.7,1261.05,12260404,258070.0,5557092,45.33
2024-11-12,ICICIBANK,1269.3,1276.15,1295.0,1264.5,1270.6,1276.01,13486168,251685.0,5842950,43.33
2024-11-11,ICICIBANK,1258.85,1262.0,1275.9,1246.65,1269.3,1266.04,8387780,193310.0,4438244,52.91
2024-11-08,ICICIBANK,1278.7,1270.0,1275.0,1252.7,1258.85,1260.33,11195808,233807.0,7881177,70.39
2024-11-07,ICICIBANK,1302.35,1297.15,1302.8,1275.25,1278.7,1282.48,9909035,185720.0,7049271,71.14
2024-11-06,ICICIBANK,1296.7,1300.25,1315.0,1292.7,1302.35,1306.97,12037405,201411.0,7356098,61.11
2024-11-05,ICICIBANK,1277.2,1273.0,1301.3,1263.1,1296.7,1284.33,16431920,262702.0,8353299,50.84
2024-11-04,ICICIBANK,1291.8,1290.1,1291.8,1270.05,1277.2,1276.5,14309121,268956.0,9268857,64.78
2024-11-01,ICICIBANK,1292.25,1289.95,1296.2,1286.25,1291.8,1292.11,1007022,40161.0,340097,33.77
2024-10-31,ICICIBANK,1312.15,1307.25,1318.95,1288.55,1292.25,1296.28,23497314,250950.0,17937069,76.34
2024-10-30,ICICIBANK,1331.85,1324.0,1330.9,1305.6,1312.15,1312.8,15055031,285240.0,8189838,54.4
2024-10-29,ICICIBANK,1292.85,1301.35,1335.35,1299.25,1331.85,1321.25,20656117,436897.0,11909218,57.65
2024-10-28,ICICIBANK,1255.45,1285.5,1307.8,1280.6,1292.85,1296.93,24096412,619071.0,14032225,58.23
2024-10-25,ICICIBANK,1252.75,1247.25,1268.9,1234.2,1255.45,1250.04,13546055,370555.0,7506753,55.42
2024-10-24,ICICIBANK,1251.6,1250.25,1260.45,1241.05,1252.75,1252.73,12223031,313840.0,8917637,72.96
2024-10-23,ICICIBANK,1267.5,1261.0,1267.95,1243.05,1251.6,1251.59,14055447,319605.0,8271068,58.85
2024-10-22,ICICIBANK,1259.05,1266.6,1284.9,1259.75,1267.5,1273.05,20090801,408613.0,9703216,48.3
2024-10-21,ICICIBANK,1264.5,1264.5,1272.35,1250.55,1259.05,1260.14,7742775,155332.0,4567006,58.98
2024-10-18,ICICIBANK,1231.25,1227.95,1268.9,1225.25,1264.5,1256.38,11018126,229878.0,6902716,62.65
2024-10-17,ICICIBANK,1243.15,1249.45,1256.95,1224.4,1231.25,1235.01,8459497,160363.0,5549943,65.61
2024-10-16,ICICIBANK,1255.5,1248.5,1254.95,1241.6,1243.15,1247.54,7869727,207420.0,4923400,62.56
2024-10-15,ICICIBANK,1231.75,1238.95,1258.3,1235.4,1255.5,1251.17,11657338,216309.0,7761367,66.58
2024-10-14,ICICIBANK,1223.0,1221.0,1237.9,1217.4,1231.75,1232.07,11833929,230853.0,8812918,74.47
2024-10-11,ICICIBANK,1243.5,1237.0,1240.8,1222.0,1223.0,1228.1,8472512,284576.0,5141282,60.68
2024-10-10,ICICIBANK,1244.15,1246.75,1254.7,1238.0,1243.5,1244.67,9118195,265371.0,4326130,47.45
2024-10-09,ICICIBANK,1236.6,1243.05,1265.1,1232.65,1244.15,1246.69,14765997,260234.0,5044864,34.17
2024-10-08,ICICIBANK,1233.9,1241.0,1247.8,1229.75,1236.6,1238.7,12219259,257858.0,8000568,65.48
2024-10-07,ICICIBANK,1239.75,1241.55,1262.95,1225.0,1233.9,1242.75,20667247,439173.0,8701660,42.1
2024-10-04,ICICIBANK,1256.35,1247.1,1264.4,1236.2,1239.75,1248.43,13488887,326830.0,6370212,47.23
2024-10-03,ICICIBANK,1274.4,1253.6,1265.75,1248.15,1256.35,1253.97,17648551,337808.0,13813366,78.27
2024-10-01,ICICIBANK,1273.0,1269.8,1280.25,1267.6,1274.4,1274.08,10972413,191587.0,6791453,61.9
2024-09-30,ICICIBANK,1306.6,1292.1,1296.8,1270.9,1273.0,1278.52,12622212,240013.0,8513213,67.45
2024-09-27,ICICIBANK,1329.05,1333.0,1333.0,1303.85,1306.6,1312.54,17117379,289431.0,12510425,73.09
2024-09-26,ICICIBANK,1323.85,1320.0,1333.35,1316.9,1329.05,1326.63,11100869,278312.0,6623851,59.67
2024-09-25,ICICIBANK,1318.6,1310.75,1327.75,1310.1,1323.85,1322.81,8728019,174582.0,4283291,49.08
2024-09-24,ICICIBANK,1321.9,1321.0,1331.4,1315.45,1318.6,1320.74,13886037,250464.0,8691426,62.59
2024-09-23,ICICIBANK,1338.45,1331.0,1331.8,1308.5,1321.9,1320.13,11380409,309380.0,5927910,52.09
2024-09-20,ICICIBANK,1292.0,1295.0,1362.35,1291.55,1338.45,1331.38,73257767,544641.0,44237266,60.39
2024-09-19,ICICIBANK,1288.35,1288.35,1300.0,1285.35,1292.0,1293.4,13172268,210277.0,8351796,63.4
2024-09-18,ICICIBANK,1268.1,1262.0,1295.35,1262.0,1288.35,1286.46,12466597,240630.0,6157977,49.4
2024-09-17,ICICIBANK,1262.85,1259.95,1272.25,1258.4,1268.1,1267.18,11513121,204010.0,6596446,57.3
2024-09-16,ICICIBANK,1250.35,1251.0,1265.6,1244.7,1262.85,1257.5,8973335,165577.0,6415744,71.5
2024-09-13,ICICIBANK,1252.15,1252.0,1255.95,1242.05,1250.35,1249.5,9877288,268203.0,6746373,68.3
2024-09-12,ICICIBANK,1236.35,1238.0,1257.0,1226.35,1252.15,1243.23,15376442,211567.0,8928331,58.06
2024-09-11,ICICIBANK,1237.3,1231.5,1239.3,1226.4,1236.35,1234.69,11993242,183989.0,5249210,43.77
2024-09-10,ICICIBANK,1235.0,1236.95,1241.35,1227.0,1237.3,1235.85,15545130,323300.0,9422327,60.61
2024-09-09,ICICIBANK,1208.15,1202.9,1238.3,1200.45,1235.0,1225.45,13863250,241629.0,9068199,65.41
2024-09-06,ICICIBANK,1235.95,1225.95,1233.9,1205.0,1208.15,1217.46,10170479,347361.0,5377433,52.87
2024-09-05,ICICIBANK,1236.35,1238.0,1244.85,1231.3,1235.95,1235.75,9142811,160981.0,6036567,66.03
2024-09-04,ICICIBANK,1247.7,1239.85,1243.7,1232.8,1236.35,1237.93,13505843,239189.0,8181463,60.58
2024-09-03,ICICIBANK,1229.95,1227.2,1250.95,1220.4,1247.7,1236.45,19114907,241160.0,11369194,59.48
2024-09-02,ICICIBANK,1229.2,1239.0,1239.2,1222.5,1229.95,1229.7,12516759,303615.0,8125381,64.92
2024-08-30,ICICIBANK,1221.9,1230.0,1235.55,1218.9,1229.2,1228.19,21211148,280420.0,13086144,61.69
2024-08-29,ICICIBANK,1223.85,1218.95,1235.0,1217.0,1221.9,1225.43,10806748,234393.0,5998619,55.51
2024-08-28,ICICIBANK,1226.35,1222.65,1226.4,1217.3,1223.85,1223.2,12291305,189822.0,6070412,49.39
2024-08-27,ICICIBANK,1213.3,1213.3,1232.5,1208.9,1226.35,1222.91,16295325,196362.0,9162721,56.23
2024-08-26,ICICIBANK,1203.5,1205.55,1214.95,1201.05,1213.3,1211.0,10920226,149344.0,7750510,70.97
2024-08-23,ICICIBANK,1191.1,1193.0,1205.0,1188.55,1203.5,1199.93,7518309,173481.0,4757508,63.28
2024-08-22,ICICIBANK,1174.85,1182.0,1192.6,1176.6,1191.1,1187.45,8564142,248029.0,5412334,63.2
2024-08-21,ICICIBANK,1179.45,1177.0,1178.65,1165.1,1174.85,1172.27,17234142,232318.0,8263320,47.95
2024-08-20,ICICIBANK,1175.9,1174.2,1189.8,1170.0,1179.45,1181.26,10427061,179266.0,4919341,47.18
2024-08-19,ICICIBANK,1187.25,1191.0,1195.75,1173.3,1175.9,1181.33,6686394,123110.0,3030789,45.33
2024-08-16,ICICIBANK,1161.65,1170.0,1193.0,1165.65,1187.25,1181.45,10961370,233289.0,5454731,49.76
2024-08-14,ICICIBANK,1168.35,1167.0,1170.05,1153.0,1161.65,1159.56,13431801,232399.0,7107910,52.92
2024-08-13,ICICIBANK,1172.8,1183.2,1189.25,1163.6,1168.35,1172.48,13117927,260022.0,6008482,45.8
2024-08-12,ICICIBANK,1171.6,1171.0,1178.25,1156.0,1172.8,1170.54,10860455,206013.0,5648835,52.01
2024-08-09,ICICIBANK,1164.6,1176.55,1180.95,1169.0,1171.6,1173.65,8687307,161291.0,6055216,69.7
2024-08-08,ICICIBANK,1172.45,1166.95,1174.4,1158.9,1164.6,1166.37,10806438,240108.0,5792396,53.6
2024-08-07,ICICIBANK,1166.85,1178.95,1179.8,1161.6,1172.45,1170.37,15753644,268848.0,6449023,40.94
2024-08-06,ICICIBANK,1172.6,1175.0,1187.7,1161.5,1166.85,1169.06,13575619,269178.0,6142127,45.24
2024-08-05,ICICIBANK,1196.55,1182.0,1188.9,1167.0,1172.6,1173.69,14306771,303083.0,8928367,62.41
2024-08-02,ICICIBANK,1210.1,1197.0,1201.65,1190.1,1196.55,1196.16,10735395,267701.0,6615453,61.62
2024-08-01,ICICIBANK,1214.9,1212.5,1222.65,1206.9,1210.1,1213.22,8725046,166589.0,5162505,59.17
2024-07-31,ICICIBANK,1209.45,1219.0,1224.65,1211.0,1214.9,1216.75,22297629,278794.0,11848714,53.14
