Date,Symbol,Expiry,Open,High,Low,Close,Settle Price,FUT_VOLUME,Number of Contracts,Open Interest,Change in OI
2024-12-12,ICICIPRULI,2024-12-26,695.1,701.85,688.5,694.75,694.75,1869000,2492.0,8925000,127500
2024-12-11,ICICIPRULI,2024-12-26,689.75,699.3,684.0,698.25,698.25,1608000,2144.0,8797500,-271500
2024-12-10,ICICIPRULI,2024-12-26,686.85,697.5,680.0,683.65,683.65,2555250,3407.0,9069000,-144750
2024-12-09,ICICIPRULI,2024-12-26,678.75,683.3,673.9,679.2,679.2,921750,1229.0,9213750,240000
2024-12-06,ICICIPRULI,2024-12-26,682.95,689.45,674.0,676.3,676.3,1479750,1973.0,8973750,-255750
2024-12-05,ICICIPRULI,2024-12-26,681.95,681.95,666.45,677.75,677.75,1809750,2413.0,9229500,-77250
2024-12-04,ICICIPRULI,2024-12-26,691.35,694.05,676.75,678.85,678.85,1968000,2624.0,9306750,-215250
2024-12-03,ICICIPRULI,2024-12-26,696.9,701.85,686.5,687.65,687.65,1577250,2103.0,9522000,-66000
2024-12-02,ICICIPRULI,2024-12-26,697.0,706.75,690.3,696.3,696.3,1051500,1402.0,9588000,63750
2024-11-29,ICICIPRULI,2024-12-26,697.05,708.7,690.3,702.6,702.6,4611000,6148.0,9524250,-122250
2024-11-28,ICICIPRULI,2024-11-28,679.0,696.4,668.1,692.2,691.85,2259000,3012.0,270750,-939750
2024-11-27,ICICIPRULI,2024-11-28,683.7,689.35,679.4,681.6,681.6,3886500,5182.0,1210500,-2898000
2024-11-26,ICICIPRULI,2024-11-28,687.25,699.2,687.25,691.0,691.0,3660000,4880.0,4108500,-2565000
2024-11-25,ICICIPRULI,2024-11-28,693.95,700.0,686.5,689.0,689.0,4709250,6279.0,6673500,-2601000
2024-11-22,ICICIPRULI,2024-11-28,670.1,689.7,670.1,687.15,687.15,1265250,1687.0,9274500,-246000
2024-11-21,ICICIPRULI,2024-11-28,684.4,689.15,677.05,679.35,679.35,1035750,1381.0,9520500,-117000
2024-11-19,ICICIPRULI,2024-11-28,687.35,693.35,670.2,685.3,685.3,4067250,5423.0,9637500,-302250
2024-11-18,ICICIPRULI,2024-11-28,682.15,698.6,682.15,692.95,692.95,797250,1063.0,9939750,-114000
2024-11-14,ICICIPRULI,2024-11-28,693.05,700.15,690.45,694.45,694.45,1071750,1429.0,10053750,-166500
2024-11-13,ICICIPRULI,2024-11-28,692.6,703.85,686.0,689.8,689.8,1523250,2031.0,10220250,-45000
2024-11-12,ICICIPRULI,2024-11-28,712.75,712.75,700.7,703.25,703.25,3063000,4084.0,10265250,-99000
2024-11-11,ICICIPRULI,2024-11-28,712.4,712.4,700.8,705.35,705.35,1529250,2039.0,10371000,151500
2024-11-08,ICICIPRULI,2024-11-28,721.75,722.8,710.0,712.75,712.75,1042500,1390.0,10219500,-77250
2024-11-07,ICICIPRULI,2024-11-28,721.2,723.7,713.75,717.55,717.55,1368000,1824.0,10296750,-111750
2024-11-06,ICICIPRULI,2024-11-28,731.4,737.2,715.1,719.65,719.65,2313000,3084.0,10408500,147750
2024-11-05,ICICIPRULI,2024-11-28,726.15,741.4,706.35,734.6,734.6,5397000,7196.0,10260750,-130500
