Date,Symbol,Close,Vol2Trade,Z-ScoreDelVolume,NetDel2Vol
2016-09-30,ICICIPRULI,310.25,130.07,3.16,-19.58
2018-01-19,ICICIPRULI,429.7,382.69,2.39,76.93
2018-04-24,ICICIPRULI,418.15,125.13,3.58,-30.42
2018-05-02,ICICIPRULI,434.1,690.91,1.48,654.5400000000001
2018-07-25,ICICIPRULI,403.6,96.29,3.7,1.8499999999999943
2018-07-26,ICICIPRULI,413.4,158.49,3.85,83.64999999999998
2019-07-25,ICICIPRULI,396.1,91.27,3.32,2.25
2019-07-26,ICICIPRULI,402.55,366.67,2.66,266.66
2019-11-26,ICICIPRULI,497.0,246.48,22.48,169.82000000000002
2020-01-22,ICICIPRULI,506.5,132.09,1.51,-19.40000000000001
2020-01-27,ICICIPRULI,526.25,308.57,1.58,142.86
2020-02-05,ICICIPRULI,477.3,8000.0,1.36,5600.0
2020-06-04,ICICIPRULI,382.65,3100.0,1.46,1766.67
2020-07-06,ICICIPRULI,435.2,850.0,1.56,710.0
2020-11-03,ICICIPRULI,409.7,171.79,1.08,105.13000000000002
2021-03-15,ICICIPRULI,450.25,172.79,2.84,36.03
2022-11-23,ICICIPRULI,460.1,1100.0,1.55,837.5
2023-03-17,ICICIPRULI,405.9,1316.67,1.09,500.0
2023-06-21,ICICIPRULI,567.9,85.94,2.07,75.78
2023-09-28,ICICIPRULI,566.1,1350.0,1.81,1666.67
2023-10-12,ICICIPRULI,524.85,2833.33,1.65,2666.67
2024-01-09,ICICIPRULI,540.85,780.0,2.34,780.0
