DeiiveryToTrade_CAT,VolumeToTrade_CAT,TradeDel2VolDiff_CAT,next_day_fluctuates,next_day_CandleType,percentage_fluctuation,TotalCount
High,High,Low,2.3704444444444435,Bullish,45,45
High,High,Medium,2.2099999999999995,Bearish,10,10
High,High,Very Low,3.1016037735849067,Bullish,106,106
High,Low,Medium,2.0454545454545454,Bullish,11,11
High,Medium,Low,1.904166666666665,Bullish,12,12
High,Medium,Medium,1.7681818181818179,Bullish,11,11
High,Medium,Very Low,2.5124999999999975,Bullish,4,4
High,Very High,High,2.4233333333333333,Bearish,15,15
High,Very High,Low,2.466666666666667,Bearish,9,9
High,Very High,Medium,2.2019999999999995,Bullish,20,20
High,Very High,Very High,2.2386363636363638,Bullish,22,22
High,Very High,Very Low,3.0,Bearish,1,1
High,Very Low,Medium,3.0100000000000007,Bearish,5,5
High,Very Low,Very Low,2.450000000000003,Bullish,2,2
Low,High,High,2.8125000000000036,Bearish,4,4
Low,High,Very High,2.16875,Bearish,16,16
Low,Low,High,1.5749999999999957,Bullish,2,2
Low,Low,Low,2.0357142857142865,Bearish,42,42
Low,Low,Medium,2.2000000000000006,Bearish,34,34
Low,Low,Very Low,2.159999999999999,Bullish,35,35
Low,Medium,High,1.8445945945945954,Bearish,37,37
Low,Medium,Low,2.0181818181818203,Bearish,11,11
Low,Medium,Medium,1.5391304347826078,Bullish,23,23
Low,Medium,Very High,1.6900000000000006,Bearish,5,5
Low,Medium,Very Low,2.3699999999999988,Bearish,5,5
Low,Very High,Very High,2.541538461538461,Bearish,26,26
Low,Very Low,Low,1.4625000000000004,Bearish,4,4
Low,Very Low,Medium,2.174285714285713,Bearish,28,28
Medium,High,High,2.5944444444444437,Bearish,9,9
Medium,High,Low,2.200000000000003,Bullish,5,5
Medium,High,Medium,2.6111111111111134,Bearish,9,9
Medium,High,Very High,3.533333333333329,Bearish,3,3
Medium,High,Very Low,1.4616666666666684,Bullish,6,6
Medium,Low,Low,1.865625000000001,Bullish,16,16
Medium,Low,Medium,1.9980000000000013,Bearish,15,15
Medium,Low,Very Low,2.2099999999999964,Bearish,5,5
Medium,Medium,Low,1.9687500000000018,Bearish,32,32
Medium,Medium,Medium,2.2699999999999996,Bearish,10,10
Medium,Medium,Very Low,2.4172868217054266,Bearish,129,129
Medium,Very High,High,5.1499999999999915,Bullish,1,1
Medium,Very High,Very High,2.313888888888889,Bearish,18,18
Medium,Very Low,Medium,2.674666666666668,Bullish,15,15
Very High,High,Low,2.5499999999999994,Bullish,13,13
Very High,High,Medium,1.928333333333334,Bullish,30,30
Very High,High,Very Low,1.3166666666666675,Bullish,3,3
Very High,Low,Medium,3.2318181818181815,Bearish,11,11
Very High,Medium,Medium,2.4531250000000013,Bearish,16,16
Very High,Very High,High,2.5076190476190474,Bearish,21,21
Very High,Very High,Low,3.0748936170212775,Bearish,47,47
Very High,Very High,Medium,2.855076923076923,Bearish,65,65
Very High,Very High,Very High,2.697826086956522,Bearish,23,23
Very High,Very High,Very Low,3.10837837837838,Bearish,37,37
Very High,Very Low,Medium,1.6399999999999992,Bearish,5,5
Very High,Very Low,Very Low,2.6333333333333377,Bullish,3,3
Very Low,High,Very High,1.8359999999999999,Bearish,15,15
Very Low,Low,High,1.7163461538461533,Bearish,52,52
Very Low,Low,Low,1.125,Bearish,6,6
Very Low,Low,Medium,2.096428571428572,Bearish,28,28
Very Low,Low,Very High,1.8480000000000003,Bearish,50,50
Very Low,Low,Very Low,1.4500000000000028,Bullish,1,1
Very Low,Medium,High,0.9750000000000014,Bearish,2,2
Very Low,Medium,Very High,1.969615384615385,Bearish,52,52
Very Low,Very High,Very High,2.030000000000002,Bearish,8,8
Very Low,Very Low,High,1.3600000000000008,Bearish,10,10
Very Low,Very Low,Low,2.083333333333334,Bearish,18,18
Very Low,Very Low,Medium,1.996666666666666,Bullish,15,15
Very Low,Very Low,Very High,1.8083333333333342,Bearish,12,12
Very Low,Very Low,Very Low,1.5833333333333357,Bearish,6,6
