Date,Symbol,Close,Vol2Trade,Z-ScoreDelVolume,NetDel2Vol
2021-10-11,IEX,780.9,49.75,1.21,-34.77
2021-12-15,IEX,261.6,82.78,5.1,23.03
2022-02-09,IEX,222.05,93.28,1.85,62.18000000000001
2022-04-29,IEX,214.55,147.75,2.55,81.97999999999999
2022-07-07,IEX,163.7,219.44,1.38,163.89
2022-08-01,IEX,166.8,153.66,2.04,95.12
2022-08-19,IEX,163.75,217.99,4.82,128.76999999999998
2022-09-07,IEX,158.7,825.0,1.77,1387.5
2022-11-24,IEX,146.95,250.0,1.23,111.76
2023-03-31,IEX,127.95,414.29,1.64,757.1400000000001
2023-06-14,IEX,123.35,186.49,1.81,302.7
2023-06-15,IEX,124.85,850.0,1.06,916.67
2023-07-28,IEX,122.6,521.05,1.08,47.370000000000005
2023-08-02,IEX,126.9,543.48,1.46,91.29999999999995
2023-12-22,IEX,152.55,476.0,1.3,44.0
2024-01-12,IEX,164.4,988.89,1.2,344.43999999999994
2024-02-07,IEX,145.1,189.38,5.61,58.85
2024-03-02,IEX,151.55,685.71,1.42,1342.86
2024-04-10,IEX,150.45,241.86,1.36,74.41999999999996
2024-04-29,IEX,155.3,254.72,3.17,343.39
2024-05-21,IEX,160.45,200.9,3.95,-23.77000000000001
2024-06-03,IEX,157.8,376.19,1.1,147.61999999999995
2024-06-06,IEX,162.55,250.39,4.19,74.42000000000002
2024-06-10,IEX,165.43,339.29,1.39,157.14
2024-06-26,IEX,178.68,328.57,1.05,171.43
2024-08-07,IEX,197.87,277.78,1.57,71.11000000000001
2024-08-23,IEX,188.97,262.86,1.38,131.43
2024-09-18,IEX,228.07,275.95,3.37,150.63
2024-09-27,IEX,206.25,241.61,4.83,82.55000000000001
2024-10-01,IEX,208.34,252.94,1.08,64.70999999999998
2025-02-28,IEX,155.93,240.35,1.05,-56.13999999999999
