Date,Symbol,Volume,Trades,Deliverable Volume,DeiiveryToTrade,VolumeToTrade,TradeDel2VolDiff,Z-ScoreDelVolume_IMP,VolumeZscore_IMP,TradesZscore_IMP,FuturePremium_IMP,Z-ScoreDelVolume,VolumeZscore,TradesZscore,Del2Trade,Vol2Trade,NetDel2Vol,NetDel2Vol_IMP,ClosePriceDiff,Supply_Demand_Strength,DeiiveryToTrade_IMP,VolumeToTrade_IMP,TradeDel2VolDiff_IMP,Rolling_TWPC_Vol,Close,Close_Diff,Close_Future,Fut2Close%Change,FuturePremium,Fluc-Zscore,MWPL_Diff,Change in OI,MWPLDiffZscore,Prev Close,Open,High,Low,vwap,Open Interest,Expiry,MWPL,Position,BuyingPressure,SellingPressure,fluctuates,CandleSwipe,SwipePercent,SwipeType,CandleType,Return,Change,Supply_Demand_Strength,VWAP_12,VWAP_26,VWAP_Diff_Rate_Change,Per_Trade_Volume_to_Price,VolPerTrade_ROC,Histogram_VWAP,MACD_VWAP,SignalLine_VWAP,Histogram_VWAP_Close,MACD_Signal,MACD_Signal_Close,MACD_VWAP_Close,SignalLine_VWAP_Close,EWMA20BUYPRE,EWMA50BUYPRE,BUYSIGNAL,EWMA20SELLPRE,EWMA50SELLPRE,SELLSIGNAL,Price Change,Log(Volume),Price Movement with Volume,VTR,PCVR,CSI,EWMA20_VolPerTrade,EWMA50_VolPerTrade,VolPerTradeSIGNAL
2017-10-23,IEX,3345798,184049,986150,693.94,990.91,42.79,Medium,High,Very High,,-0.33,-0.22,1.96,-16.84,-11.22,-5.619999999999999,Medium,,Neutral,Very High,Very High,Medium,1596.38,1629.15,,,,,9.42,,,-0.0,1650.0,1500.0,1660.0,1500.0,1614.23,,,,,,,160.0,,,,,,,Neutral,,,,0.11,,,,,0.0,,,0.0,0.0,,,False,,,False,,15.023215788114777,,18.17884367749893,,,0.11,0.11,False
2017-10-24,IEX,216428,22349,74868,46.27,36.84,20.38,Low,Low,Medium,,-0.67,-0.57,-0.36,186.11,158.33,27.78,Very High,-25.75,Neutral,High,High,Medium,1611.23,1603.4,,,,,1.77,,,-0.0,1629.15,1615.0,1635.05,1595.25,1607.88,,,,,8.15,31.65,39.8,False,0.0,,Bearish,-0.015932031785303558,-25.75,Neutral,,,,0.24,118.18,,,,-0.46,,Sell,-0.5799999999999272,-0.12,8.15,8.15,False,31.65,31.65,False,-25.75,12.28501320760278,-316.3390900957716,9.684012707503692,-0.0001189772118210213,-0.014154507588517233,0.19,0.18,True
2017-10-25,IEX,140748,17036,64238,34.33,24.14,29.68,Low,Low,Medium,,-0.67,-0.58,-0.44,152.27,131.82,20.450000000000017,Very High,-40.35,Neutral,High,Medium,Medium,1569.9,1563.05,,,,,2.76,,,-0.0,1603.4,1600.0,1601.0,1545.65,1562.62,,,,,17.4,37.95,55.35,False,0.0,NoSwipe,Bearish,-0.02548733393576086,-40.350000000000136,Neutral,,,,0.15,-37.5,,,,-1.49,,Sell,-1.9800000000000182,-0.49,14.32,13.0,True,35.85,35.04,True,-40.350000000000136,11.854726336309506,-478.3382076700902,8.261798544259216,-0.000286682581635264,-0.028078082159549787,0.17,0.17,False
2017-10-26,IEX,87150,8754,40525,17.65,5.08,71.22,Low,Low,Medium,,-0.68,-0.59,-0.56,121.43,105.36,16.070000000000007,High,-0.4,Neutral,Medium,Low,High,1561.25,1562.65,,,,,2.99,,,-0.0,1563.05,1552.45,1590.0,1531.1,1560.84,,,,,31.55,27.35,58.9,True,0.93,CandleLowSwipe,Bullish,-0.0002559426702388734,-0.3999999999998636,Neutral,,,,0.17,13.33,,,,-1.69,,Sell,-2.599999999999909,-0.91,24.16,19.78,True,30.99,32.07,False,-0.3999999999998636,11.375386050948167,-4.550154420377715,9.955448937628512,-4.589787722316278e-06,-0.0005197800343131957,0.17,0.17,False
2017-10-27,IEX,31148,4276,18655,10.14,5.08,49.9,Low,Low,Low,,-0.69,-0.59,-0.62,111.29,95.16,16.13000000000001,High,2.45,Neutral,Medium,Low,Medium,1563.67,1565.1,,,,,0.75,,,-0.0,1562.65,1560.0,1574.8,1551.1,1563.72,,,,,14.0,9.7,23.7,False,0.0,,Bullish,0.001566621693604553,2.449999999999818,Neutral,,,,0.31,82.35,,,,-1.49,,Sell,-2.770000000000209,-1.28,18.74,18.12,True,19.64,25.13,False,2.449999999999818,10.346505316696877,25.34893802590547,7.284377923292797,7.865673558494343e-05,0.005928189435431588,0.22,0.21,True
2017-10-30,IEX,46909,5745,26431,13.04,1.69,87.04,Low,Low,Medium,,-0.69,-0.59,-0.6,115.0,98.33,16.67,Very High,2.05,Neutral,Medium,Low,High,1568.93,1567.15,,,,,0.68,,,-0.0,1565.1,1565.1,1581.15,1558.5,1565.83,,,,,8.65,14.0,22.65,True,0.41,CandleHighSwipe,Bullish,0.001308963392260054,2.050000000000182,Neutral,,,,0.36,16.13,,,,-1.17,,Sell,-2.740000000000009,-1.57,13.53,15.85,False,16.73,22.17,False,2.050000000000182,10.755964833678956,22.049727909043817,8.165187119234117,4.3701635080692015e-05,0.003838072743088567,0.27,0.24,True
2017-10-31,IEX,23592,4302,15997,10.14,5.08,49.9,Low,Low,Low,,-0.69,-0.59,-0.62,111.29,95.16,16.13000000000001,High,-12.9,Neutral,Medium,Low,Medium,1556.03,1554.25,,,,,1.27,,,-0.0,1567.15,1561.0,1572.85,1541.0,1558.81,,,,,13.25,18.6,31.85,False,0.0,NoSwipe,Bearish,-0.008265568939269663,-12.900000000000091,Neutral,,,,0.17,-52.78,,,,-1.35,,Sell,-3.259999999999991,-1.91,13.39,15.31,False,17.68,21.33,False,-12.900000000000091,10.068662950495112,-129.88575206138785,5.483960948396095,-0.0005467955239064128,-0.030191946085864216,0.24,0.23,True
2017-11-01,IEX,93185,6727,82187,11.94,0.0,100.0,Low,Low,Medium,,-0.67,-0.59,-0.59,113.56,100.0,13.560000000000002,High,5.1,Neutral,Medium,,High,1556.05,1559.35,,,,,1.23,,,-0.0,1554.25,1550.3,1570.0,1538.8,1551.26,,,,,20.55,10.65,31.2,True,0.14,CandleLowSwipe,Bullish,0.003275953597793091,5.099999999999909,Neutral,,,,0.44,158.82,,,,-1.11,,Sell,-3.2999999999999545,-2.19,17.0,16.29,True,14.14,19.01,False,5.099999999999909,11.442342043514765,58.355944421924264,13.852385907536792,5.472983849331876e-05,0.008674883963419693,0.31,0.27,True
2017-11-02,IEX,28883,5173,18250,11.59,3.39,70.75,Low,Low,Low,,-0.69,-0.59,-0.61,113.11,96.72,16.39,High,3.8,Neutral,Medium,Low,High,1562.72,1563.15,,,,,0.83,,,-0.0,1559.35,1560.0,1575.0,1550.0,1561.64,,,,,13.15,11.85,25.0,True,0.32,CandleHighSwipe,Bullish,0.002433948359306548,3.800000000000182,Neutral,,,,0.22,-50.0,,,,-0.74,,Sell,-3.1100000000001273,-2.37,15.07,15.75,False,12.99,17.57,False,3.800000000000182,10.271008465728148,39.02983216976883,5.583413879760294,0.00013156528061490088,0.007544912462742864,0.28,0.26,True
2017-11-03,IEX,94783,8943,54483,17.65,5.08,71.22,Low,Low,Medium,,-0.68,-0.59,-0.56,121.43,105.36,16.070000000000007,High,29.15,Neutral,Medium,Low,High,1588.43,1592.3,,,,,3.5,,,-0.0,1563.15,1553.0,1620.0,1553.0,1582.61,,,,,39.3,27.7,67.0,False,0.0,NoSwipe,Bullish,0.01847649575583432,29.149999999999864,Neutral,,,,0.16,-27.27,,,,0.77,,Buy,-1.4099999999998545,-2.18,27.21,19.47,True,20.36,19.5,True,29.149999999999864,11.459345347267966,334.03991687285964,10.598568712959857,0.00030754460188008254,0.03735210968051657,0.24,0.24,False
2017-11-06,IEX,48041,8308,31579,17.39,3.39,80.51,Low,Low,Medium,,-0.69,-0.59,-0.57,121.05,103.51,17.539999999999992,Very High,10.35,Neutral,Medium,Low,High,1600.55,1602.65,,,,,1.72,,,-0.0,1592.3,1580.1,1619.0,1580.0,1600.99,,,,,22.65,16.35,39.0,False,0.0,,Bullish,0.006478997296037292,10.350000000000136,Neutral,,,,0.15,-6.25,,,,2.05,,Buy,0.38000000000010914,-1.67,24.93,19.94,True,18.35,18.93,False,10.350000000000136,10.779810091963949,111.57103445182834,5.782498796340876,0.00021544097749838964,0.01342934935626244,0.21,0.23,False
2017-11-07,IEX,51383,7845,33909,16.18,3.39,79.05,Low,Low,Medium,,-0.68,-0.59,-0.57,119.3,103.51,15.789999999999992,High,4.35,Neutral,Medium,Low,High,1605.2,1607.0,,,,,1.05,,,-0.0,1602.65,1610.0,1618.5,1590.1,1603.87,,,,,16.9,11.5,28.4,False,0.0,,Bearish,0.00271057757909432,4.349999999999909,Neutral,1593.6112115284807,,,0.23,53.33,,,,2.88,,Buy,1.9299999999998363,-0.95,20.91,19.51,True,14.92,17.63,False,4.349999999999909,10.847062657437341,47.18472255985145,6.549776927979605,8.465835003794853e-05,0.00601462365326341,0.22,0.23,False
2017-11-08,IEX,24765,4412,13982,10.14,5.08,49.9,Low,Low,Low,,-0.69,-0.59,-0.62,111.29,95.16,16.13000000000001,High,-21.0,Neutral,Medium,Low,Medium,1571.83,1586.0,,,,,6.08,,,-0.0,1607.0,1602.0,1618.5,1511.0,1606.71,,,,,75.0,32.5,107.5,False,0.0,NoSwipe,Bearish,-0.01315396354271936,-21.0,Neutral,1582.5468115533558,,,0.05,-78.26,,,,2.25,,Buy,1.8599999999999,-0.39,47.96,26.92,True,23.71,20.15,True,-21.0,10.117186645022338,-212.4609195454691,5.613100634632819,-0.0008479709267110841,-0.04815524015083161,0.16,0.2,False
