Date,Symbol,Volume,Trades,Deliverable Volume,DeiiveryToTrade,VolumeToTrade,TradeDel2VolDiff,Z-ScoreDelVolume_IMP,VolumeZscore_IMP,TradesZscore_IMP,FuturePremium_IMP,Z-ScoreDelVolume,VolumeZscore,TradesZscore,Del2Trade,Vol2Trade,NetDel2Vol,NetDel2Vol_IMP,ClosePriceDiff,Supply_Demand_Strength,DeiiveryToTrade_IMP,VolumeToTrade_IMP,TradeDel2VolDiff_IMP,Rolling_TWPC_Vol,Close,Close_Diff,Close_Future,Fut2Close%Change,FuturePremium,Fluc-Zscore,MWPL_Diff,Change in OI,MWPLDiffZscore,Prev Close,Open,High,Low,vwap,Open Interest,Expiry,MWPL,Position,BuyingPressure,SellingPressure,fluctuates,CandleSwipe,SwipePercent,SwipeType,CandleType,Return,Change,Supply_Demand_Strength,VWAP_12,VWAP_26,VWAP_Diff_Rate_Change,Per_Trade_Volume_to_Price,VolPerTrade_ROC,Histogram_VWAP,MACD_VWAP,SignalLine_VWAP,Histogram_VWAP_Close,MACD_Signal,MACD_Signal_Close,MACD_VWAP_Close,SignalLine_VWAP_Close,EWMA20BUYPRE,EWMA50BUYPRE,BUYSIGNAL,EWMA20SELLPRE,EWMA50SELLPRE,SELLSIGNAL,Price Change,Log(Volume),Price Movement with Volume,VTR,PCVR,CSI,EWMA20_VolPerTrade,EWMA50_VolPerTrade,VolPerTradeSIGNAL
2010-01-04,IGL,290312,,179338,78.43,59.65,23.94,Medium,Low,,,-0.51,-0.57,-0.91,56.04,62.64,-6.600000000000001,Medium,,Neutral,High,High,Medium,,198.85,,,,,-0.92,,,0.0,199.7,198.0,201.8,197.0,198.85,,,,,,,4.8,,,,,,,Neutral,,,,,,,,,0.0,,,0.0,0.0,,,False,,,False,,12.578711485706789,,,,,,,False
2010-01-05,IGL,405828,,261236,111.63,75.0,32.81,Medium,Medium,,,-0.43,-0.52,-0.91,47.25,57.14,-9.89,Medium,1.6,Neutral,High,High,Medium,,200.45,,,,,-0.65,,,0.0,198.85,199.1,206.25,199.1,202.28,,,,,1.35,5.8,7.15,True,2.22,CandleHighSwipe,Bullish,0.008014067434816141,1.5999999999999943,Neutral,,,,,,,,,0.03,,Buy,0.03999999999999204,0.01,1.35,1.35,False,5.8,5.8,False,1.5999999999999943,12.91368470350064,20.66189552560095,,3.942556945306865e-06,,,,False
2010-01-06,IGL,262480,,140085,65.45,56.9,13.06,Low,Low,,,-0.55,-0.58,-0.91,60.44,63.74,-3.3000000000000043,Medium,-2.85,Neutral,High,High,Low,,197.6,,,,,-0.58,,,0.0,200.45,202.0,203.9,196.1,199.81,,,,,1.5,6.3,7.8,False,0.0,NoSwipe,Bearish,-0.014320053774747876,-2.8499999999999943,Neutral,,,,,,,,,-0.04,,Sell,-0.040000000000020464,-0.0,1.45,1.43,True,6.13,6.07,True,-2.8499999999999943,12.477930167634984,-35.562100977759634,,-1.0857970131057582e-05,,,,False
2010-01-07,IGL,197938,,77371,46.77,51.67,10.48,Low,Low,,,-0.62,-0.6,-0.91,68.13,65.93,2.1999999999999886,High,-1.4,Neutral,Medium,High,Low,,196.2,,,,,-0.84,,,0.0,197.6,199.8,200.5,195.0,198.25,,,,,1.2,4.3,5.5,True,0.56,CandleLowSwipe,Bearish,-0.00711023818250478,-1.4000000000000057,Neutral,,,,,,,,,-0.1,,Sell,-0.12999999999999545,-0.03,1.31,1.35,False,5.09,5.39,False,-1.4000000000000057,12.195709129327694,-17.07399278105884,,-7.072921824005525e-06,,,,False
2010-01-08,IGL,191016,,111739,56.9,49.18,13.57,Low,Low,,,-0.58,-0.61,-0.91,63.74,67.03,-3.289999999999999,Medium,-1.35,Neutral,High,High,Medium,,194.85,,,,,-0.91,,,0.0,196.2,197.0,197.9,193.0,194.97,,,,,1.85,3.05,4.9,False,0.0,NoSwipe,Bearish,-0.006904515346544571,-1.3499999999999943,Neutral,,,,,,,,,-0.16,,Sell,-0.2300000000000182,-0.07,1.6,1.49,True,4.0,4.66,False,-1.3499999999999943,12.160112473153795,-16.416151838757553,,-7.06747078778738e-06,,,,False
2010-01-11,IGL,131867,,64746,44.44,44.44,0.0,Low,Low,,,-0.63,-0.63,-0.91,69.23,69.23,0.0,Medium,3.65,Neutral,Medium,High,,,198.5,,,,,-0.9,,,0.0,194.85,196.0,200.5,195.5,198.39,,,,,3.0,2.0,5.0,False,0.0,NoSwipe,Bullish,0.018559068342526963,3.6500000000000057,Neutral,,,,,,,,,-0.04,,Sell,-0.12000000000000455,-0.08,2.32,1.85,True,2.97,3.95,False,3.6500000000000057,11.789549117865255,43.03185428020824,,2.767940424821984e-05,,,,False
2010-01-12,IGL,454697,,246677,106.82,82.0,23.24,Medium,Medium,,,-0.44,-0.5,-0.91,48.35,54.95,-6.600000000000001,Medium,-0.8,Neutral,High,High,Medium,,197.7,,,,,-0.55,,,0.0,198.5,199.05,204.7,196.65,201.1,,,,,1.05,7.0,8.05,True,2.12,CandleHighSwipe,Bearish,-0.004038369950674081,-0.8000000000000114,Neutral,,,,,,,,,-0.01,,Sell,-0.09000000000000341,-0.08,1.68,1.68,False,5.02,4.67,True,-0.8000000000000114,13.027386542034574,-10.421909233627806,,-1.759413411568608e-06,,,,False
2010-01-13,IGL,199094,,143585,65.45,51.67,21.05,Low,Low,,,-0.55,-0.6,-0.91,60.44,65.93,-5.490000000000009,Medium,0.6,Neutral,High,High,Medium,,198.3,,,,,-0.82,,,0.0,197.7,196.0,201.65,196.0,198.48,,,,,2.3,3.35,5.65,True,0.33,CandleOpenLowSwipe,Bullish,0.003030305349178697,0.6000000000000227,Neutral,,,,,,,,,0.03,,Buy,-0.040000000000020464,-0.07,1.99,1.8,True,4.18,4.39,False,0.6000000000000227,12.201532353987956,7.320919412393051,,3.0136518428482163e-06,,,,False
2010-01-14,IGL,829525,,337200,160.0,152.78,4.51,Medium,Medium,,,-0.35,-0.36,-0.91,38.46,39.56,-1.1000000000000014,Medium,8.1,Neutral,Very High,Very High,Low,,206.4,,,,,0.04,,,0.0,198.3,199.1,212.5,199.1,207.73,,,,,7.3,6.1,13.4,False,0.0,NoSwipe,Bullish,0.04003499808165767,8.099999999999994,Neutral,,,,,,,,,0.38,,Buy,0.39999999999997726,0.02,4.66,2.74,True,5.14,4.73,True,8.099999999999994,13.62860852679621,110.39172906704923,,9.76462433320273e-06,,,,False
2010-01-15,IGL,247711,,109194,54.24,54.24,0.0,Low,Low,,,-0.59,-0.59,-0.91,64.84,64.84,0.0,Medium,2.55,Neutral,High,High,,,208.95,,,,,-0.68,,,0.0,206.4,208.2,212.0,205.05,208.45,,,,,3.9,3.05,6.95,False,0.0,,Bullish,0.01227895528651679,2.549999999999983,Neutral,,,,,,,,,0.65,,Buy,0.8400000000000034,0.19,4.28,2.92,True,4.09,4.41,False,2.549999999999983,12.42001802305016,31.671045958777697,,1.0294254191376173e-05,,,,False
