Date,Symbol,Expiry,Open,High,Low,Close,Settle Price,FUT_VOLUME,Number of Contracts,Open Interest,Change in OI
2024-08-28,INDIACEM,2024-08-29,370.3,375.0,366.0,370.7,370.7,3961400,1366.0,13569100,-3598900
2024-08-27,INDIACEM,2024-08-29,369.05,369.9,366.8,368.0,368.0,1244100,429.0,17168000,-1241200
2024-08-26,INDIACEM,2024-08-29,365.9,368.7,365.8,367.05,367.05,640900,221.0,18409200,-606100
2024-08-23,INDIACEM,2024-08-29,367.4,369.7,366.4,367.25,367.25,649600,224.0,19015300,-493000
2024-08-22,INDIACEM,2024-08-29,365.2,371.95,364.65,369.05,369.05,765600,264.0,19508300,-635100
2024-08-21,INDIACEM,2024-08-29,365.6,367.95,364.6,364.9,364.9,327700,113.0,20143400,-240700
2024-08-20,INDIACEM,2024-08-29,364.9,368.1,364.9,366.5,366.5,292900,101.0,20384100,-185600
2024-08-19,INDIACEM,2024-08-29,365.0,369.85,365.0,366.45,366.45,211700,73.0,20569700,-197200
2024-08-16,INDIACEM,2024-08-29,365.85,368.1,365.1,367.25,367.25,292900,101.0,20766900,-258100
2024-08-14,INDIACEM,2024-08-29,365.0,367.4,363.4,366.65,366.65,429200,148.0,21025000,-379900
2024-08-13,INDIACEM,2024-08-29,366.45,368.3,363.6,365.1,365.1,481400,166.0,21404900,-420500
2024-08-12,INDIACEM,2024-08-29,366.5,369.75,366.0,368.55,368.55,124700,43.0,21825400,-116000
2024-08-09,INDIACEM,2024-08-29,371.95,371.95,366.7,367.95,367.95,252300,87.0,21941400,-220400
2024-08-08,INDIACEM,2024-08-29,367.2,370.4,367.2,369.05,369.05,208800,72.0,22161800,-197200
2024-08-07,INDIACEM,2024-08-29,367.75,371.0,367.0,369.0,369.0,156600,54.0,22359000,-150800
2024-08-06,INDIACEM,2024-08-29,370.0,372.5,363.35,364.65,364.65,1325300,457.0,22509800,-1206400
2024-08-05,INDIACEM,2024-08-29,370.0,371.15,365.1,369.5,369.5,1249900,431.0,23716200,-1157100
2024-08-02,INDIACEM,2024-08-29,361.15,378.8,361.15,372.95,372.95,1252800,432.0,24873300,-1046900
2024-08-01,INDIACEM,2024-08-29,366.6,367.0,361.2,365.35,365.35,1206400,416.0,25920200,-1160000
2024-07-31,INDIACEM,2024-08-29,370.0,373.0,366.55,367.1,367.1,867100,299.0,27080200,-783000
2024-07-30,INDIACEM,2024-08-29,375.95,377.0,370.5,371.85,371.85,1194800,412.0,27863200,-1128100
2024-07-29,INDIACEM,2024-08-29,385.3,387.75,372.95,376.4,376.4,43624700,15043.0,28991300,11069300
2024-07-26,INDIACEM,2024-08-29,365.2,379.65,364.4,377.2,377.2,18502000,6380.0,17922000,5150400
2024-07-25,INDIACEM,2024-08-29,350.0,369.0,350.0,363.7,363.7,3245100,1119.0,12771600,-585800
2024-07-24,INDIACEM,2024-07-25,357.95,360.0,333.0,351.5,351.5,3970100,1369.0,8262100,-2340300
2024-07-23,INDIACEM,2024-07-25,355.0,355.95,341.35,352.7,352.7,1693600,584.0,10602400,-1215100
2024-07-22,INDIACEM,2024-07-25,338.25,359.15,338.25,352.9,352.9,1418100,489.0,11817500,-1363000
2024-07-19,INDIACEM,2024-07-25,345.05,354.0,338.65,348.4,348.4,1708100,589.0,13180500,-1693600
2024-07-18,INDIACEM,2024-07-25,325.85,355.25,324.2,346.05,346.05,51219800,17662.0,14874100,2946400
2024-07-16,INDIACEM,2024-07-25,311.45,324.5,311.45,322.95,322.95,2873900,991.0,11927700,-466900
2024-07-15,INDIACEM,2024-07-25,300.95,317.85,300.4,306.85,306.85,2520100,869.0,12394600,-896100
2024-07-12,INDIACEM,2024-07-25,301.55,307.75,290.0,298.7,298.7,414700,143.0,13290700,-397300
2024-07-11,INDIACEM,2024-07-25,297.5,307.5,297.5,305.8,305.8,1377500,475.0,13688000,-1374600
2024-07-10,INDIACEM,2024-07-25,288.85,298.3,277.0,296.2,296.2,1220900,421.0,15062600,-1220900
2024-07-09,INDIACEM,2024-07-25,282.0,288.8,277.35,285.0,285.0,211700,73.0,16283500,-211700
2024-07-08,INDIACEM,2024-07-25,288.65,290.0,283.0,284.3,284.3,295800,102.0,16495200,-295800
2024-07-05,INDIACEM,2024-07-25,290.0,292.45,287.15,290.25,290.25,362500,125.0,16791000,-362500
2024-07-04,INDIACEM,2024-07-25,287.0,290.0,283.4,289.0,289.0,429200,148.0,17153500,-429200
2024-07-03,INDIACEM,2024-07-25,286.1,291.9,285.0,289.8,289.8,527800,182.0,17582700,-527800
2024-07-02,INDIACEM,2024-07-25,287.5,291.5,286.05,287.8,287.8,353800,122.0,18110500,-350900
2024-07-01,INDIACEM,2024-07-25,293.0,299.95,286.5,287.35,287.35,2233000,770.0,18461400,-2177900
2024-06-28,INDIACEM,2024-07-25,290.7,310.4,285.05,295.05,295.05,47040900,16221.0,20639300,7815500
2024-06-27,INDIACEM,2024-07-25,281.0,298.0,275.0,290.25,290.25,25665000,8850.0,12823800,-19522800
2024-06-26,INDIACEM,2024-06-27,231.0,270.0,231.0,263.2,263.2,37772500,13025.0,4698000,-2624500
2024-06-25,INDIACEM,2024-06-27,235.55,237.9,228.85,229.9,229.9,6345200,2188.0,7322500,-2433100
2024-06-24,INDIACEM,2024-06-27,228.9,238.9,223.55,235.2,235.2,12670100,4369.0,9755600,-3816400
2024-06-21,INDIACEM,2024-06-27,234.8,238.0,229.05,231.95,231.95,19328500,6665.0,13572000,-4352900
2024-06-20,INDIACEM,2024-06-27,218.35,234.7,218.35,233.4,233.4,7493600,2584.0,17924900,-4724100
2024-06-19,INDIACEM,2024-06-27,223.05,223.25,215.0,218.35,218.35,820700,283.0,22649000,-820700
2024-06-18,INDIACEM,2024-06-27,222.0,222.85,219.5,221.4,221.4,345100,119.0,23469700,-345100
2024-06-14,INDIACEM,2024-06-27,222.5,224.1,218.95,221.5,221.5,806200,278.0,23814800,-803300
2024-06-13,INDIACEM,2024-06-27,220.45,222.5,218.0,219.25,219.25,394400,136.0,24618100,-394400
2024-06-12,INDIACEM,2024-06-27,217.6,222.95,217.5,220.7,220.7,1229600,424.0,25012500,-1226700
2024-06-11,INDIACEM,2024-06-27,218.8,219.55,215.7,216.4,216.4,1174500,405.0,26239200,-1171600
2024-06-10,INDIACEM,2024-06-27,215.4,225.5,214.35,218.95,218.95,21509300,7417.0,27410800,3726500
2024-06-07,INDIACEM,2024-06-27,206.0,217.2,205.95,215.4,215.4,8845000,3050.0,23684300,-139200
2024-06-06,INDIACEM,2024-06-27,198.6,209.6,198.6,208.15,208.15,7824200,2698.0,23823500,194300
2024-06-05,INDIACEM,2024-06-27,188.1,199.5,181.5,197.25,197.25,8221500,2835.0,23629200,301600
