DeiiveryToTrade_CAT,VolumeToTrade_CAT,TradeDel2VolDiff_CAT,next_day_fluctuates,next_day_CandleType,percentage_fluctuation,TotalCount
High,High,High,5.5,Bullish,1,1
High,High,Low,5.7576923076923086,Bearish,26,26
High,High,Medium,6.036363636363634,Bullish,11,11
High,High,Very Low,5.5675,Bullish,60,60
High,Low,Medium,6.7026315789473685,Bearish,38,38
High,Medium,Low,3.608333333333333,Bearish,12,12
High,Medium,Medium,5.929166666666668,Bullish,24,24
High,Medium,Very Low,5.4357142857142895,Bullish,7,7
High,Very High,High,6.597916666666667,Bullish,24,24
High,Very High,Low,4.500000000000007,Bullish,4,4
High,Very High,Medium,6.413157894736842,Bearish,19,19
High,Very High,Very High,5.417307692307693,Bearish,26,26
High,Very Low,High,7.212500000000004,Bearish,8,8
High,Very Low,Medium,5.435714285714285,Bearish,7,7
High,Very Low,Very Low,4.112500000000001,Bullish,4,4
Low,High,High,5.5874999999999915,Bullish,4,4
Low,High,Very High,5.4843749999999964,Bearish,16,16
Low,Low,High,3.9166666666666665,Bearish,3,3
Low,Low,Low,6.368333333333334,Bearish,30,30
Low,Low,Medium,6.75,Bearish,18,18
Low,Low,Very Low,6.429545454545454,Bearish,22,22
Low,Medium,High,6.1968749999999995,Bullish,16,16
Low,Medium,Low,8.027777777777777,Bearish,9,9
Low,Medium,Medium,3.8090909090909135,Bearish,11,11
Low,Medium,Very High,6.766000000000003,Bearish,5,5
Low,Medium,Very Low,8.916666666666663,Bearish,3,3
Low,Very High,Very High,6.146296296296295,Bearish,27,27
Low,Very Low,High,8.774999999999991,Bullish,2,2
Low,Very Low,Low,8.75526315789474,Bearish,19,19
Low,Very Low,Medium,6.833624999999998,Bearish,80,80
Medium,High,High,6.549999999999994,Bearish,12,12
Medium,High,Low,3.4399999999999977,Bullish,5,5
Medium,High,Medium,6.718181818181819,Bullish,11,11
Medium,High,Very High,6.383333333333326,Bearish,3,3
Medium,High,Very Low,5.241666666666667,Bullish,6,6
Medium,Low,Low,7.475000000000002,Bearish,30,30
Medium,Low,Medium,6.006666666666669,Bearish,30,30
Medium,Low,Very Low,4.161111111111108,Bullish,9,9
Medium,Medium,Low,5.875000000000003,Bullish,32,32
Medium,Medium,Medium,3.950000000000003,Bullish,1,1
Medium,Medium,Very Low,6.773478260869565,Bearish,46,46
Medium,Very High,High,5.666666666666671,Bearish,3,3
Medium,Very High,Very High,6.301666666666665,Bearish,24,24
Medium,Very Low,High,13.709999999999997,Bearish,5,5
Medium,Very Low,Medium,8.226041666666667,Bearish,48,48
Medium,Very Low,Very Low,5.899999999999999,Bearish,2,2
Very High,High,High,3.450000000000003,Bearish,1,1
Very High,High,Low,4.685714285714285,Bearish,7,7
Very High,High,Medium,5.727777777777779,Bearish,45,45
Very High,High,Very Low,10.449999999999998,Bearish,3,3
Very High,Low,High,9.90833333333333,Bearish,18,18
Very High,Low,Medium,8.508333333333331,Bullish,30,30
Very High,Medium,High,8.214999999999998,Bearish,10,10
Very High,Medium,Medium,7.404347826086956,Bearish,46,46
Very High,Very High,High,5.647058823529413,Bearish,17,17
Very High,Very High,Low,6.123333333333333,Bullish,15,15
Very High,Very High,Medium,5.071052631578948,Bearish,19,19
Very High,Very High,Very High,5.463636363636362,Bullish,11,11
Very High,Very High,Very Low,7.031818181818184,Bearish,11,11
Very High,Very Low,High,7.576923076923075,Bearish,26,26
Very High,Very Low,Medium,5.025000000000006,Doji,2,2
Very High,Very Low,Very Low,2.6000000000000014,Bearish,2,2
Very Low,High,Very High,4.555000000000003,Bullish,20,20
Very Low,Low,High,5.804545454545455,Bearish,22,22
Very Low,Low,Low,6.083333333333324,Bullish,3,3
Very Low,Low,Medium,6.142857142857137,Bearish,7,7
Very Low,Low,Very High,5.270731707317075,Bearish,41,41
Very Low,Low,Very Low,7.599999999999994,Bearish,1,1
Very Low,Medium,High,2.9166666666666665,Bearish,3,3
Very Low,Medium,Very High,5.2265625,Bullish,32,32
Very Low,Very High,Very High,7.399999999999996,Bullish,21,21
Very Low,Very Low,High,6.576923076923074,Bearish,13,13
Very Low,Very Low,Low,5.876086956521738,Bearish,23,23
Very Low,Very Low,Medium,7.485416666666667,Bullish,48,48
Very Low,Very Low,Very High,5.747368421052633,Bearish,19,19
Very Low,Very Low,Very Low,5.941176470588235,Bullish,17,17
