Date,Symbol,Prev Close,Open,High,Low,Close,vwap,Volume,Trades,Deliverable Volume,%Deliverble,Z-ScoreDelVolume
2025-06-03,INDIACEM,329.5,329.5,360.0,329.5,351.7,344.13,2958312,63856,747651,25.27,-0.16
2025-06-02,INDIACEM,317.15,314.55,331.8,310.0,329.5,324.08,531868,18227,218767,41.13,-0.58
2025-05-30,INDIACEM,336.75,337.0,337.5,311.0,317.15,321.26,830818,17207,509967,61.38,-0.35
2025-05-29,INDIACEM,336.2,337.85,339.25,332.7,336.75,336.13,182500,4851,69554,38.11,-0.7
2025-05-28,INDIACEM,337.45,337.0,341.0,329.35,336.2,336.08,503636,13930,202723,40.25,-0.59
2025-05-27,INDIACEM,327.05,327.0,339.35,324.8,337.45,334.33,469590,11782,198991,42.38,-0.6
2025-05-26,INDIACEM,332.55,332.6,334.65,324.7,327.05,329.36,319858,9579,113884,35.6,-0.66
2025-05-23,INDIACEM,328.8,329.0,338.65,326.4,332.55,332.7,540568,11566,232991,43.1,-0.57
2025-05-22,INDIACEM,318.5,318.4,330.25,318.05,328.8,325.43,604364,13886,183009,30.28,-0.61
2025-05-21,INDIACEM,321.35,321.35,322.5,315.1,318.5,318.53,226768,6443,78616,34.67,-0.69
2025-05-20,INDIACEM,321.25,322.0,326.0,318.05,321.35,321.77,344754,9969,141222,40.96,-0.64
2025-05-19,INDIACEM,319.85,319.0,323.8,315.05,321.25,319.91,321231,8757,116835,36.37,-0.66
2025-05-16,INDIACEM,322.8,325.95,325.95,317.5,319.85,320.53,262008,7574,128015,48.86,-0.65
2025-05-15,INDIACEM,321.85,324.4,328.2,319.65,322.8,323.68,761423,19315,391695,51.44,-0.44
2025-05-14,INDIACEM,318.2,318.95,325.65,315.2,321.85,321.03,1472504,31185,1051719,71.42,0.08
2025-05-13,INDIACEM,318.75,318.0,321.0,315.0,318.2,318.25,425940,9935,210681,49.46,-0.59
2025-05-12,INDIACEM,308.6,317.35,320.6,312.55,318.75,317.41,461503,13027,192027,41.61,-0.6
2025-05-09,INDIACEM,311.15,307.0,310.9,302.55,308.6,306.67,289642,11439,113766,39.28,-0.66
2025-05-08,INDIACEM,315.0,315.0,320.9,308.7,311.15,316.82,670410,19356,264857,39.51,-0.54
2025-05-07,INDIACEM,310.35,303.1,317.8,303.1,315.0,312.45,721161,20968,238208,33.03,-0.56
2025-05-06,INDIACEM,310.2,310.2,317.05,305.55,310.35,311.14,1056569,22918,509272,48.2,-0.35
2025-05-05,INDIACEM,305.7,309.4,310.95,305.15,310.2,309.32,628079,9689,451259,71.85,-0.39
2025-05-02,INDIACEM,307.95,304.05,312.7,303.25,305.7,308.85,875745,19705,325461,37.16,-0.49
2025-04-30,INDIACEM,315.15,309.9,314.15,304.0,307.95,307.5,1078885,21646,442987,41.06,-0.4
2025-04-29,INDIACEM,290.4,294.0,319.4,294.0,315.15,306.41,5942903,73783,2133540,35.9,0.95
2025-04-28,INDIACEM,287.8,294.0,294.9,278.3,290.4,286.8,648863,15454,258278,39.8,-0.55
2025-04-25,INDIACEM,291.05,292.5,292.7,283.9,287.8,287.62,1205774,21379,869125,72.08,-0.06
2025-04-24,INDIACEM,288.2,288.0,293.8,286.0,291.05,290.7,423160,7738,213169,50.38,-0.58
2025-04-23,INDIACEM,289.1,289.1,289.55,284.3,288.2,286.93,231986,5124,93202,40.18,-0.68
2025-04-22,INDIACEM,288.65,290.45,290.85,284.1,289.1,287.54,267087,5745,96832,36.25,-0.68
2025-04-21,INDIACEM,288.4,290.75,290.75,284.0,288.65,287.14,382334,14859,123129,32.2,-0.66
2025-04-17,INDIACEM,282.5,282.5,304.0,282.15,288.4,295.54,5545649,86244,670446,12.09,-0.22
2025-04-16,INDIACEM,285.95,285.95,289.25,281.05,282.5,284.67,255536,12317,88056,34.46,-0.68
2025-04-15,INDIACEM,280.65,281.5,286.5,281.5,285.95,284.69,184585,13363,58549,31.72,-0.71
2025-04-11,INDIACEM,274.15,278.15,281.7,275.75,280.65,279.17,183984,10015,64009,34.79,-0.7
2025-04-09,INDIACEM,273.3,273.65,275.9,268.0,274.15,272.42,185515,11885,34172,18.42,-0.73
2025-04-08,INDIACEM,275.85,278.0,278.75,272.0,273.3,274.16,187362,10180,49924,26.65,-0.71
2025-04-07,INDIACEM,277.65,253.0,279.8,253.0,275.85,267.85,376053,26990,83788,22.28,-0.69
2025-04-04,INDIACEM,283.4,283.25,283.25,273.0,277.65,277.81,165393,11246,45658,27.61,-0.72
2025-04-03,INDIACEM,280.4,280.0,284.45,278.0,283.4,282.29,204413,11290,49245,24.09,-0.72
2025-04-02,INDIACEM,281.0,279.2,283.0,273.05,280.4,277.92,202747,11845,39888,19.67,-0.72
2025-04-01,INDIACEM,277.0,274.9,283.0,273.0,281.0,278.08,232923,12038,83392,35.8,-0.69
2025-03-28,INDIACEM,277.15,277.0,280.0,273.1,277.0,277.31,401362,19997,109603,27.31,-0.67
2025-03-27,INDIACEM,267.85,265.5,279.5,265.1,277.15,272.35,475016,21050,190568,40.12,-0.6
2025-03-26,INDIACEM,274.85,275.5,277.0,267.1,267.85,269.13,518802,26337,278005,53.59,-0.53
2025-03-25,INDIACEM,282.7,285.65,288.85,273.15,274.85,279.09,495934,24575,174508,35.19,-0.62
2025-03-24,INDIACEM,279.6,282.85,290.15,280.1,282.7,285.85,711417,33887,364195,51.19,-0.46
2025-03-21,INDIACEM,274.85,274.85,283.0,274.45,279.6,279.0,491236,24090,170018,34.61,-0.62
2025-03-20,INDIACEM,274.7,274.7,278.25,270.4,274.85,274.43,354296,15121,108702,30.68,-0.67
2025-03-19,INDIACEM,274.35,275.1,278.05,269.05,274.7,273.05,570384,26626,174937,30.67,-0.62
2025-03-18,INDIACEM,266.85,267.3,275.6,265.25,274.35,270.28,417645,22177,125526,30.06,-0.65
2025-03-17,INDIACEM,272.85,271.0,274.35,265.9,266.85,268.58,329533,21740,109570,33.25,-0.67
2025-03-13,INDIACEM,280.6,279.85,280.5,271.85,272.85,274.34,403507,23543,162388,40.24,-0.63
2025-03-12,INDIACEM,280.6,280.6,284.7,277.1,280.6,280.45,334919,20510,86224,25.74,-0.69
2025-03-11,INDIACEM,288.65,284.0,286.65,278.7,280.6,281.14,318901,22341,89505,28.07,-0.68
2025-03-10,INDIACEM,297.0,296.65,300.0,285.15,288.65,292.41,427443,24432,96013,22.46,-0.68
2025-03-07,INDIACEM,295.1,293.05,300.0,290.65,297.0,296.67,875488,38278,352103,40.22,-0.47
2025-03-06,INDIACEM,296.2,292.0,300.9,288.6,295.1,296.75,1252034,39213,311131,24.85,-0.51
2025-03-05,INDIACEM,295.2,293.0,298.0,285.65,296.2,293.56,2352951,67901,256202,10.89,-0.55
2025-03-04,INDIACEM,256.55,253.4,302.1,252.25,295.2,288.33,13324305,233742,837847,6.29,-0.09
2025-03-03,INDIACEM,253.4,256.5,261.1,247.65,256.55,255.0,707443,38111,246537,34.85,-0.56
2025-02-28,INDIACEM,246.65,242.95,257.9,238.85,253.4,246.21,545719,25188,175052,32.08,-0.61
2025-02-27,INDIACEM,250.6,256.9,257.0,244.25,246.65,248.2,341222,14275,100317,29.4,-0.67
2025-02-25,INDIACEM,255.7,253.7,259.3,247.8,250.6,252.09,470957,15008,139544,29.63,-0.64
2025-02-24,INDIACEM,258.85,256.0,258.85,251.05,255.7,254.79,412213,15198,118792,28.82,-0.66
2025-02-21,INDIACEM,259.75,261.7,267.0,257.1,258.85,261.38,404114,13387,85466,21.15,-0.69
2025-02-20,INDIACEM,268.95,268.35,271.05,257.15,259.75,261.43,1296127,26534,601717,46.42,-0.27
2025-02-19,INDIACEM,270.35,268.0,275.25,266.1,268.95,270.7,328042,15070,101564,30.96,-0.67
2025-02-18,INDIACEM,276.3,277.0,277.55,267.1,270.35,271.68,497988,24851,209782,42.13,-0.59
2025-02-17,INDIACEM,282.05,282.05,283.8,271.3,276.3,275.99,543161,25671,183031,33.7,-0.61
2025-02-14,INDIACEM,281.75,280.0,282.85,272.05,282.05,277.01,637664,21423,257951,40.45,-0.55
2025-02-13,INDIACEM,279.55,278.0,282.95,276.05,281.75,280.98,323421,13954,160896,49.75,-0.63
2025-02-12,INDIACEM,278.15,276.75,281.75,267.4,279.55,274.01,527113,18862,221752,42.07,-0.58
2025-02-11,INDIACEM,276.5,275.4,279.9,273.2,278.15,276.33,602497,19357,277522,46.06,-0.53
2025-02-10,INDIACEM,278.85,279.25,279.65,273.6,276.5,276.13,385178,16315,168370,43.71,-0.62
2025-02-07,INDIACEM,281.55,280.0,286.0,275.55,278.85,280.81,663639,14808,264390,39.84,-0.54
2025-02-06,INDIACEM,280.9,282.7,283.85,279.15,281.55,280.59,964906,14967,664405,68.86,-0.22
2025-02-05,INDIACEM,279.8,276.85,291.0,273.4,280.9,283.03,2639493,95759,1207693,45.75,0.21
2025-02-04,INDIACEM,265.65,261.75,281.4,254.6,279.8,269.12,2131477,41132,810554,38.03,-0.11
2025-02-03,INDIACEM,271.8,269.85,269.85,259.6,265.65,263.83,615967,19486,173366,28.15,-0.62
2025-02-01,INDIACEM,264.1,264.7,278.0,263.0,271.8,272.41,1101241,33681,131269,11.92,-0.65
2025-01-31,INDIACEM,268.45,266.0,271.75,261.0,264.1,265.3,882553,26903,218509,24.76,-0.58
2025-01-30,INDIACEM,278.6,279.4,279.4,267.2,268.45,272.34,840131,24226,139795,16.64,-0.64
2025-01-29,INDIACEM,268.25,268.55,285.85,268.4,278.6,280.76,1614487,45312,217729,13.49,-0.58
2025-01-28,INDIACEM,276.55,276.55,280.2,259.0,268.25,266.32,2385436,67282,343428,14.4,-0.48
2025-01-27,INDIACEM,295.15,292.05,292.6,273.0,276.55,278.59,2000844,49337,318812,15.93,-0.5
2025-01-24,INDIACEM,311.7,312.0,315.9,292.8,295.15,299.68,2392005,53858,567470,23.72,-0.3
2025-01-23,INDIACEM,319.65,317.0,321.35,309.15,311.7,314.74,2815182,56519,285835,10.15,-0.53
2025-01-22,INDIACEM,348.55,345.0,346.4,303.4,319.65,316.66,11683469,205114,807090,6.91,-0.11
2025-01-21,INDIACEM,379.25,375.0,378.8,347.1,348.55,357.36,1524365,42994,402768,26.42,-0.43
2025-01-20,INDIACEM,379.1,380.4,380.4,365.3,379.25,375.27,1431570,14832,679437,47.46,-0.21
2025-01-17,INDIACEM,378.15,378.5,380.85,377.7,379.1,378.82,850049,6161,625495,73.58,-0.26
2025-01-16,INDIACEM,377.55,377.75,380.95,377.65,378.15,378.83,2367424,12068,1904838,80.46,0.77
2025-01-15,INDIACEM,377.55,377.8,377.8,377.0,377.55,377.44,423969,4311,288881,68.14,-0.52
2025-01-14,INDIACEM,376.8,378.0,378.9,377.2,377.55,377.65,539245,6938,326693,60.58,-0.49
