Date,Symbol,Volume,Trades,Deliverable Volume,DeiiveryToTrade,VolumeToTrade,TradeDel2VolDiff,Z-ScoreDelVolume_IMP,VolumeZscore_IMP,TradesZscore_IMP,FuturePremium_IMP,Z-ScoreDelVolume,VolumeZscore,TradesZscore,Del2Trade,Vol2Trade,NetDel2Vol,NetDel2Vol_IMP,ClosePriceDiff,Supply_Demand_Strength,DeiiveryToTrade_IMP,VolumeToTrade_IMP,TradeDel2VolDiff_IMP,Rolling_TWPC_Vol,Close,Close_Diff,Close_Future,Fut2Close%Change,FuturePremium,Fluc-Zscore,MWPL_Diff,Change in OI,MWPLDiffZscore,Prev Close,Open,High,Low,vwap,Open Interest,Expiry,MWPL,Position,BuyingPressure,SellingPressure,fluctuates,CandleSwipe,SwipePercent,SwipeType,CandleType,Return,Change,Supply_Demand_Strength,VWAP_12,VWAP_26,VWAP_Diff_Rate_Change,Per_Trade_Volume_to_Price,VolPerTrade_ROC,Histogram_VWAP,MACD_VWAP,SignalLine_VWAP,Histogram_VWAP_Close,MACD_Signal,MACD_Signal_Close,MACD_VWAP_Close,SignalLine_VWAP_Close,EWMA20BUYPRE,EWMA50BUYPRE,BUYSIGNAL,EWMA20SELLPRE,EWMA50SELLPRE,SELLSIGNAL,Price Change,Log(Volume),Price Movement with Volume,VTR,PCVR,CSI,EWMA20_VolPerTrade,EWMA50_VolPerTrade,VolPerTradeSIGNAL
2015-01-01,INDIACEM,875337,6157,208128,5.97,20.34,240.7,Low,Low,Low,High,-0.67,-0.59,-0.71,94.37,83.1,11.27000000000001,High,,Neutral,Low,Medium,Very High,85.58,85.65,,86.4,,0.75,-1.03,,-54000.0,0.0,85.45,84.65,86.45,84.65,85.64,20520000.0,2015-01-29,37.64652785,Undecisive,,,1.8,,,,,,,Neutral,,,,78.98,,,,,0.0,,,0.0,0.0,,,False,,,False,,13.682364234048421,,142.1694006821504,,,78.98,78.98,False
2015-01-02,INDIACEM,1512842,8314,265867,0.0,31.91,0.001,Low,Low,Low,High,-0.62,-0.47,-0.62,100.0,75.81,24.189999999999998,High,0.75,Low Supply,,Medium,Low,86.72,86.4,0.6999999999999886,87.1,-0.06999999999999995,0.6999999999999886,-0.98,0.78,-340000.0,0.14,85.65,86.15,87.9,85.85,86.91,20180000.0,2015-01-29,38.42640506,ShortCovering,0.55,1.5,2.05,True,1.68,CandleHighSwipe,Bullish,0.008718451039881003,0.75,Low Supply,,,,88.76,12.38,,,,0.02,,Buy,0.01999999999999602,0.0,0.55,0.55,False,1.5,1.5,False,0.75,14.22950055902931,10.672125419271982,181.96319461149866,4.957556704533586e-07,0.0012836330790560477,84.85,84.28,True
2015-01-05,INDIACEM,1758116,12985,383298,17.31,2.38,86.25,Low,Medium,Medium,High,-0.52,-0.42,-0.43,120.93,97.67,23.260000000000005,High,0.8,Low Supply,Low,Low,High,87.52,87.2,0.6500000000000057,87.75,-0.18000000000000005,0.5499999999999972,-0.8,-0.1,-70000.0,-0.01,86.4,86.5,89.1,86.25,87.78,20110000.0,2015-01-29,38.32892041,ShortCovering,0.95,1.9,2.85,True,1.38,CandleHighSwipe,Bullish,0.009216655104923532,0.7999999999999972,Low Supply,,,,47.51,-46.47,,,,0.03,,Buy,0.04000000000000625,0.01,0.82,0.76,True,1.77,1.72,True,0.7999999999999972,14.379753339123216,11.503802671298532,135.39591836734695,4.5503254620286555e-07,0.0008859301248593403,67.16,69.93,False
2015-01-06,INDIACEM,2112287,9020,839013,353.85,68.57,80.62,High,Medium,Low,Medium,-0.13,-0.35,-0.59,22.03,59.32,-37.29,Medium,-4.8,Low Demand,Very High,High,High,84.08,82.4,-5.0,82.75,-0.20000000000000018,0.3499999999999943,-0.13,-0.19,-490000.0,-0.03,87.2,86.85,87.85,82.0,85.0,19620000.0,2015-01-29,38.14323536,LongUnwinding,0.4,5.45,5.85,False,0.0,NoSwipe,Bearish,-0.05661889399950759,-4.799999999999997,Low Demand,,,,40.03,-15.74,,,,-0.1,,Sell,-0.10999999999999943,-0.01,0.58,0.63,False,3.87,3.16,True,-4.799999999999997,14.563281804727573,-69.90375266269231,234.17815964523282,-2.2724184734366104e-06,-0.007749861714267441,55.89,60.49,False
2015-01-07,INDIACEM,1796706,10853,484478,20.93,26.83,28.19,Medium,Medium,Low,High,-0.43,-0.41,-0.52,82.69,78.85,3.8400000000000034,High,1.9,Low Supply,Medium,Medium,Medium,83.18,84.3,2.1500000000000057,84.9,0.29000000000000004,0.6000000000000085,-0.42,-0.91,138000.0,-0.15,82.4,82.5,84.9,80.35,82.61,19758000.0,2015-01-29,37.23337861,LongBuildUp,3.95,0.6,4.55,True,1.96,CandleLowSwipe,Bullish,0.02279642809238336,1.8999999999999915,Low Supply,,,,36.38,-9.12,,,,-0.09,,Sell,-0.13000000000000966,-0.04,2.38,1.58,True,2.13,2.36,False,1.8999999999999915,14.401465546370757,27.362784538104314,165.54924905556067,1.0574907636530358e-06,0.0025212185145217277,48.4,53.94,False
2015-01-08,INDIACEM,1117204,8527,258733,3.17,12.96,308.83,Low,Low,Low,High,-0.63,-0.54,-0.61,103.28,88.52,14.760000000000005,High,1.85,Low Supply,Low,Low,Very High,85.63,86.15,1.75,86.65,-0.1299999999999999,0.5,-0.84,2.91,-348000.0,0.5,84.3,84.9,86.7,84.05,85.46,19410000.0,2015-01-29,40.13934967,ShortCovering,2.1,0.55,2.65,False,0.0,NoSwipe,Bullish,0.021708097966128825,1.8500000000000085,Low Supply,,,,49.44,35.9,,,,-0.01,,Sell,-0.04999999999999716,-0.04,2.23,1.71,True,1.31,1.88,False,1.8500000000000085,13.92633969342627,25.763728432838718,131.01958484812948,1.6559195992853664e-06,0.003021429392850794,48.78,52.85,False
2015-01-09,INDIACEM,1261436,11567,389221,3.92,3.92,0.0,Low,Low,Low,High,-0.51,-0.51,-0.49,104.08,104.08,0.0,High,-2.45,Low Demand,Low,Low,,84.78,83.7,-2.450000000000003,84.2,0.009999999999999787,0.5,-0.33,-0.84,330000.0,-0.14,86.15,86.75,87.8,82.85,84.44,19740000.0,2015-01-29,39.29912481,ShortBuildUp,0.85,4.1,4.95,True,1.31,CandleOpenHighSwipe,Bearish,-0.02885098547850884,-2.450000000000003,Low Demand,,,,22.03,-55.44,,,,-0.06,,Sell,-0.10999999999999943,-0.05,1.53,1.53,False,2.73,2.41,True,-2.450000000000003,14.047761312522212,-34.41701521567946,109.05472464770467,-1.942230917779422e-06,-0.002975448708885576,39.31,45.97,False
2015-01-12,INDIACEM,1357266,13913,446973,15.22,22.0,44.55,Medium,Low,Medium,Medium,-0.46,-0.5,-0.39,117.95,128.21,-10.260000000000005,Medium,3.0,Low Supply,Low,Medium,Medium,85.6,86.7,2.799999999999997,87.0,-0.25,0.29999999999999716,-0.56,0.13,-108000.0,0.02,83.7,83.3,87.0,83.1,85.6,19632000.0,2015-01-29,39.42910434,ShortCovering,3.6,0.3,3.9,False,0.0,,Bullish,0.03521490629106694,3.0,Low Supply,,,,25.01,13.53,,,,0.03,,Buy,-0.010000000000005116,-0.04,2.57,1.91,True,1.5,1.95,False,3.0,14.120982940241223,42.36294882072367,97.55379860562064,2.210325757810186e-06,0.003044846461634707,34.35,41.6,False
2015-01-13,INDIACEM,4368836,27016,928767,380.0,100.0,73.68,High,High,Very High,High,-0.05,0.07,0.14,-35.71,50.0,-85.71000000000001,Low,3.0,Speculative Demand,Very High,High,High,89.2,89.7,3.200000000000003,90.2,0.2200000000000002,0.5,-0.07,-3.53,324000.0,-0.6,86.7,86.9,92.0,85.9,89.71,19956000.0,2015-01-29,35.89644623,LongBuildUp,3.8,2.3,6.1,False,0.0,NoSwipe,Bullish,0.03401688527825364,3.0,Speculative Demand,,,,26.51,6.0,,,,0.2,,Buy,0.21000000000000796,0.01,3.19,2.24,True,1.9,2.02,False,3.0,15.29000717003517,45.87002151010551,161.712910867634,6.86681761457743e-07,0.0016978835323551047,31.67,38.61,False
2015-01-14,INDIACEM,3100207,18495,658647,25.0,23.53,5.88,Medium,High,High,Medium,-0.28,-0.17,-0.21,133.33,80.95,52.38000000000001,Very High,-0.85,Low Demand,Medium,Medium,Low,90.0,88.85,-1.1000000000000083,89.1,-0.27,0.25,-0.53,-0.14,-370000.0,-0.02,89.7,90.1,92.6,88.55,90.94,19586000.0,2015-01-29,35.75718244,LongUnwinding,0.3,3.75,4.05,True,0.68,CandleHighSwipe,Bearish,-0.009521214464089489,-0.8500000000000085,Low Demand,,,,41.39,56.13,,,,0.25,,Buy,0.3199999999999932,0.07,1.74,1.93,False,2.83,2.35,True,-0.8500000000000085,14.946979441419625,-12.704932525206809,167.62406055690727,-2.741752405565204e-07,-0.0006869387685972862,34.96,39.14,False
