Date,Symbol,Expiry,Open,High,Low,Close,Settle Price,FUT_VOLUME,Number of Contracts,Open Interest,Change in OI
2024-12-12,INDIGO,2024-12-26,4450.05,4500.95,4424.0,4481.5,4481.5,655500.0,4370.0,7421250,-13200
2024-12-11,INDIGO,2024-12-26,4480.0,4505.85,4462.8,4480.55,4480.55,356400.0,2376.0,7434450,-14550
2024-12-10,INDIGO,2024-12-26,4505.0,4510.0,4466.0,4487.15,4487.15,561000.0,3740.0,7449000,-36450
2024-12-09,INDIGO,2024-12-26,4500.05,4527.9,4482.0,4496.9,4496.9,751950.0,5013.0,7485450,45150
2024-12-06,INDIGO,2024-12-26,4401.95,4528.0,4391.6,4487.3,4487.3,1365900.0,9106.0,7440300,69600
2024-12-05,INDIGO,2024-12-26,4391.8,4399.2,4334.45,4384.35,4384.35,710700.0,4738.0,7370700,-22200
2024-12-04,INDIGO,2024-12-26,4433.15,4453.35,4370.0,4392.9,4392.9,678000.0,4520.0,7392900,-28800
2024-12-03,INDIGO,2024-12-26,4454.85,4469.0,4401.7,4415.4,4415.4,715350.0,4769.0,7421700,40800
2024-12-02,INDIGO,2024-12-26,4406.0,4447.65,4368.15,4424.05,4424.05,807900.0,5386.0,7380900,31350
2024-11-29,INDIGO,2024-12-26,4371.95,4412.1,4347.0,4398.5,4398.5,1228650.0,8191.0,7349550,-91650
2024-11-28,INDIGO,2024-11-28,4279.95,4385.25,4279.95,4355.55,4352.65,3258750.0,21725.0,714450,-1653300
2024-11-27,INDIGO,2024-11-28,4229.3,4282.3,4173.45,4265.95,4265.95,1872150.0,12481.0,2367750,-1244700
2024-11-26,INDIGO,2024-11-28,4235.8,4284.0,4205.6,4222.2,4222.2,2553300.0,17022.0,3612450,-1703850
2024-11-25,INDIGO,2024-11-28,4155.0,4250.0,4155.0,4235.8,4235.8,2944650.0,19631.0,5316300,-1872300
2024-11-22,INDIGO,2024-11-28,4075.05,4150.0,4057.5,4136.75,4136.75,1397850.0,9319.0,7188600,-199800
2024-11-21,INDIGO,2024-11-28,4056.9,4093.95,4008.7,4066.2,4066.2,1238100.0,8254.0,7388400,-76050
2024-11-19,INDIGO,2024-11-28,3999.4,4116.35,3991.2,4043.35,4043.35,1630650.0,10871.0,7464450,-176700
2024-11-18,INDIGO,2024-11-28,3938.45,4016.55,3907.5,3977.1,3977.1,1110900.0,7406.0,7641150,-61050
2024-11-14,INDIGO,2024-11-28,3911.35,3926.85,3850.15,3896.7,3896.7,1056750.0,7045.0,7702200,119550
2024-11-13,INDIGO,2024-11-28,3893.45,3921.55,3839.65,3855.4,3855.4,963600.0,6424.0,7582650,21750
2024-11-12,INDIGO,2024-11-28,4041.85,4055.35,3903.65,3916.95,3916.95,1057800.0,7052.0,7560900,-162900
2024-11-11,INDIGO,2024-11-28,3995.35,4063.35,3982.7,4018.8,4018.8,611400.0,4076.0,7724400,-97050
2024-11-08,INDIGO,2024-11-28,3993.0,4076.9,3980.0,4016.3,4016.3,570750.0,3805.0,7821450,-46350
2024-11-07,INDIGO,2024-11-28,4088.15,4106.75,3996.0,4007.1,4007.1,747450.0,4983.0,7867800,-47250
2024-11-06,INDIGO,2024-11-28,3966.9,4105.15,3943.7,4088.1,4088.1,1533750.0,10225.0,7915050,4500
2024-11-05,INDIGO,2024-11-28,3972.95,3984.95,3906.1,3960.35,3960.35,1163550.0,7757.0,7910550,-57450
2024-11-04,INDIGO,2024-11-28,4094.1,4094.1,3887.1,3973.95,3973.95,1396200.0,9308.0,7968000,20550
2024-11-01,INDIGO,2024-11-28,4060.05,4090.0,4059.7,4068.75,4068.75,108600.0,724.0,7947450,4350
2024-10-31,INDIGO,2024-10-31,4042.0,4076.65,4009.2,4046.65,4052.5,3205500.0,10685.0,1252500,-850500
2024-10-30,INDIGO,2024-10-31,4013.65,4111.45,4001.4,4051.95,4051.95,2215800.0,7386.0,2103000,-1314600
2024-10-29,INDIGO,2024-10-31,4018.7,4056.6,3968.0,4033.85,4033.85,2830800.0,9436.0,3417600,-1860000
2024-10-28,INDIGO,2024-10-31,4200.1,4200.1,3775.6,4012.55,4012.55,10060500.0,33535.0,5277600,-2136600
2024-10-25,INDIGO,2024-10-31,4538.25,4555.0,4319.85,4360.6,4360.6,3009900.0,10033.0,7414200,-352500
2024-10-24,INDIGO,2024-10-31,4520.15,4578.95,4495.2,4520.85,4520.85,1128900.0,3763.0,7766700,-276600
2024-10-23,INDIGO,2024-10-31,4502.75,4569.0,4476.0,4517.55,4517.55,1427700.0,4759.0,8043300,-363900
