Date,Symbol,Close,Vol2Trade,Z-ScoreDelVolume,NetDel2Vol
2016-08-02,INDIGO,866.05,208.7,1.38,91.3
2018-03-16,INDIGO,1263.45,700.0,3.33,1861.54
2018-05-31,INDIGO,1219.25,196.69,14.81,249.39
2018-06-29,INDIGO,1088.5,110.34,2.07,68.10999999999999
2018-09-07,INDIGO,913.45,670.0,3.23,945.0
2018-09-12,INDIGO,882.8,200.0,1.06,192.59
2018-10-22,INDIGO,806.5,345.45,1.17,718.19
2018-11-01,INDIGO,925.4,79.07,1.67,115.12
2018-11-15,INDIGO,1043.95,2400.0,1.51,2633.33
2019-05-17,INDIGO,1473.75,124.55,1.41,-88.12
2020-03-02,INDIGO,1239.05,125.96,1.65,32.69000000000001
2020-06-10,INDIGO,1035.6,156.31,4.6,66.99000000000001
2021-09-21,INDIGO,2236.25,207.14,1.28,97.62
2023-05-03,INDIGO,2164.1,72.76,1.62,-12.310000000000002
2023-08-16,INDIGO,2458.65,288.26,13.4,219.32
2023-10-20,INDIGO,2439.05,81.25,1.13,625.0
2024-01-29,INDIGO,2896.0,72.73,1.4,351.51
2024-04-12,INDIGO,3693.25,68.87,2.59,102.65
2024-06-05,INDIGO,4348.5,29.51,1.32,78.69
2024-06-11,INDIGO,4369.5,60.74,2.8,19.49
2024-07-15,INDIGO,4385.85,28.42,1.33,111.58
2024-08-12,INDIGO,4251.65,194.74,2.13,926.31
2024-08-29,INDIGO,4759.85,105.51,4.71,24.239999999999995
2025-02-28,INDIGO,4477.3,26.25,1.89,52.5
2025-04-23,INDIGO,5558.5,18.37,1.45,129.59
2025-05-08,INDIGO,5146.0,32.48,1.59,103.42000000000002
