Date,Symbol,Prev Close,Open,High,Low,Close,vwap,Volume,Trades,Deliverable Volume,%Deliverble
2024-12-13,INDUSTOWER,343.85,342.0,351.2,335.35,350.0,342.45,13444504,102345,7580800,56.39
2024-12-12,INDUSTOWER,359.6,358.85,359.1,342.75,343.85,349.7,14316251,118397,10253624,71.62
2024-12-11,INDUSTOWER,360.05,360.0,362.75,358.2,359.6,360.39,5852606,67629,4137878,70.7
2024-12-10,INDUSTOWER,362.15,362.45,362.75,355.0,360.05,358.57,9563283,95365,5488668,57.39
2024-12-09,INDUSTOWER,364.65,364.75,366.8,358.95,362.15,362.24,14327412,100223,9394185,65.57
2024-12-06,INDUSTOWER,363.55,368.0,373.25,363.0,364.65,368.05,16816288,125480,6914174,41.12
2024-12-05,INDUSTOWER,357.2,375.0,375.0,360.0,363.55,363.74,48848190,271021,21745488,44.52
2024-12-04,INDUSTOWER,353.9,354.9,361.0,348.35,357.2,354.08,7749633,111910,3842989,49.59
2024-12-03,INDUSTOWER,346.65,350.5,356.8,345.5,353.9,353.43,5656362,63983,3129682,55.33
2024-12-02,INDUSTOWER,349.35,350.0,350.3,345.6,346.65,347.3,3309131,50978,1711289,51.71
2024-11-29,INDUSTOWER,348.25,347.15,353.7,345.5,349.35,349.18,4666533,54910,2305658,49.41
2024-11-28,INDUSTOWER,349.75,349.0,354.5,345.6,348.25,349.49,5759041,62161,2238031,38.86
2024-11-27,INDUSTOWER,340.95,341.0,352.15,340.8,349.75,346.86,5617102,52422,1987886,35.39
2024-11-26,INDUSTOWER,337.35,351.0,355.85,339.65,340.95,347.43,23264396,176693,5995131,25.77
2024-11-25,INDUSTOWER,330.1,333.6,339.45,330.3,337.35,335.68,9817548,61882,5168633,52.65
2024-11-22,INDUSTOWER,329.1,330.0,332.8,325.55,330.1,329.65,3576020,56044,1257865,35.17
2024-11-21,INDUSTOWER,328.15,340.0,340.0,326.15,329.1,331.39,17871198,138204,5129806,28.7
2024-11-19,INDUSTOWER,323.15,328.75,335.25,325.15,328.15,331.07,5955778,65098,2793551,46.9
2024-11-18,INDUSTOWER,317.75,320.0,326.6,317.0,323.15,322.38,6992604,94786,3664752,52.41
2024-11-14,INDUSTOWER,318.1,319.0,321.1,315.6,317.75,317.97,8628870,62169,5737879,66.5
2024-11-13,INDUSTOWER,321.0,321.9,322.7,316.6,318.1,318.13,7525374,83884,4950866,65.79
2024-11-12,INDUSTOWER,325.05,326.0,331.1,319.25,321.0,324.75,3353016,57563,1521528,45.38
2024-11-11,INDUSTOWER,326.2,318.05,328.2,315.5,325.05,323.45,6026607,66455,2265816,37.6
2024-11-08,INDUSTOWER,339.5,340.3,340.65,324.25,326.2,328.32,8234519,79569,4093148,49.71
2024-11-07,INDUSTOWER,342.05,342.25,347.6,338.5,339.5,342.08,4622999,51864,2015029,43.59
2024-11-06,INDUSTOWER,342.15,343.0,344.85,338.65,342.05,341.31,4103190,92462,2100765,51.2
