Date,Symbol,Close,Vol2Trade,Z-ScoreDelVolume,NetDel2Vol
2014-12-08,INFY,1970.15,1113.85,11.35,632.3000000000002
2016-03-31,INFY,1218.3,115.07,1.16,43.83000000000001
2017-07-31,INFY,1011.2,155.74,1.48,86.88
2017-08-23,INFY,892.8,182.44,4.74,-12.550000000000011
2017-09-28,INFY,896.0,1316.67,1.82,1716.66
2017-10-26,INFY,947.35,1586.67,3.97,1060.0
2018-01-24,INFY,1185.8,157.14,1.15,7.150000000000006
2018-02-22,INFY,1160.75,395.24,1.47,304.76
2018-04-12,INFY,1162.6,92.59,1.04,35.81
2018-04-20,INFY,1178.45,187.18,1.67,26.919999999999987
2018-05-31,INFY,1231.8,315.62,1.51,156.26
2018-09-21,INFY,705.3,187.13,2.59,69.31
2018-11-09,INFY,659.5,92.45,1.57,55.66000000000001
2018-11-27,INFY,638.9,225.76,1.66,25.76000000000002
2019-04-30,INFY,751.35,300.0,1.5,141.18
2019-05-21,INFY,709.3,202.63,1.05,73.69
2019-07-30,INFY,792.7,130.0,1.19,68.33000000000001
2019-08-02,INFY,775.6,131.87,1.48,30.769999999999985
2019-09-11,INFY,820.1,206.45,1.04,129.03000000000003
2019-10-24,INFY,635.35,167.76,4.12,0.4000000000000057
2019-12-18,INFY,732.45,193.42,1.53,7.900000000000006
2020-03-18,INFY,534.3,211.11,2.28,19.19
2020-03-27,INFY,652.7,139.84,1.6,-9.759999999999993
2020-03-30,INFY,626.7,208.6,2.11,18.28
2020-04-07,INFY,639.0,168.03,2.21,13.120000000000005
2020-04-30,INFY,715.5,164.96,1.79,-34.30000000000001
2020-09-18,INFY,1002.15,175.0,1.77,17.389999999999986
2020-09-24,INFY,975.4,143.61,1.34,-42.860000000000014
2020-10-12,INFY,1132.1,336.21,1.2,-129.30999999999997
2020-10-19,INFY,1125.9,201.25,1.62,1.25
2020-11-17,INFY,1123.7,278.95,1.71,21.05000000000001
2020-11-27,INFY,1100.0,396.08,5.91,183.33
2020-12-03,INFY,1126.45,205.45,2.81,50.0
2021-01-15,INFY,1344.95,146.38,1.94,-5.799999999999983
2021-05-27,INFY,1402.25,186.61,2.62,47.31999999999999
2021-06-02,INFY,1378.65,167.92,1.01,22.65000000000001
2021-06-25,INFY,1574.2,167.8,1.11,20.33999999999997
2022-01-13,INFY,1896.8,78.01,1.6,-11.620000000000005
2022-03-07,INFY,1739.85,56.9,1.42,24.71
2022-04-18,INFY,1621.4,41.76,5.71,5.270000000000003
2022-04-28,INFY,1582.6,90.82,1.37,48.98000000000002
2022-05-25,INFY,1410.45,78.05,1.37,33.33
2022-05-31,INFY,1503.6,304.11,2.73,69.86000000000001
2022-11-30,INFY,1634.95,518.52,1.85,166.67000000000007
2023-01-05,INFY,1475.2,66.01,1.75,48.36999999999999
2023-01-31,INFY,1533.75,119.23,1.46,67.95
2023-03-17,INFY,1420.7,101.18,1.16,35.28999999999999
2023-04-28,INFY,1252.75,102.91,1.51,43.69
2023-05-17,INFY,1246.9,62.09,1.72,32.42
2023-05-19,INFY,1268.9,138.89,1.92,74.44000000000003
2023-05-31,INFY,1318.3,546.81,3.69,238.30000000000007
2023-06-16,INFY,1291.65,144.23,1.1,67.31
2023-09-15,INFY,1511.6,148.08,1.05,53.839999999999975
2024-01-15,INFY,1652.1,88.83,2.25,30.85000000000001
2024-01-23,INFY,1642.15,88.46,1.44,50.000000000000014
2024-03-15,INFY,1634.0,95.86,2.02,43.45
2024-05-31,INFY,1406.9,195.69,7.22,26.460000000000008
2024-08-05,INFY,1751.9,55.92,1.8,29.39
2024-08-30,INFY,1943.7,157.8,2.26,49.53999999999999
2024-10-28,INFY,1865.35,166.67,1.02,211.11
2024-11-25,INFY,1889.7,250.79,2.29,112.70000000000002
2024-12-20,INFY,1922.15,94.66,1.23,-0.769999999999996
2025-01-17,INFY,1815.45,66.38,2.62,9.560000000000002
2025-03-11,INFY,1661.6,130.0,2.47,75.83000000000001
