Date,Symbol,Expiry,Open,High,Low,Close,Settle Price,FUT_VOLUME,Number of Contracts,Open Interest,Change in OI
2024-12-12,IPCALAB,2024-12-26,1549.25,1574.0,1549.25,1561.25,1561.25,1081600,1664.0,2298400,-31850
2024-12-11,IPCALAB,2024-12-26,1519.4,1559.8,1519.4,1555.55,1555.55,795600,1224.0,2330250,7150
2024-12-10,IPCALAB,2024-12-26,1526.95,1556.65,1526.85,1536.55,1536.55,638300,982.0,2323100,-67600
2024-12-09,IPCALAB,2024-12-26,1544.55,1544.55,1506.2,1526.8,1526.8,536900,826.0,2390700,-37050
2024-12-06,IPCALAB,2024-12-26,1509.0,1548.75,1509.0,1544.55,1544.55,955500,1470.0,2427750,-140400
2024-12-05,IPCALAB,2024-12-26,1501.95,1501.95,1477.55,1498.55,1498.55,668200,1028.0,2568150,86450
2024-12-04,IPCALAB,2024-12-26,1501.05,1515.9,1484.45,1494.3,1494.3,1290250,1985.0,2481700,103350
2024-12-03,IPCALAB,2024-12-26,1558.5,1558.5,1503.05,1507.8,1507.8,775450,1193.0,2378350,113750
2024-12-02,IPCALAB,2024-12-26,1549.75,1569.85,1541.45,1543.65,1543.65,582400,896.0,2264600,71500
2024-11-29,IPCALAB,2024-12-26,1531.75,1552.95,1524.75,1548.75,1548.75,581750,895.0,2193100,-12350
2024-11-28,IPCALAB,2024-11-28,1532.5,1540.1,1507.1,1515.05,1513.0,850850,1309.0,176150,-404300
2024-11-27,IPCALAB,2024-11-28,1567.2,1574.5,1521.05,1528.7,1528.7,1385800,2132.0,580450,-507000
2024-11-26,IPCALAB,2024-11-28,1609.45,1617.1,1557.15,1566.9,1566.9,1150500,1770.0,1087450,-464100
2024-11-25,IPCALAB,2024-11-28,1602.45,1623.45,1597.15,1610.95,1610.95,1560650,2401.0,1551550,-339950
2024-11-22,IPCALAB,2024-11-28,1576.0,1598.5,1568.0,1594.05,1594.05,713700,1098.0,1891500,-107250
2024-11-21,IPCALAB,2024-11-28,1563.15,1589.95,1555.0,1573.25,1573.25,684450,1053.0,1998750,-21450
2024-11-19,IPCALAB,2024-11-28,1555.05,1609.75,1555.05,1575.05,1575.05,724750,1115.0,2020200,-50050
2024-11-18,IPCALAB,2024-11-28,1530.0,1590.0,1502.2,1565.55,1565.55,1459250,2245.0,2070250,-22750
2024-11-14,IPCALAB,2024-11-28,1464.5,1562.8,1464.5,1522.25,1522.25,3619200,5568.0,2093000,18850
2024-11-13,IPCALAB,2024-11-28,1546.5,1551.7,1480.45,1500.0,1500.0,2425800,3732.0,2074150,275600
2024-11-12,IPCALAB,2024-11-28,1537.45,1603.75,1537.45,1550.15,1550.15,1996150,3071.0,1798550,25350
2024-11-11,IPCALAB,2024-11-28,1549.05,1560.75,1515.0,1528.05,1528.05,823550,1267.0,1777750,-88400
2024-11-08,IPCALAB,2024-11-28,1569.45,1575.0,1548.55,1556.65,1556.65,474500,730.0,1866150,13650
2024-11-07,IPCALAB,2024-11-28,1596.45,1597.75,1552.0,1558.0,1558.0,838500,1290.0,1852500,32500
2024-11-06,IPCALAB,2024-11-28,1601.95,1608.4,1581.5,1590.1,1590.1,434850,669.0,1820000,7150
2024-11-05,IPCALAB,2024-11-28,1575.8,1603.95,1571.1,1595.5,1595.5,777400,1196.0,1812850,-150150
2024-11-04,IPCALAB,2024-11-28,1622.3,1622.3,1575.4,1594.0,1594.0,754650,1161.0,1963000,-8450
2024-11-01,IPCALAB,2024-11-28,1589.15,1612.8,1589.15,1601.65,1601.65,108550,167.0,1971450,16250
2024-10-31,IPCALAB,2024-10-31,1568.45,1592.45,1561.45,1584.75,1588.8,516100,794.0,167700,-120900
2024-10-30,IPCALAB,2024-10-31,1566.6,1585.0,1557.1,1563.1,1563.1,956800,1472.0,288600,-651300
2024-10-29,IPCALAB,2024-10-31,1611.5,1611.5,1544.3,1585.65,1585.65,1731600,2664.0,939900,-764400
2024-10-28,IPCALAB,2024-10-31,1578.3,1608.5,1572.6,1597.45,1597.45,833300,1282.0,1704300,-279500
2024-10-25,IPCALAB,2024-10-31,1596.3,1596.3,1560.7,1585.45,1585.45,527800,812.0,1983800,-11050
2024-10-24,IPCALAB,2024-10-31,1571.55,1586.05,1560.25,1581.35,1581.35,555100,854.0,1994850,-28600
