Date,Symbol,Prev Close,Open,High,Low,Close,vwap,Volume,Trades,Deliverable Volume,%Deliverble,MWPL,MWPL_Diff,Close_Future,FUT_VOLUME,Open Interest,Expiry,Change in OI,Close_Diff,Position
2015-01-01,IPCALAB,731.35,734.55,741.4,719.55,720.65,726.67,99008,3655,52453,52.98,,,,,,,,,
2015-01-02,IPCALAB,720.65,730.8,730.95,723.0,726.6,727.59,59901,1960,31347,52.33,,,,,,,,,
2015-01-05,IPCALAB,726.6,724.0,739.0,724.0,732.95,732.61,92135,2269,55344,60.07,,,,,,,,,
2015-01-06,IPCALAB,732.95,731.8,748.7,721.4,728.7,734.49,140594,5038,63266,45.0,,,,,,,,,
2015-01-07,IPCALAB,728.7,726.35,734.9,720.15,727.9,726.11,50587,1853,27483,54.33,,,,,,,,,
2015-01-08,IPCALAB,727.9,730.2,736.4,725.5,729.4,730.27,51455,1767,28687,55.75,,,,,,,,,
2015-01-09,IPCALAB,729.4,729.0,758.5,727.7,738.6,745.8,381609,13927,161201,42.24,,,,,,,,,
2015-01-12,IPCALAB,738.6,744.7,749.0,726.6,733.3,735.66,112893,3470,46606,41.28,,,,,,,,,
2015-01-13,IPCALAB,733.3,736.0,748.9,730.0,742.9,742.33,138142,5079,83882,60.72,,,,,,,,,
2015-01-14,IPCALAB,742.9,745.0,745.0,727.9,732.75,735.16,48103,2391,27275,56.7,,,,,,,,,
2015-01-15,IPCALAB,732.75,735.0,740.0,720.0,725.2,726.18,119078,4431,85503,71.8,,,,,,,,,
2015-01-16,IPCALAB,725.2,724.0,732.8,701.1,713.4,714.79,183016,8053,100053,54.67,,,,,,,,,
2015-01-19,IPCALAB,713.4,716.0,721.05,691.65,695.45,699.95,248693,10305,128610,51.71,,,,,,,,,
2015-01-20,IPCALAB,695.45,698.0,705.9,694.4,695.6,698.26,130588,4566,80305,61.49,,,,,,,,,
2015-01-21,IPCALAB,695.6,701.0,710.0,697.0,699.95,701.88,72847,2600,36281,49.8,,,,,,,,,
2015-01-22,IPCALAB,699.95,699.25,707.0,696.5,698.95,703.08,144192,2707,111666,77.44,,,,,,,,,
2015-01-23,IPCALAB,698.95,652.0,682.0,636.0,638.8,651.24,2410014,57415,1214077,50.38,,,,,,,,,
