DeiiveryToTrade_CAT,VolumeToTrade_CAT,TradeDel2VolDiff_CAT,next_day_fluctuates,next_day_CandleType,percentage_fluctuation,TotalCount
High,High,High,20.700000000000045,Doji,1,1
High,High,Low,25.10000000000001,Bearish,8,8
High,High,Very Low,22.837000000000018,Bearish,50,50
High,Low,High,32.700000000000045,Bearish,1,1
High,Low,Medium,15.525000000000006,Bullish,4,4
High,Medium,Low,33.85000000000001,Bearish,10,10
High,Medium,Medium,23.972727272727266,Bearish,11,11
High,Medium,Very Low,28.21875000000003,Bearish,8,8
High,Very High,High,26.46999999999998,Bullish,5,5
High,Very High,Low,16.050000000000068,Bearish,1,1
High,Very High,Medium,29.124999999999982,Bearish,6,6
High,Very High,Very High,33.04374999999996,Bearish,8,8
High,Very High,Very Low,25.149999999999977,Bearish,1,1
High,Very Low,High,18.570833333333336,Bearish,12,12
Low,High,Very High,23.733333333333388,Bullish,3,3
Low,Low,Low,29.310000000000038,Bullish,10,10
Low,Low,Medium,26.42500000000001,Bullish,6,6
Low,Low,Very Low,28.044117647058822,Bearish,17,17
Low,Medium,High,33.77499999999998,Bearish,6,6
Low,Medium,Low,30.375,Bearish,2,2
Low,Medium,Medium,22.929999999999996,Bearish,5,5
Low,Medium,Very Low,31.799999999999955,Bullish,1,1
Low,Very High,Very High,21.40833333333336,Bearish,6,6
Low,Very Low,High,20.300000000000008,Bullish,19,19
Low,Very Low,Low,25.127272727272736,Bearish,11,11
Low,Very Low,Medium,24.567073170731714,Bullish,41,41
Low,Very Low,Very Low,16.200000000000045,Bearish,1,1
Medium,High,High,36.80000000000001,Bearish,2,2
Medium,High,Low,16.433333333333355,Bearish,3,3
Medium,High,Medium,21.350000000000023,Bullish,2,2
Medium,High,Very Low,39.05000000000007,Bearish,1,1
Medium,Low,Low,34.096428571428575,Bullish,14,14
Medium,Low,Medium,33.49615384615383,Bearish,13,13
Medium,Low,Very Low,27.375,Bullish,2,2
Medium,Medium,Low,38.31875000000002,Bearish,16,16
Medium,Medium,Medium,33.96666666666666,Bearish,6,6
Medium,Medium,Very Low,27.231578947368426,Bearish,38,38
Medium,Very High,Very High,22.383333333333326,Bullish,3,3
Medium,Very Low,High,15.504166666666682,Bullish,12,12
Medium,Very Low,Medium,29.169444444444462,Bearish,18,18
Very High,High,High,18.524999999999995,Bearish,14,14
Very High,High,Low,19.69999999999999,Bullish,2,2
Very High,High,Medium,17.170000000000016,Bearish,10,10
Very High,High,Very Low,16.899999999999977,Bullish,1,1
Very High,Low,High,26.172500000000014,Bullish,20,20
Very High,Medium,High,25.123684210526307,Bearish,19,19
Very High,Medium,Medium,14.583333333333371,Bullish,3,3
Very High,Very High,High,73.0166666666667,Bullish,3,3
Very High,Very High,Low,24.160000000000036,Bearish,10,10
Very High,Very High,Medium,48.690000000000055,Bearish,5,5
Very High,Very High,Very High,36.36666666666665,Bearish,6,6
Very High,Very High,Very Low,19.065384615384634,Bearish,13,13
Very High,Very Low,High,17.084782608695644,Bullish,23,23
Very Low,High,Very High,8.999999999999943,Bearish,2,2
Very Low,Low,High,20.80000000000001,Bearish,2,2
Very Low,Low,Medium,8.699999999999989,Bearish,2,2
Very Low,Low,Very High,17.166666666666654,Bullish,9,9
Very Low,Medium,High,15.270000000000028,Bearish,5,5
Very Low,Medium,Very High,25.76666666666666,Bullish,18,18
Very Low,Very High,Very High,24.525000000000034,Bearish,2,2
Very Low,Very Low,High,14.833333333333323,Bearish,12,12
Very Low,Very Low,Low,13.902941176470609,Bullish,17,17
Very Low,Very Low,Medium,25.95147058823529,Bullish,34,34
Very Low,Very Low,Very High,14.917647058823531,Bearish,17,17
Very Low,Very Low,Very Low,21.644444444444453,Bearish,9,9
