Date,Symbol,Close,Vol2Trade,Z-ScoreDelVolume,NetDel2Vol
2020-12-11,IRCTC,1421.0,133.88,2.11,40.5
2021-11-09,IRCTC,856.0,132.5,2.14,45.83000000000001
2021-11-23,IRCTC,892.8,128.33,1.1,55.0
2021-11-30,IRCTC,795.15,347.37,15.79,345.17
2022-01-07,IRCTC,860.95,175.2,2.18,-0.799999999999983
2022-03-04,IRCTC,747.25,115.02,4.63,67.98
2022-08-18,IRCTC,714.15,332.69,1.64,-17.310000000000002
2022-12-16,IRCTC,672.15,247.37,3.28,328.07000000000005
2023-09-11,IRCTC,717.4,5400.0,1.34,8000.0
2023-10-05,IRCTC,719.45,812.5,1.3,812.5
2023-12-04,IRCTC,720.85,2050.0,1.37,4800.0
2024-02-26,IRCTC,968.4,184.48,1.52,77.59
2024-06-21,IRCTC,1012.3,291.3,1.33,286.96
2024-07-05,IRCTC,1026.2,450.0,1.04,590.0
