Date,Symbol,Close,Vol2Trade,Z-ScoreDelVolume,NetDel2Vol
2012-03-19,ITC,220.5,685.71,1.66,500.0
2012-05-31,ITC,229.35,2300.0,1.39,2333.33
2012-12-21,ITC,287.05,2400.0,2.14,2950.0
2014-07-09,ITC,341.5,165.22,1.03,282.61
2015-02-27,ITC,393.7,4450.0,1.24,1750.0
2016-02-29,ITC,295.65,119.64,3.2,-3.280000000000001
2016-03-31,ITC,328.25,312.5,1.06,350.0
2016-11-16,ITC,230.9,158.16,2.64,111.23
2017-07-17,ITC,325.15,119.64,1.17,89.29
2017-07-31,ITC,285.25,202.7,1.57,221.62
2018-03-16,ITC,260.5,269.23,1.67,373.0799999999999
2018-07-02,ITC,263.05,48.48,1.09,61.62
2018-07-13,ITC,270.4,2600.0,1.2,3400.0
2019-05-23,ITC,288.2,66.8,2.3,28.64
2019-05-31,ITC,278.55,86.76,1.91,53.67999999999999
2019-10-07,ITC,251.9,1875.0,1.05,750.0
2019-10-30,ITC,259.4,153.72,2.29,35.53999999999999
2020-02-04,ITC,215.65,193.2,2.03,3.890000000000015
2020-03-11,ITC,175.65,133.33,1.51,19.19999999999999
2020-03-12,ITC,155.8,158.96,3.9,25.0
2020-03-13,ITC,162.25,186.22,4.85,29.340000000000003
2020-06-19,ITC,184.05,261.02,1.36,-30.50999999999999
2020-06-29,ITC,197.25,179.73,3.83,-77.6
2020-06-30,ITC,194.65,326.67,2.65,26.659999999999968
2020-07-03,ITC,207.55,210.68,1.97,-19.420000000000016
2020-07-21,ITC,192.25,532.0,1.29,-16.0
2020-09-15,ITC,181.8,151.46,1.53,-2.920000000000016
2020-09-16,ITC,180.65,211.69,3.73,30.52000000000001
2020-10-14,ITC,167.8,564.1,2.84,164.11
2020-10-22,ITC,168.55,328.0,1.11,116.0
2021-01-27,ITC,210.65,201.97,3.05,-1.3100000000000025
2021-02-03,ITC,216.75,199.43,2.54,-55.110000000000014
2021-02-19,ITC,215.95,319.05,1.13,-50.0
2021-03-16,ITC,207.85,326.32,4.06,101.05
2021-03-31,ITC,218.5,266.23,2.06,1.2999999999999543
2021-05-17,ITC,212.6,151.39,1.0,-81.94999999999999
2021-05-18,ITC,210.05,183.33,1.51,-3.5700000000000216
2021-06-03,ITC,209.05,270.37,4.22,120.37
2021-06-09,ITC,212.5,530.0,1.4,170.0
2021-09-17,ITC,231.15,143.36,3.45,-56.890000000000015
2021-11-01,ITC,226.85,219.05,1.25,78.57
2021-12-17,ITC,217.95,127.83,1.88,35.64999999999999
2022-01-27,ITC,214.6,71.65,1.25,26.78
2022-02-07,ITC,230.2,208.33,1.0,0.0
2022-03-25,ITC,253.35,397.22,1.78,97.21999999999996
2022-04-21,ITC,260.4,117.72,1.06,16.460000000000008
2022-04-29,ITC,259.55,755.56,1.11,477.77
2022-05-19,ITC,275.65,120.91,3.93,-36.21
2022-11-01,ITC,349.5,387.5,1.4,487.5
2022-11-09,ITC,360.7,73.68,1.24,56.85
2022-11-10,ITC,356.0,98.33,1.13,90.00000000000001
2023-02-02,ITC,378.6,92.95,3.39,-7.560000000000002
2023-12-28,ITC,464.1,46.05,1.1,26.320000000000007
2024-01-03,ITC,477.25,45.0,1.33,15.450000000000005
2024-01-31,ITC,441.55,35.2,1.45,45.81
2024-02-16,ITC,404.6,81.68,3.06,35.11
2024-03-07,ITC,413.55,42.06,1.06,7.469999999999999
2024-03-20,ITC,415.7,48.03,1.26,51.17999999999999
2024-05-30,ITC,423.85,35.94,1.06,19.270000000000003
2024-05-31,ITC,426.45,71.66,1.81,25.13000000000001
2024-08-05,ITC,486.0,55.0,1.51,28.89
2024-12-13,ITC,470.0,85.94,1.82,8.850000000000009
2025-01-01,ITC,483.95,61.25,1.06,71.25
2025-01-02,ITC,489.05,73.58,2.5,83.64999999999999
2025-02-27,ITC,401.6,71.79,1.4,107.7
2025-03-21,ITC,405.55,323.53,1.94,247.0600000000001
