DeiiveryToTrade_CAT,VolumeToTrade_CAT,TradeDel2VolDiff_CAT,next_day_fluctuates,next_day_CandleType,percentage_fluctuation,TotalCount
High,High,High,8.449999999999989,Bullish,1,1
High,High,Low,11.573333333333327,Bearish,45,45
High,High,Medium,7.781250000000003,Bearish,8,8
High,High,Very Low,15.775581395348837,Bearish,172,172
High,Low,Low,12.325000000000003,Bearish,2,2
High,Low,Medium,9.313541666666667,Bearish,48,48
High,Medium,Low,14.79,Bearish,25,25
High,Medium,Medium,11.886363636363647,Bearish,11,11
High,Medium,Very Low,12.904545454545472,Bullish,11,11
High,Very High,High,8.129166666666668,Bearish,24,24
High,Very High,Low,8.134615384615385,Bullish,13,13
High,Very High,Medium,8.8,Bearish,13,13
High,Very High,Very High,11.306944444444442,Bullish,36,36
High,Very High,Very Low,11.050000000000002,Bullish,3,3
High,Very Low,Medium,10.71842105263158,Bearish,57,57
High,Very Low,Very Low,10.770000000000007,Bearish,5,5
Low,High,High,10.858333333333327,Bearish,24,24
Low,High,Very High,15.65344827586207,Bearish,29,29
Low,Low,Low,13.02156862745098,Bearish,51,51
Low,Low,Medium,9.724999999999996,Bearish,12,12
Low,Low,Very Low,15.065436241610742,Bullish,149,149
Low,Medium,High,13.246153846153849,Bearish,13,13
Low,Medium,Low,17.874000000000002,Bullish,25,25
Low,Medium,Medium,10.502272727272723,Bearish,22,22
Low,Medium,Very Low,17.879411764705893,Bullish,17,17
Low,Very High,Very High,11.823611111111108,Bearish,36,36
Low,Very Low,Low,11.845833333333333,Bearish,36,36
Low,Very Low,Medium,9.774999999999999,Bearish,46,46
Low,Very Low,Very Low,9.599999999999998,Bearish,14,14
Medium,High,High,9.501785714285713,Bullish,28,28
Medium,High,Low,10.549999999999997,Bearish,7,7
Medium,High,Medium,11.520000000000003,Bearish,15,15
Medium,High,Very High,12.050000000000011,Bearish,1,1
Medium,High,Very Low,9.97368421052631,Bullish,19,19
Medium,Low,Low,9.919354838709674,Bearish,31,31
Medium,Low,Medium,10.849999999999994,Bullish,9,9
Medium,Low,Very Low,9.81875,Bearish,16,16
Medium,Medium,Low,12.779999999999996,Bearish,15,15
Medium,Medium,Medium,15.899999999999997,Bullish,3,3
Medium,Medium,Very Low,15.388958333333335,Bearish,240,240
Medium,Very High,High,16.574999999999978,Bullish,4,4
Medium,Very High,Very High,13.20952380952381,Bullish,42,42
Medium,Very Low,Low,8.550000000000011,Bearish,1,1
Medium,Very Low,Medium,10.69125,Bearish,40,40
Medium,Very Low,Very Low,20.174999999999997,Bearish,2,2
Very High,High,Low,16.877659574468087,Bearish,47,47
Very High,High,Medium,11.045121951219514,Bullish,41,41
Very High,High,Very Low,28.918750000000017,Bullish,8,8
Very High,Low,Medium,9.923333333333336,Bearish,75,75
Very High,Medium,Medium,11.6,Bearish,40,40
Very High,Very High,High,10.233333333333338,Bearish,21,21
Very High,Very High,Low,13.930555555555557,Bearish,54,54
Very High,Very High,Medium,13.210416666666669,Bullish,48,48
Very High,Very High,Very High,7.862962962962966,Bearish,27,27
Very High,Very High,Very Low,13.908974358974355,Bearish,39,39
Very High,Very Low,Medium,9.938194444444441,Bearish,72,72
Very High,Very Low,Very Low,5.475000000000001,Doji,2,2
Very Low,High,Very High,11.134482758620683,Bearish,29,29
Very Low,Low,High,11.401162790697677,Bearish,43,43
Very Low,Low,Low,10.631578947368416,Bearish,19,19
Very Low,Low,Medium,9.96666666666667,Bullish,15,15
Very Low,Low,Very High,13.355813953488376,Bearish,43,43
Very Low,Low,Very Low,7.649999999999996,Bullish,3,3
Very Low,Medium,High,9.675000000000015,Bearish,8,8
Very Low,Medium,Very High,9.826923076923075,Bearish,26,26
Very Low,Very High,Very High,10.969354838709675,Bearish,31,31
Very Low,Very Low,High,12.805555555555555,Bullish,27,27
Very Low,Very Low,Low,13.749999999999998,Bearish,67,67
Very Low,Very Low,Medium,12.957407407407404,Bearish,54,54
Very Low,Very Low,Very High,12.473333333333326,Bearish,30,30
Very Low,Very Low,Very Low,12.934810126582278,Bearish,79,79
