Date,Symbol,Prev Close,Open,High,Low,Close,vwap,Volume,Trades,Deliverable Volume,%Deliverble,Z-ScoreDelVolume
2025-06-03,JINDALSTEL,943.65,935.0,953.95,934.0,946.4,946.32,1294383,35105.0,618077,47.75,-0.7
2025-06-02,JINDALSTEL,948.9,935.0,949.0,930.8,943.65,941.55,1587165,39322.0,716275,45.13,-0.63
2025-05-30,JINDALSTEL,971.35,966.2,977.0,945.05,948.9,953.33,2013497,41880.0,1238610,61.52,-0.27
2025-05-29,JINDALSTEL,945.15,950.0,977.0,948.65,971.35,963.4,2490067,55678.0,1099375,44.15,-0.36
2025-05-28,JINDALSTEL,947.5,943.6,951.15,940.5,945.15,946.49,833626,22561.0,395874,47.49,-0.85
2025-05-27,JINDALSTEL,954.8,964.0,964.0,946.55,947.5,951.3,1604889,23724.0,1074707,66.96,-0.38
2025-05-26,JINDALSTEL,953.4,952.0,969.8,952.0,954.8,958.82,1381677,25539.0,822335,59.52,-0.56
2025-05-23,JINDALSTEL,959.95,953.05,964.65,950.65,953.4,955.77,1124070,23687.0,669696,59.58,-0.66
2025-05-22,JINDALSTEL,968.5,961.1,976.0,957.5,959.95,964.48,1299974,31960.0,698047,53.7,-0.64
2025-05-21,JINDALSTEL,957.6,951.1,971.95,951.1,968.5,962.15,2277923,32765.0,1342387,58.93,-0.19
2025-05-20,JINDALSTEL,973.05,973.05,982.9,956.2,957.6,966.85,2683257,48888.0,1289840,48.07,-0.23
2025-05-19,JINDALSTEL,981.6,970.9,979.65,955.25,973.05,969.92,3177664,55952.0,1807328,56.88,0.13
2025-05-16,JINDALSTEL,968.3,966.4,985.8,964.35,981.6,977.17,2805260,51148.0,1804013,64.31,0.13
2025-05-15,JINDALSTEL,943.2,940.0,971.65,934.65,968.3,960.83,2553377,56727.0,1240174,48.57,-0.27
2025-05-14,JINDALSTEL,909.7,910.1,950.0,908.65,943.2,932.62,6979336,112524.0,3988005,57.14,1.64
2025-05-13,JINDALSTEL,904.75,898.35,915.45,896.0,909.7,908.47,2468436,64111.0,1543368,62.52,-0.06
2025-05-12,JINDALSTEL,855.35,875.0,906.4,866.9,904.75,892.81,1674583,45334.0,653474,39.02,-0.67
2025-05-09,JINDALSTEL,851.15,833.6,858.3,833.6,855.35,846.34,687868,27572.0,190831,27.74,-1.0
2025-05-08,JINDALSTEL,878.6,878.6,882.3,839.1,851.15,862.31,1586003,50560.0,785070,49.5,-0.58
2025-05-07,JINDALSTEL,873.5,862.0,885.95,858.7,878.6,875.98,1186064,49296.0,376975,31.78,-0.87
2025-05-06,JINDALSTEL,903.85,911.0,911.0,871.0,873.5,883.73,1841702,65088.0,706251,38.35,-0.64
2025-05-05,JINDALSTEL,897.75,895.1,908.85,892.55,903.85,902.79,1299773,36596.0,649648,49.98,-0.68
2025-05-02,JINDALSTEL,895.65,887.0,904.75,843.55,897.75,888.48,3691357,88934.0,1231010,33.35,-0.27
2025-04-30,JINDALSTEL,895.45,895.55,907.8,888.4,895.65,898.5,1048167,37063.0,427328,40.77,-0.83
2025-04-29,JINDALSTEL,907.5,911.0,916.5,892.95,895.45,901.9,519692,20855.0,139271,26.8,-1.03
2025-04-28,JINDALSTEL,891.8,895.0,912.8,889.05,907.5,904.43,631588,23214.0,153256,24.27,-1.02
2025-04-25,JINDALSTEL,908.0,912.0,919.0,876.05,891.8,893.28,1253219,36299.0,380287,30.34,-0.86
2025-04-24,JINDALSTEL,919.05,917.0,926.0,903.6,908.0,913.3,1578364,45267.0,453061,28.7,-0.81
2025-04-23,JINDALSTEL,914.75,921.0,922.0,892.65,919.05,911.35,1241468,46390.0,366421,29.52,-0.87
2025-04-22,JINDALSTEL,906.4,917.0,923.8,907.1,914.75,915.43,1941122,58955.0,565557,29.14,-0.73
2025-04-21,JINDALSTEL,881.7,888.0,913.95,879.05,906.4,900.39,2090565,95806.0,726879,34.77,-0.62
2025-04-17,JINDALSTEL,854.25,851.95,895.95,848.35,881.7,881.3,2842300,81139.0,522644,18.39,-0.76
2025-04-16,JINDALSTEL,845.15,845.15,860.0,838.55,854.25,846.96,1404916,43056.0,585504,41.68,-0.72
2025-04-15,JINDALSTEL,805.65,825.0,850.95,821.8,845.15,840.07,1818808,40402.0,868031,47.73,-0.52
2025-04-11,JINDALSTEL,786.9,810.0,816.8,797.8,805.65,808.06,1804073,78639.0,864083,47.9,-0.53
2025-04-09,JINDALSTEL,801.85,790.25,793.25,770.0,786.9,780.98,1877934,75862.0,656223,34.94,-0.67
2025-04-08,JINDALSTEL,791.05,818.6,822.75,777.7,801.85,798.17,2090766,70912.0,951828,45.53,-0.47
2025-04-07,JINDALSTEL,850.1,775.1,807.7,775.1,791.05,794.03,5300335,109829.0,2625778,49.54,0.7
2025-04-04,JINDALSTEL,905.2,898.0,908.8,845.0,850.1,861.85,2878135,100409.0,1258966,43.74,-0.25
2025-04-03,JINDALSTEL,909.55,900.0,916.0,898.3,905.2,904.72,1949930,47072.0,1152957,59.13,-0.33
2025-04-02,JINDALSTEL,901.5,903.0,911.7,896.5,909.55,905.22,1761044,35683.0,1087180,61.73,-0.37
2025-04-01,JINDALSTEL,912.3,907.0,914.6,893.3,901.5,903.13,1697338,54648.0,1021446,60.18,-0.42
2025-03-28,JINDALSTEL,916.05,925.45,925.45,905.3,912.3,915.98,1550743,52696.0,677170,43.67,-0.66
2025-03-27,JINDALSTEL,899.85,898.0,919.0,893.2,916.05,905.94,1246440,61464.0,559351,44.88,-0.74
2025-03-26,JINDALSTEL,908.8,909.5,916.35,896.05,899.85,906.84,1507434,56269.0,751583,49.86,-0.61
2025-03-25,JINDALSTEL,922.75,925.5,925.5,903.9,908.8,913.75,1553849,43962.0,369123,23.76,-0.87
2025-03-24,JINDALSTEL,914.3,921.0,929.0,916.0,922.75,924.18,985738,30003.0,454892,46.15,-0.81
2025-03-21,JINDALSTEL,926.2,926.2,928.85,911.75,914.3,917.15,2350523,44984.0,1590211,67.65,-0.02
2025-03-20,JINDALSTEL,925.0,931.8,931.8,915.1,926.2,923.13,1311300,41927.0,566629,43.21,-0.73
2025-03-19,JINDALSTEL,923.5,937.05,943.75,920.3,925.0,928.66,2402675,56302.0,881016,36.67,-0.52
2025-03-18,JINDALSTEL,897.25,905.8,927.0,898.2,923.5,918.92,1363602,42470.0,594126,43.57,-0.71
2025-03-17,JINDALSTEL,889.7,892.0,905.75,889.7,897.25,898.18,1163494,30500.0,552338,47.47,-0.74
2025-03-13,JINDALSTEL,903.05,905.75,909.3,885.7,889.7,899.12,1009777,34327.0,349370,34.6,-0.88
2025-03-12,JINDALSTEL,904.85,908.45,915.45,881.55,903.05,897.8,1325797,41755.0,514124,38.78,-0.77
2025-03-11,JINDALSTEL,905.3,892.5,909.5,892.5,904.85,902.25,2786479,71313.0,1798122,64.53,0.12
2025-03-10,JINDALSTEL,908.95,909.0,933.8,900.6,905.3,918.41,3073227,107447.0,1347955,43.86,-0.19
2025-03-07,JINDALSTEL,914.6,912.0,925.05,905.25,908.95,915.58,2083657,74155.0,927874,44.53,-0.48
2025-03-06,JINDALSTEL,891.65,902.0,920.0,894.05,914.6,909.49,3101315,105690.0,1470704,47.42,-0.11
2025-03-05,JINDALSTEL,867.3,861.0,896.0,861.0,891.65,884.38,2371535,56848.0,1141666,48.14,-0.33
2025-03-04,JINDALSTEL,854.35,854.0,872.0,842.55,867.3,863.23,1266558,36118.0,400204,31.6,-0.85
2025-03-03,JINDALSTEL,856.15,852.0,876.55,846.25,854.35,857.31,2828636,61084.0,1503827,53.16,-0.08
2025-02-28,JINDALSTEL,862.0,850.0,866.2,842.4,856.15,855.27,7714704,111722.0,4956014,64.24,2.32
2025-02-27,JINDALSTEL,856.8,853.0,872.55,847.45,862.0,857.49,1967080,52687.0,1008755,51.28,-0.43
2025-02-25,JINDALSTEL,862.25,855.15,872.35,854.0,856.8,864.72,1648058,54460.0,534650,32.44,-0.76
2025-02-24,JINDALSTEL,880.35,868.1,887.4,855.1,862.25,870.21,1686346,60394.0,511049,30.31,-0.77
2025-02-21,JINDALSTEL,879.3,872.8,887.1,863.25,880.35,875.26,4152422,73211.0,2448726,58.97,0.57
2025-02-20,JINDALSTEL,860.1,852.1,882.5,852.1,879.3,873.15,1283212,52650.0,496637,38.7,-0.78
2025-02-19,JINDALSTEL,846.95,840.0,862.0,838.05,860.1,856.85,1378738,48484.0,665161,48.24,-0.67
2025-02-18,JINDALSTEL,837.65,835.1,849.6,825.3,846.95,839.59,1253438,40807.0,437265,34.89,-0.82
2025-02-17,JINDALSTEL,833.3,825.0,841.95,813.35,837.65,833.3,3000527,62272.0,1681778,56.05,0.04
2025-02-14,JINDALSTEL,840.5,844.0,858.0,814.45,833.3,831.16,3127767,88735.0,1551419,49.6,-0.05
2025-02-13,JINDALSTEL,829.35,825.1,854.0,825.1,840.5,844.27,1584072,51897.0,557739,35.21,-0.74
2025-02-12,JINDALSTEL,834.5,825.0,835.0,801.35,829.35,822.73,4696962,127315.0,2112146,44.97,0.34
2025-02-11,JINDALSTEL,840.6,835.0,851.0,827.65,834.5,836.53,2851850,73325.0,1329171,46.61,-0.2
2025-02-10,JINDALSTEL,844.55,841.0,843.15,818.3,840.6,830.85,1744941,64220.0,546858,31.34,-0.75
2025-02-07,JINDALSTEL,809.35,809.95,848.7,809.95,844.55,836.12,6993440,123708.0,2505217,35.82,0.61
2025-02-06,JINDALSTEL,818.85,822.4,826.1,806.2,809.35,813.47,1073064,32205.0,336724,31.38,-0.89
2025-02-05,JINDALSTEL,801.6,810.2,824.0,804.2,818.85,817.37,1895088,57772.0,908736,47.95,-0.5
2025-02-04,JINDALSTEL,807.7,813.5,827.1,799.0,801.6,807.31,2771274,77577.0,1256625,45.34,-0.25
2025-02-03,JINDALSTEL,776.35,769.0,813.3,750.4,807.7,788.96,7785004,141055.0,3684377,47.33,1.43
2025-02-01,JINDALSTEL,791.55,792.05,807.8,755.2,776.35,782.48,4262499,115460.0,1578716,37.04,-0.03
2025-01-31,JINDALSTEL,840.05,785.05,796.8,723.35,791.55,765.1,22676494,364285.0,7222322,31.85,3.89
2025-01-30,JINDALSTEL,849.0,849.0,864.2,821.3,840.05,851.5,1970355,81162.0,893630,45.35,-0.51
2025-01-29,JINDALSTEL,841.1,846.0,855.85,836.7,849.0,848.99,551268,34788.0,138876,25.19,-1.03
2025-01-28,JINDALSTEL,842.65,849.95,858.75,825.55,841.1,843.26,855671,47982.0,190190,22.23,-1.0
2025-01-27,JINDALSTEL,882.8,876.6,876.6,838.2,842.65,852.32,2260090,70333.0,1286387,56.92,-0.23
2025-01-24,JINDALSTEL,893.0,899.0,908.0,881.0,882.8,892.03,2053984,61777.0,1150183,56.0,-0.33
2025-01-23,JINDALSTEL,896.8,896.0,906.0,889.25,893.0,896.29,1097278,56817.0,511618,46.63,-0.77
2025-01-22,JINDALSTEL,918.9,925.0,927.75,877.35,896.8,891.96,1613414,67448.0,666162,41.29,-0.66
2025-01-21,JINDALSTEL,933.8,940.0,940.0,915.5,918.9,925.9,813070,50866.0,309842,38.11,-0.91
2025-01-20,JINDALSTEL,924.65,927.8,939.9,910.65,933.8,930.42,1226037,46313.0,624054,50.9,-0.69
2025-01-17,JINDALSTEL,917.85,915.0,930.9,912.6,924.65,923.75,1374068,51360.0,690413,50.25,-0.65
2025-01-16,JINDALSTEL,910.25,919.0,932.5,911.5,917.85,923.89,1399598,81122.0,724757,51.78,-0.62
2025-01-15,JINDALSTEL,909.9,915.1,919.25,898.15,910.25,909.35,1733336,79927.0,848448,48.95,-0.54
2025-01-14,JINDALSTEL,876.7,878.9,922.4,878.9,909.9,911.44,2581715,112386.0,1126658,43.64,-0.34
2025-01-13,JINDALSTEL,917.7,913.05,918.55,871.05,876.7,900.39,1916830,66584.0,1003297,52.34,-0.43
2025-01-10,JINDALSTEL,931.55,930.0,931.55,911.05,917.7,918.62,965180,40450.0,373284,38.68,-0.87
2025-01-09,JINDALSTEL,942.55,940.85,941.65,921.0,931.55,929.93,1652891,35360.0,970326,58.7,-0.45
2025-01-08,JINDALSTEL,941.45,937.0,947.75,930.15,942.55,939.62,1719232,43682.0,967217,56.26,-0.46
2025-01-07,JINDALSTEL,939.35,935.1,954.7,935.1,941.45,946.67,1057467,50212.0,497848,47.08,-0.78
2025-01-06,JINDALSTEL,957.85,957.8,957.8,926.65,939.35,938.49,1881095,69972.0,1051722,55.91,-0.4
2025-01-03,JINDALSTEL,941.7,940.5,962.1,939.3,957.85,954.85,1702255,49203.0,862785,50.68,-0.53
2025-01-02,JINDALSTEL,938.1,932.0,947.0,930.3,941.7,941.38,1107101,56187.0,651930,58.89,-0.67
2025-01-01,JINDALSTEL,930.7,925.4,939.5,918.6,938.1,932.41,591839,28893.0,241472,40.8,-0.96
2024-12-31,JINDALSTEL,918.3,911.5,935.5,911.5,930.7,926.13,1135095,36861.0,469770,41.39,-0.8
2024-12-30,JINDALSTEL,923.55,920.7,925.35,909.0,918.3,917.59,3283259,80023.0,2329462,70.95,0.49
2024-12-27,JINDALSTEL,941.35,939.0,949.45,921.35,923.55,932.17,699559,35642.0,184854,26.42,-1.0
2024-12-26,JINDALSTEL,942.7,938.0,945.0,924.75,941.35,937.1,1163046,39845.0,545721,46.92,-0.75
2024-12-24,JINDALSTEL,940.8,939.0,946.55,930.0,942.7,939.74,1638333,58001.0,905325,55.26,-0.5
2024-12-23,JINDALSTEL,908.05,925.0,947.5,883.35,940.8,937.11,3310719,118513.0,1121240,33.87,-0.35
2024-12-20,JINDALSTEL,922.4,925.0,934.4,904.0,908.05,922.2,1099720,45536.0,343035,31.19,-0.89
2024-12-19,JINDALSTEL,931.45,907.0,925.0,907.0,922.4,918.99,726533,32424.0,205898,28.34,-0.98
2024-12-18,JINDALSTEL,951.5,960.0,961.65,926.85,931.45,942.73,946566,41415.0,272039,28.74,-0.94
2024-12-17,JINDALSTEL,976.1,972.0,981.65,947.75,951.5,963.69,885850,39052.0,375770,42.42,-0.87
2024-12-16,JINDALSTEL,998.75,993.0,1000.4,968.9,976.1,976.91,1420965,45917.0,378306,26.62,-0.86
2024-12-13,JINDALSTEL,1000.25,997.0,1000.8,974.15,998.75,985.74,1575356,42989.0,649528,41.23,-0.68
2024-12-12,JINDALSTEL,994.65,1000.0,1006.0,987.05,1000.25,997.46,1331800,43014.0,481718,36.17,-0.79
2024-12-11,JINDALSTEL,1002.35,998.0,1008.4,990.3,994.65,999.39,1284435,54162.0,577906,44.99,-0.73
2024-12-10,JINDALSTEL,967.2,973.9,1011.45,973.0,1002.35,999.06,4608726,138820.0,1265957,27.47,-0.25
2024-12-09,JINDALSTEL,949.1,950.05,969.6,945.2,967.2,957.63,1433142,53173.0,590527,41.21,-0.72
2024-12-06,JINDALSTEL,934.45,935.0,951.75,932.65,949.1,944.75,1179083,36304.0,358395,30.4,-0.88
2024-12-05,JINDALSTEL,935.5,935.55,942.85,924.35,934.45,932.61,1159145,39452.0,461494,39.81,-0.81
2024-12-04,JINDALSTEL,925.8,925.0,937.0,920.45,935.5,930.02,1147200,48632.0,565955,49.33,-0.73
2024-12-03,JINDALSTEL,918.55,925.95,935.6,919.05,925.8,928.59,1636042,51104.0,776212,47.44,-0.59
2024-12-02,JINDALSTEL,906.45,906.0,921.0,897.2,918.55,911.97,988585,35733.0,298240,30.17,-0.92
2024-11-29,JINDALSTEL,897.0,899.0,912.5,892.0,906.45,903.09,1082644,35674.0,387034,35.75,-0.86
2024-11-28,JINDALSTEL,889.55,894.0,903.8,885.5,897.0,897.14,1325547,63281.0,507272,38.27,-0.78
2024-11-27,JINDALSTEL,892.8,892.8,894.2,881.25,889.55,888.42,819382,32056.0,273965,33.44,-0.94
2024-11-26,JINDALSTEL,877.25,875.0,898.6,870.95,892.8,892.12,1423292,50938.0,607950,42.71,-0.71
2024-11-25,JINDALSTEL,878.95,887.7,898.15,870.05,877.25,879.29,5649588,64233.0,3529021,62.47,1.33
2024-11-22,JINDALSTEL,871.2,873.7,884.0,858.5,878.95,873.49,895312,36503.0,187647,20.96,-1.0
2024-11-21,JINDALSTEL,865.4,868.0,879.95,857.35,871.2,869.57,1330047,51931.0,418286,31.45,-0.84
2024-11-19,JINDALSTEL,886.75,886.95,890.85,862.35,865.4,877.92,1585170,70566.0,567340,35.79,-0.73
2024-11-18,JINDALSTEL,877.4,880.0,903.95,875.25,886.75,888.52,1348925,62107.0,375458,27.83,-0.87
2024-11-14,JINDALSTEL,858.65,859.75,888.0,859.0,877.4,877.79,1864763,110856.0,746194,40.02,-0.61
2024-11-13,JINDALSTEL,887.0,881.0,884.9,855.0,858.65,865.39,2232128,81336.0,1023583,45.86,-0.42
2024-11-12,JINDALSTEL,906.85,906.85,915.95,883.2,887.0,898.68,2703824,67026.0,1232029,45.57,-0.27
2024-11-11,JINDALSTEL,928.05,923.0,929.8,904.55,906.85,915.29,1299909,58181.0,497240,38.25,-0.78
2024-11-08,JINDALSTEL,947.6,947.6,955.5,920.15,928.05,934.62,1185483,50413.0,340046,28.68,-0.89
2024-11-07,JINDALSTEL,951.85,955.0,968.95,929.6,947.6,950.75,2917302,101788.0,1032131,35.38,-0.41
2024-11-06,JINDALSTEL,936.05,942.0,955.5,928.0,951.85,946.62,2513894,70517.0,1157387,46.04,-0.32
