Date,Symbol,Prev Close,Open,High,Low,Close,vwap,Volume,Trades,Deliverable Volume,%Deliverble
2024-12-13,JINDALSTEL,1000.25,997.0,1000.8,974.15,998.75,985.74,1575356,42989.0,649528,41.23
2024-12-12,JINDALSTEL,994.65,1000.0,1006.0,987.05,1000.25,997.46,1331800,43014.0,481718,36.17
2024-12-11,JINDALSTEL,1002.35,998.0,1008.4,990.3,994.65,999.39,1284435,54162.0,577906,44.99
2024-12-10,JINDALSTEL,967.2,973.9,1011.45,973.0,1002.35,999.06,4608726,138820.0,1265957,27.47
2024-12-09,JINDALSTEL,949.1,950.05,969.6,945.2,967.2,957.63,1433142,53173.0,590527,41.21
2024-12-06,JINDALSTEL,934.45,935.0,951.75,932.65,949.1,944.75,1179083,36304.0,358395,30.4
2024-12-05,JINDALSTEL,935.5,935.55,942.85,924.35,934.45,932.61,1159145,39452.0,461494,39.81
2024-12-04,JINDALSTEL,925.8,925.0,937.0,920.45,935.5,930.02,1147200,48632.0,565955,49.33
2024-12-03,JINDALSTEL,918.55,925.95,935.6,919.05,925.8,928.59,1636042,51104.0,776212,47.44
2024-12-02,JINDALSTEL,906.45,906.0,921.0,897.2,918.55,911.97,988585,35733.0,298240,30.17
2024-11-29,JINDALSTEL,897.0,899.0,912.5,892.0,906.45,903.09,1082644,35674.0,387034,35.75
2024-11-28,JINDALSTEL,889.55,894.0,903.8,885.5,897.0,897.14,1325547,63281.0,507272,38.27
2024-11-27,JINDALSTEL,892.8,892.8,894.2,881.25,889.55,888.42,819382,32056.0,273965,33.44
2024-11-26,JINDALSTEL,877.25,875.0,898.6,870.95,892.8,892.12,1423292,50938.0,607950,42.71
2024-11-25,JINDALSTEL,878.95,887.7,898.15,870.05,877.25,879.29,5649588,64233.0,3529021,62.47
2024-11-22,JINDALSTEL,871.2,873.7,884.0,858.5,878.95,873.49,895312,36503.0,187647,20.96
2024-11-21,JINDALSTEL,865.4,868.0,879.95,857.35,871.2,869.57,1330047,51931.0,418286,31.45
2024-11-19,JINDALSTEL,886.75,886.95,890.85,862.35,865.4,877.92,1585170,70566.0,567340,35.79
2024-11-18,JINDALSTEL,877.4,880.0,903.95,875.25,886.75,888.52,1348925,62107.0,375458,27.83
2024-11-14,JINDALSTEL,858.65,859.75,888.0,859.0,877.4,877.79,1864763,110856.0,746194,40.02
2024-11-13,JINDALSTEL,887.0,881.0,884.9,855.0,858.65,865.39,2232128,81336.0,1023583,45.86
2024-11-12,JINDALSTEL,906.85,906.85,915.95,883.2,887.0,898.68,2703824,67026.0,1232029,45.57
2024-11-11,JINDALSTEL,928.05,923.0,929.8,904.55,906.85,915.29,1299909,58181.0,497240,38.25
2024-11-08,JINDALSTEL,947.6,947.6,955.5,920.15,928.05,934.62,1185483,50413.0,340046,28.68
2024-11-07,JINDALSTEL,951.85,955.0,968.95,929.6,947.6,950.75,2917302,101788.0,1032131,35.38
2024-11-06,JINDALSTEL,936.05,942.0,955.5,928.0,951.85,946.62,2513894,70517.0,1157387,46.04
2024-11-05,JINDALSTEL,909.2,909.0,939.0,905.15,936.05,927.1,2270819,49162.0,1118170,49.24
2024-11-04,JINDALSTEL,929.5,932.0,933.9,897.8,909.2,909.98,1031272,52706.0,416130,40.35
2024-11-01,JINDALSTEL,920.5,927.9,935.4,922.4,929.5,931.62,228890,7587.0,114186,49.89
2024-10-31,JINDALSTEL,919.0,919.0,931.7,911.55,920.5,922.22,1116203,45350.0,299093,26.8
2024-10-30,JINDALSTEL,915.05,911.65,930.4,904.55,919.0,922.67,805681,35451.0,272069,33.77
2024-10-29,JINDALSTEL,919.0,924.0,924.0,896.45,915.05,908.91,1624416,68059.0,704001,43.34
2024-10-28,JINDALSTEL,899.05,899.0,924.85,891.55,919.0,913.7,962918,46931.0,310484,32.24
2024-10-25,JINDALSTEL,924.3,924.3,927.0,882.0,899.05,899.84,2311184,126424.0,1125904,48.72
2024-10-24,JINDALSTEL,915.45,918.7,935.65,909.05,924.3,924.06,3186168,117914.0,1897380,59.55
2024-10-23,JINDALSTEL,910.25,924.9,925.7,896.75,915.45,917.1,1874744,81624.0,814461,43.44
2024-10-22,JINDALSTEL,948.95,948.0,952.45,906.1,910.25,926.25,1988814,59503.0,850429,42.76
2024-10-21,JINDALSTEL,964.5,969.15,973.65,946.0,948.95,958.47,1659103,47539.0,840276,50.65
2024-10-18,JINDALSTEL,930.0,929.8,973.2,923.7,964.5,956.22,2696607,82649.0,811366,30.09
2024-10-17,JINDALSTEL,960.25,959.0,961.95,915.0,930.0,930.26,5120919,111892.0,3073815,60.02
2024-10-16,JINDALSTEL,968.7,965.0,971.95,950.05,960.25,959.79,7109924,65608.0,5796467,81.53
2024-10-15,JINDALSTEL,993.15,996.95,999.55,965.0,968.7,974.98,7070247,75112.0,5187590,73.37
2024-10-14,JINDALSTEL,1005.85,1006.05,1017.1,984.35,993.15,994.16,1949682,64861.0,980380,50.28
2024-10-11,JINDALSTEL,990.75,989.0,1014.0,989.0,1005.85,1004.57,1834521,33280.0,976018,53.2
2024-10-10,JINDALSTEL,999.5,1008.7,1034.2,986.0,990.75,1003.0,1415371,53186.0,437246,30.89
2024-10-09,JINDALSTEL,982.9,985.5,1009.65,965.55,999.5,997.15,2166137,59028.0,943708,43.57
2024-10-08,JINDALSTEL,1000.6,999.0,999.0,965.0,982.9,983.38,2614906,86238.0,1063087,40.65
2024-10-07,JINDALSTEL,1021.1,1026.05,1030.7,987.1,1000.6,1002.9,1714125,64032.0,681324,39.75
2024-10-04,JINDALSTEL,1051.05,1055.0,1057.85,1013.4,1021.1,1035.7,2138207,66225.0,792073,37.04
2024-10-03,JINDALSTEL,1035.35,1030.0,1069.0,1027.05,1051.05,1055.8,6213074,127381.0,2751854,44.29
