Date,Symbol,Close,Vol2Trade,Z-ScoreDelVolume,NetDel2Vol
2017-04-24,JKCEMENT,963.0,308.82,1.32,79.42000000000002
2020-01-07,JKCEMENT,1283.0,691.18,4.07,505.88
2020-02-04,JKCEMENT,1382.1,184.62,1.16,261.53
2020-03-09,JKCEMENT,1318.9,1250.0,1.22,1800.0
2020-03-17,JKCEMENT,1168.15,3600.0,1.34,3100.0
2020-03-20,JKCEMENT,984.15,142.92,4.65,69.41000000000003
2020-03-31,JKCEMENT,935.55,227.78,1.24,461.11
2020-04-09,JKCEMENT,968.2,337.5,2.27,371.88
2020-04-22,JKCEMENT,1145.95,528.57,1.45,507.14
2020-08-27,JKCEMENT,1517.7,329.17,1.88,454.16
2020-10-12,JKCEMENT,1654.5,2400.0,1.09,1233.33
2020-11-24,JKCEMENT,1953.2,2633.33,3.22,2733.34
2020-11-27,JKCEMENT,2029.95,206.57,6.77,135.35000000000002
2021-01-12,JKCEMENT,2196.25,209.68,1.08,138.70999999999998
2021-03-03,JKCEMENT,2695.3,725.0,1.52,541.6700000000001
2021-03-09,JKCEMENT,2877.75,98.6,1.32,-6.289999999999992
2021-10-28,JKCEMENT,3207.95,132.14,2.23,66.97000000000003
2022-03-07,JKCEMENT,2336.9,108.07,2.23,-43.8
2022-03-11,JKCEMENT,2296.1,200.0,1.02,-84.09
2022-06-07,JKCEMENT,2077.1,400.0,1.89,-22.0
2022-06-22,JKCEMENT,2044.55,3633.33,1.22,433.34000000000015
2022-07-20,JKCEMENT,2236.85,175.36,2.12,131.89
2023-01-24,JKCEMENT,2699.1,631.25,1.45,275.0
2023-08-09,JKCEMENT,3371.05,93.42,1.05,-47.370000000000005
2023-10-20,JKCEMENT,3301.65,6500.0,1.19,5400.0
2023-11-09,JKCEMENT,3390.4,165.45,3.31,35.160000000000025
2024-01-30,JKCEMENT,4330.95,93.41,1.74,10.78
2024-02-28,JKCEMENT,4446.7,239.33,3.31,132.58
2024-03-21,JKCEMENT,4107.25,95.11,2.87,60.86999999999999
2024-05-06,JKCEMENT,3987.8,430.0,1.79,465.0
2024-05-31,JKCEMENT,3872.25,210.17,2.27,174.58
2024-06-06,JKCEMENT,4013.0,117.96,3.43,48.540000000000006
2024-06-21,JKCEMENT,4259.9,185.37,8.08,55.81999999999999
2024-08-06,JKCEMENT,4238.6,74.04,1.01,23.08
2024-09-04,JKCEMENT,4670.2,77.29,1.47,-27.460000000000008
2025-02-13,JKCEMENT,4795.95,110.64,3.34,67.02
