Date,Symbol,Prev Close,Open,High,Low,Close,vwap,Volume,Trades,Deliverable Volume,%Deliverble
2024-12-13,JSWSTEEL,1005.8,995.0,1003.5,973.05,999.85,988.63,2444182,92478.0,614875,25.16
2024-12-12,JSWSTEEL,1000.2,1005.0,1012.95,991.0,1005.8,1003.23,1510341,67074.0,303585,20.1
2024-12-11,JSWSTEEL,1012.95,1015.9,1020.5,997.1,1000.2,1009.21,1246315,47749.0,539505,43.29
2024-12-10,JSWSTEEL,1011.9,1021.0,1023.5,1006.65,1012.95,1014.27,2227505,69338.0,1076372,48.32
2024-12-09,JSWSTEEL,1003.8,1005.5,1015.5,993.8,1011.9,1006.87,1457470,53427.0,555089,38.09
2024-12-06,JSWSTEEL,999.2,999.9,1008.0,994.65,1003.8,1002.39,1218982,56459.0,539480,44.26
2024-12-05,JSWSTEEL,994.85,991.0,1009.95,977.0,999.2,996.01,2221958,109303.0,643466,28.96
2024-12-04,JSWSTEEL,998.8,996.1,1003.0,985.35,994.85,993.09,1030877,59058.0,434780,42.18
2024-12-03,JSWSTEEL,989.8,995.0,1015.5,991.05,998.8,998.66,2118830,100022.0,782120,36.91
2024-12-02,JSWSTEEL,966.0,965.9,991.55,961.75,989.8,982.04,1272868,58754.0,306459,24.08
2024-11-29,JSWSTEEL,954.15,959.0,971.7,953.4,966.0,965.64,1326686,55860.0,677815,51.09
2024-11-28,JSWSTEEL,968.85,968.85,974.95,949.05,954.15,960.86,2959350,129053.0,1619402,54.72
2024-11-27,JSWSTEEL,963.6,963.35,972.0,955.25,968.85,964.92,1327011,51102.0,533705,40.22
2024-11-26,JSWSTEEL,953.3,955.0,966.8,950.6,963.6,960.41,1184177,46806.0,478998,40.45
2024-11-25,JSWSTEEL,977.35,975.0,980.45,945.65,953.3,955.52,4563438,116465.0,2037305,44.64
2024-11-22,JSWSTEEL,944.15,947.9,981.3,939.05,977.35,970.2,1889389,80205.0,941653,49.84
2024-11-21,JSWSTEEL,947.3,941.0,950.95,936.45,944.15,943.64,1669641,87941.0,730821,43.77
2024-11-19,JSWSTEEL,949.85,949.85,960.95,945.0,947.3,953.91,617409,43764.0,163106,26.42
2024-11-18,JSWSTEEL,939.05,935.05,956.05,934.9,949.85,948.34,1143965,58621.0,383575,33.53
2024-11-14,JSWSTEEL,935.95,935.05,949.35,932.45,939.05,939.12,1662673,93878.0,785367,47.24
2024-11-13,JSWSTEEL,957.25,953.5,958.25,928.05,935.95,938.26,1167594,64417.0,492223,42.16
2024-11-12,JSWSTEEL,979.0,987.0,987.8,953.65,957.25,966.97,731821,51635.0,255266,34.88
2024-11-11,JSWSTEEL,996.4,988.0,995.45,972.0,979.0,983.75,1336153,63156.0,516847,38.68
2024-11-08,JSWSTEEL,989.8,994.0,1001.55,976.5,996.4,989.35,3568198,93855.0,1956267,54.83
2024-11-07,JSWSTEEL,1008.65,1014.0,1018.95,985.65,989.8,995.86,2477876,81126.0,1371228,55.34
2024-11-06,JSWSTEEL,999.5,1000.0,1015.05,984.7,1008.65,1001.82,2761749,120025.0,918145,33.25
2024-11-05,JSWSTEEL,954.9,954.9,1003.0,952.0,999.5,985.08,5177028,148802.0,1078000,20.82
2024-11-04,JSWSTEEL,968.3,965.05,968.85,941.1,954.9,951.86,957723,58875.0,407585,42.56
2024-11-01,JSWSTEEL,963.65,969.9,978.0,965.0,968.3,969.49,136508,8643.0,44733,32.77
2024-10-31,JSWSTEEL,957.3,958.0,967.85,954.45,963.65,962.4,1445602,74181.0,570164,39.44
2024-10-30,JSWSTEEL,958.8,966.2,968.55,952.3,957.3,960.64,733890,41167.0,231362,31.53
