Date,Symbol,Close,Vol2Trade,Z-ScoreDelVolume,NetDel2Vol
2018-07-26,JUBLFOOD,1396.4,60.59,0.97,-19.49
2018-08-03,JUBLFOOD,1451.5,88.0,1.03,49.33000000000001
2018-10-25,JUBLFOOD,1074.1,63.61,1.37,-26.68
2018-11-01,JUBLFOOD,1104.45,69.54,1.08,-7.470000000000006
2019-01-31,JUBLFOOD,1258.45,76.7,1.5,-22.940000000000005
2019-02-01,JUBLFOOD,1357.95,94.6,2.15,-17.25999999999999
2020-03-25,JUBLFOOD,1347.1,47.87,1.5,31.92000000000001
2020-05-29,JUBLFOOD,1656.6,72.6,9.61,50.45
2022-04-19,JUBLFOOD,546.2,85.08,3.97,18.85000000000001
2022-05-10,JUBLFOOD,479.85,103.9,1.31,-18.840000000000003
2022-07-04,JUBLFOOD,548.3,229.31,1.21,-20.69
2022-07-07,JUBLFOOD,570.8,212.0,1.5,88.0
2022-08-05,JUBLFOOD,575.65,174.55,1.09,23.629999999999995
2022-08-12,JUBLFOOD,574.15,200.0,1.26,68.08999999999997
2022-08-18,JUBLFOOD,620.15,142.78,5.03,-10.759999999999993
2022-09-13,JUBLFOOD,624.25,99.32,2.43,67.12
2022-09-15,JUBLFOOD,634.5,158.14,0.98,69.77000000000001
2022-09-16,JUBLFOOD,626.55,201.37,2.45,134.25
2022-09-29,JUBLFOOD,603.6,304.67,7.78,422.43
2022-10-04,JUBLFOOD,633.4,171.88,1.7,93.74
2022-10-31,JUBLFOOD,609.95,152.38,1.02,90.48000000000002
2022-12-08,JUBLFOOD,536.85,383.33,1.02,466.67
2022-12-15,JUBLFOOD,523.85,230.3,2.43,506.06
2022-12-22,JUBLFOOD,533.8,120.0,1.84,64.0
2023-02-02,JUBLFOOD,435.6,106.73,5.37,65.39
2023-03-21,JUBLFOOD,445.2,493.75,1.51,450.0
2023-03-31,JUBLFOOD,440.1,153.12,1.6,96.88
2023-05-02,JUBLFOOD,461.6,147.06,1.07,10.289999999999992
2023-05-03,JUBLFOOD,458.0,161.22,1.03,48.97999999999999
2023-05-10,JUBLFOOD,469.15,329.41,1.02,270.59
2023-05-11,JUBLFOOD,470.5,633.33,1.25,1450.0
2023-05-23,JUBLFOOD,474.0,192.16,2.13,225.49
2023-06-15,JUBLFOOD,497.0,377.27,2.51,763.6400000000001
2023-07-10,JUBLFOOD,481.5,350.0,2.07,685.0
2023-07-13,JUBLFOOD,471.15,123.4,1.02,93.62
2023-08-24,JUBLFOOD,486.8,3366.67,2.86,6166.66
2023-08-30,JUBLFOOD,507.9,137.57,3.36,56.650000000000006
2023-09-07,JUBLFOOD,532.95,336.36,1.5,345.46000000000004
2023-09-12,JUBLFOOD,528.0,169.64,2.02,191.07
2023-09-25,JUBLFOOD,541.25,137.37,5.06,128.95
2023-09-26,JUBLFOOD,545.8,213.01,5.69,249.59000000000003
2023-09-28,JUBLFOOD,540.65,772.73,2.22,1245.45
2023-10-05,JUBLFOOD,530.2,246.88,1.9,346.87
2023-10-25,JUBLFOOD,529.1,148.61,1.91,116.66999999999996
2023-11-30,JUBLFOOD,560.85,285.42,4.13,575.0
2023-12-01,JUBLFOOD,565.4,400.0,1.46,1222.22
2023-12-14,JUBLFOOD,569.05,336.36,1.08,645.46
2023-12-26,JUBLFOOD,570.2,176.67,1.1,190.00000000000003
2024-01-09,JUBLFOOD,524.6,1520.0,2.56,3600.0
2024-01-25,JUBLFOOD,508.25,455.56,3.54,855.55
2024-02-01,JUBLFOOD,501.9,105.4,3.99,38.13
2024-02-29,JUBLFOOD,463.9,368.06,5.71,425.0
2024-03-04,JUBLFOOD,463.65,131.91,1.65,219.15
2024-03-12,JUBLFOOD,445.0,2450.0,3.19,5525.0
2024-04-09,JUBLFOOD,448.0,688.89,2.06,1600.0
2024-04-10,JUBLFOOD,453.1,3775.0,4.41,7250.0
2024-04-18,JUBLFOOD,441.9,316.67,3.28,594.44
2024-05-14,JUBLFOOD,474.0,780.0,1.03,1280.0
2024-05-21,JUBLFOOD,479.35,145.68,1.58,49.38
2024-05-24,JUBLFOOD,466.75,315.62,1.33,100.0
2024-06-07,JUBLFOOD,518.5,410.42,4.62,552.0799999999999
2024-06-18,JUBLFOOD,550.85,152.94,2.58,36.77000000000001
2024-06-19,JUBLFOOD,544.4,185.19,2.11,205.55
2024-06-26,JUBLFOOD,555.55,321.62,2.89,459.46
2024-07-11,JUBLFOOD,581.8,140.62,1.05,187.5
2024-07-12,JUBLFOOD,582.05,431.25,1.48,493.75
2024-07-24,JUBLFOOD,582.25,431.25,1.35,412.5
2024-08-13,JUBLFOOD,644.2,171.83,2.43,170.42
2024-08-22,JUBLFOOD,657.6,132.82,1.8,4.5800000000000125
2024-08-27,JUBLFOOD,661.4,385.71,1.08,1157.15
2024-09-16,JUBLFOOD,664.25,87.91,2.51,187.91
2024-10-03,JUBLFOOD,635.15,76.24,3.15,97.79
2024-10-14,JUBLFOOD,618.35,60.32,1.69,73.81
2024-11-25,JUBLFOOD,632.75,242.86,2.01,475.0
2025-01-07,JUBLFOOD,759.25,91.53,1.28,125.42
2025-01-14,JUBLFOOD,708.9,114.29,1.4,385.71
2025-02-01,JUBLFOOD,739.8,36.13,1.52,6.449999999999996
2025-02-03,JUBLFOOD,729.4,48.69,2.16,32.21000000000001
2025-02-27,JUBLFOOD,670.9,100.0,1.48,76.19
2025-03-06,JUBLFOOD,609.45,131.94,1.77,113.89
2025-03-26,JUBLFOOD,660.85,218.18,1.6,509.09
