Date,Symbol,Prev Close,Open,High,Low,Close,vwap,Volume,Trades,Deliverable Volume,%Deliverble
2024-12-13,JUBLFOOD,672.1,666.1,691.0,665.6,681.3,681.19,3220903,86825.0,699598,21.72
2024-12-12,JUBLFOOD,707.8,707.8,707.8,670.15,672.1,681.3,3314992,75455.0,806862,24.34
2024-12-11,JUBLFOOD,702.2,703.45,713.9,697.25,707.8,705.8,1905715,62073.0,753293,39.53
2024-12-10,JUBLFOOD,694.7,690.0,704.2,687.7,702.2,696.92,1608476,67559.0,840905,52.28
2024-12-09,JUBLFOOD,694.5,693.0,698.85,683.05,694.7,691.82,1399050,60824.0,693714,49.58
2024-12-06,JUBLFOOD,662.05,662.05,697.15,659.15,694.5,683.69,4327937,108886.0,1879922,43.44
2024-12-05,JUBLFOOD,660.15,663.95,669.55,656.2,662.05,661.99,919184,47317.0,437399,47.59
2024-12-04,JUBLFOOD,657.05,658.9,664.2,651.7,660.15,658.82,1620403,56495.0,744278,45.93
2024-12-03,JUBLFOOD,651.9,656.0,658.7,647.1,657.05,653.92,945337,30783.0,488894,51.72
2024-12-02,JUBLFOOD,644.55,644.55,654.6,638.9,651.9,649.63,670733,26784.0,274741,40.96
2024-11-29,JUBLFOOD,642.3,643.5,650.65,639.6,644.55,645.26,1321468,29981.0,693040,52.44
2024-11-28,JUBLFOOD,651.2,653.0,658.45,638.25,642.3,648.2,1301635,40829.0,506599,38.92
2024-11-27,JUBLFOOD,646.9,651.8,655.05,644.15,651.2,649.67,992076,31939.0,289090,29.14
2024-11-26,JUBLFOOD,632.75,637.0,653.7,634.4,646.9,647.28,2083758,66154.0,759470,36.45
2024-11-25,JUBLFOOD,637.65,645.85,646.6,631.15,632.75,635.1,2528076,45673.0,1557857,61.62
2024-11-22,JUBLFOOD,610.2,612.15,644.65,608.35,637.65,628.67,1511063,57237.0,486160,32.17
2024-11-21,JUBLFOOD,613.05,610.0,617.5,606.0,610.2,611.93,935931,38257.0,447788,47.84
2024-11-19,JUBLFOOD,607.15,607.15,622.45,604.55,613.05,616.99,982618,33679.0,323882,32.96
2024-11-18,JUBLFOOD,608.15,615.0,617.1,603.65,607.15,611.29,1321339,39525.0,433776,32.83
2024-11-14,JUBLFOOD,625.2,630.0,630.0,606.45,608.15,614.37,2007047,56514.0,770365,38.38
2024-11-13,JUBLFOOD,636.85,635.05,641.65,615.2,625.2,626.6,2564649,91207.0,780691,30.44
2024-11-12,JUBLFOOD,602.0,626.35,655.95,614.4,636.85,644.01,18717555,325258.0,1910462,10.21
2024-11-11,JUBLFOOD,607.25,610.0,617.45,594.4,602.0,606.16,1462672,47740.0,371528,25.4
2024-11-08,JUBLFOOD,596.35,596.35,608.9,594.45,607.25,603.08,2499471,65307.0,863539,34.55
2024-11-07,JUBLFOOD,600.45,604.0,604.9,584.3,596.35,593.32,1125466,28311.0,420329,37.35
2024-11-06,JUBLFOOD,591.95,597.85,603.3,590.65,600.45,597.98,1366681,44060.0,437562,32.02
2024-11-05,JUBLFOOD,567.1,567.1,595.5,567.1,591.95,585.9,2831538,68496.0,844876,29.84
2024-11-04,JUBLFOOD,577.55,577.55,577.55,558.25,567.1,564.11,2406753,49840.0,1618181,67.24
2024-11-01,JUBLFOOD,576.0,584.8,584.8,572.7,577.55,578.49,160706,5585.0,60976,37.94
