Date,Symbol,Close,Vol2Trade,Z-ScoreDelVolume,NetDel2Vol
2014-07-07,KOTAKBANK,870.9,173.54,4.23,50.27000000000001
2016-03-17,KOTAKBANK,651.25,364.0,1.46,220.0
2017-12-15,KOTAKBANK,1030.1,1392.86,2.93,700.0000000000002
2018-10-12,KOTAKBANK,1167.15,166.67,1.48,68.25
2020-04-29,KOTAKBANK,1327.85,111.43,1.0,-16.190000000000012
2020-05-27,KOTAKBANK,1217.55,95.54,1.6,-36.06000000000001
2020-05-28,KOTAKBANK,1229.45,100.44,1.7,-25.55
2020-06-15,KOTAKBANK,1248.9,92.11,1.27,-8.560000000000002
2020-06-25,KOTAKBANK,1381.7,90.83,1.38,-30.57
2020-10-27,KOTAKBANK,1587.65,82.48,3.52,-48.400000000000006
2020-11-19,KOTAKBANK,1826.35,135.16,1.69,-3.1299999999999955
2022-03-09,KOTAKBANK,1739.1,110.81,1.33,9.009999999999993
2022-03-24,KOTAKBANK,1714.15,130.96,3.86,-25.210000000000008
2022-05-31,KOTAKBANK,1846.85,422.22,4.56,140.74
2022-07-06,KOTAKBANK,1704.5,141.67,1.14,48.33000000000001
2022-07-14,KOTAKBANK,1770.05,256.82,1.66,120.45
2022-12-13,KOTAKBANK,1868.5,723.53,1.33,58.82000000000005
2023-06-09,KOTAKBANK,1872.0,98.78,2.84,-12.460000000000008
2023-06-14,KOTAKBANK,1864.65,91.4,1.19,36.55999999999999
2023-07-14,KOTAKBANK,1869.0,131.63,1.94,66.33000000000001
2023-10-04,KOTAKBANK,1722.05,63.19,1.11,4.909999999999997
2024-01-08,KOTAKBANK,1826.1,235.65,3.66,82.60999999999999
2024-03-22,KOTAKBANK,1776.4,99.22,1.66,30.47
2024-04-22,KOTAKBANK,1809.95,127.85,1.31,37.97
2024-04-30,KOTAKBANK,1623.95,129.76,4.38,0.6000000000000227
2024-05-31,KOTAKBANK,1680.4,134.91,3.05,8.960000000000008
2024-06-13,KOTAKBANK,1726.35,96.08,1.35,36.27
2024-06-27,KOTAKBANK,1830.55,105.61,3.21,7.019999999999996
2024-07-16,KOTAKBANK,1805.3,138.27,1.4,34.56999999999999
2024-08-30,KOTAKBANK,1780.8,160.47,1.85,54.650000000000006
2024-09-12,KOTAKBANK,1827.45,51.44,1.22,7.210000000000001
2024-09-18,KOTAKBANK,1839.7,295.12,1.43,53.65999999999997
2024-09-27,KOTAKBANK,1872.45,55.29,1.71,26.919999999999995
2024-11-25,KOTAKBANK,1790.75,124.74,1.53,32.989999999999995
2025-03-13,KOTAKBANK,1985.1,71.28,1.02,37.23
2025-03-19,KOTAKBANK,2021.55,65.83,1.16,30.840000000000003
