Date,Symbol,Volume,Trades,Deliverable Volume,DeiiveryToTrade,VolumeToTrade,TradeDel2VolDiff,Z-ScoreDelVolume_IMP,VolumeZscore_IMP,TradesZscore_IMP,FuturePremium_IMP,Z-ScoreDelVolume,VolumeZscore,TradesZscore,Del2Trade,Vol2Trade,NetDel2Vol,NetDel2Vol_IMP,ClosePriceDiff,Supply_Demand_Strength,DeiiveryToTrade_IMP,VolumeToTrade_IMP,TradeDel2VolDiff_IMP,Rolling_TWPC_Vol,Close,Close_Diff,Close_Future,Fut2Close%Change,FuturePremium,Fluc-Zscore,MWPL_Diff,Change in OI,MWPLDiffZscore,Prev Close,Open,High,Low,vwap,Open Interest,Expiry,MWPL,Position,BuyingPressure,SellingPressure,fluctuates,CandleSwipe,SwipePercent,SwipeType,CandleType,Return,Change,Supply_Demand_Strength,VWAP_12,VWAP_26,VWAP_Diff_Rate_Change,Per_Trade_Volume_to_Price,VolPerTrade_ROC,Histogram_VWAP,MACD_VWAP,SignalLine_VWAP,Histogram_VWAP_Close,MACD_Signal,MACD_Signal_Close,MACD_VWAP_Close,SignalLine_VWAP_Close,EWMA20BUYPRE,EWMA50BUYPRE,BUYSIGNAL,EWMA20SELLPRE,EWMA50SELLPRE,SELLSIGNAL,Price Change,Log(Volume),Price Movement with Volume,VTR,PCVR,CSI,EWMA20_VolPerTrade,EWMA50_VolPerTrade,VolPerTradeSIGNAL
2016-12-19,LAURUSLABS,17548335,329184,7808546,0.91,28.53,3035.16,Very High,Very High,Very High,,8.82,6.8,8.74,100.92,77.8,23.120000000000005,Very High,,Neutral,Low,High,Very High,484.47,480.4,,,,,0.47,,,0.01,428.0,489.9,498.0,475.0,481.92,,,,,,,23.0,,,,,,,Neutral,,,,2.32,,,,,0.0,,,0.0,0.0,,,False,,,False,,16.680469631580664,,53.308590332458444,,,2.32,2.32,False
2016-12-20,LAURUSLABS,2555044,60268,975045,126.83,138.46,9.17,Very High,Very High,Very High,,0.41,0.39,0.93,44.09,41.94,2.1500000000000057,Medium,-6.7,Neutral,Very High,Very High,Low,476.28,473.7,,,,,0.53,,,0.01,480.4,482.8,489.45,465.7,476.44,,,,,8.0,15.75,23.75,False,0.0,NoSwipe,Bearish,-0.014044880276122385,-6.699999999999989,Neutral,,,,1.79,-22.84,,,,-0.12,,Sell,-0.1500000000000341,-0.03,8.0,8.0,False,15.75,15.75,False,-6.699999999999989,14.75358000260669,-98.84898601746465,42.394703656998736,-2.6222640392885557e-06,-0.001640157065398962,2.0,2.03,False
2016-12-21,LAURUSLABS,924077,29793,342215,110.81,112.9,1.89,Medium,Medium,High,,-0.37,-0.31,0.04,-925.0,-775.0,-150.0,Low,-0.3,Neutral,Very High,Very High,Low,474.47,473.4,,,,,-0.49,,,0.01,473.7,474.0,480.0,470.0,474.03,,,,,3.4,6.6,10.0,False,0.0,,Bearish,-0.0006335128498227149,-0.30000000000001137,Neutral,,,,3.1,73.18,,,,-0.14,,Sell,-0.20000000000004547,-0.06,4.93,5.59,False,9.65,10.82,False,-0.30000000000001137,13.736550680485125,-4.120965204145694,31.0165810760917,-3.246482706527826e-07,-0.00013831991421292566,2.52,2.45,True
2016-12-22,LAURUSLABS,1126022,40873,757284,157.14,263.64,67.77,High,High,Very High,,0.14,-0.22,0.36,38.89,-61.11,100.0,Very High,1.15,Neutral,Very High,Very High,Medium,474.15,474.55,,,,,-0.65,,,0.01,473.4,472.0,477.9,470.0,473.2,,,,,4.55,3.35,7.9,False,0.0,,Bullish,0.0024262894966176063,1.150000000000034,Neutral,,,,3.49,12.58,,,,-0.09,,Sell,-0.18000000000000682,-0.09,4.71,5.21,False,6.05,7.94,False,1.150000000000034,13.934201625679181,16.024331869531533,27.549286815257016,1.0212944329684803e-06,0.000392051766925147,2.92,2.78,True
2016-12-23,LAURUSLABS,418933,9460,249619,14.58,5.77,60.43,Medium,Medium,Medium,,-0.48,-0.52,-0.55,87.27,94.55,-7.280000000000001,Medium,1.1,Neutral,Medium,Low,Medium,474.92,475.65,,,,,-0.72,,,0.01,474.55,474.95,478.0,471.1,474.16,,,,,4.55,2.35,6.9,True,0.02,CandleHighSwipe,Bullish,0.0023153030759646143,1.099999999999966,Neutral,,,,6.42,83.95,,,,-0.03,,Sell,-0.12000000000000455,-0.09,4.63,5.02,False,4.08,6.2,False,1.099999999999966,12.945466281583576,14.240012909741491,44.284672304439745,2.625718193601282e-06,0.001505286776928276,4.27,3.77,True
2016-12-26,LAURUSLABS,447513,18688,219243,46.15,45.1,2.28,Medium,Medium,Medium,,-0.52,-0.51,-0.28,185.71,182.14,3.5700000000000216,Medium,-20.45,Neutral,High,High,Low,461.47,455.2,,,,,0.61,,,0.01,475.65,475.0,477.0,452.2,459.0,,,,,3.0,21.8,24.8,False,0.0,NoSwipe,Bearish,-0.043945406840344425,-20.44999999999999,Neutral,,,,0.97,-84.89,,,,-0.69,,Sell,-0.9599999999999795,-0.27,3.79,4.54,False,13.22,10.35,True,-20.44999999999999,13.011460866554426,-266.0843747210379,23.94654323630137,-4.569699651183315e-05,-0.014238247791151428,3.06,3.09,False
2016-12-27,LAURUSLABS,1592573,46313,552667,572.73,2700.0,371.43,High,High,Very High,,-0.11,-0.02,0.52,-21.15,-3.85,-17.299999999999997,Low,26.05,Neutral,Very High,Very High,Very High,475.32,481.25,,,,,1.59,,,0.01,455.2,457.5,491.4,453.3,479.75,,,,,27.95,10.15,38.1,False,0.0,NoSwipe,Bullish,0.0556500027898732,26.05000000000001,Neutral,,,,0.9,-7.22,,,,-0.03,,Sell,-0.30000000000001137,-0.27,16.06,9.42,True,11.66,10.3,True,26.05000000000001,14.280861505252252,372.01644221182136,34.3871699090968,1.6357177975515103e-05,0.008032656969140874,2.3,2.6,False
2016-12-28,LAURUSLABS,863731,22775,350240,52.78,48.48,8.15,Medium,Medium,High,,-0.36,-0.33,-0.17,211.76,194.12,17.639999999999986,Very High,5.0,Neutral,High,High,Low,483.52,486.25,,,,,-0.07,,,0.01,481.25,483.0,490.0,474.3,485.05,,,,,11.95,3.75,15.7,False,0.0,,Bullish,0.010336009330662144,5.0,Neutral,,,,2.42,168.89,,,,0.53,,Buy,0.38999999999998636,-0.14,13.99,9.9,True,7.68,8.89,False,5.0,13.669016656716433,68.34508328358217,37.92452250274424,5.788839349288146e-06,0.0030008818126710064,2.34,2.56,False
2016-12-29,LAURUSLABS,374148,10513,111958,20.0,3.7,81.5,Medium,Medium,Medium,,-0.65,-0.54,-0.52,125.0,103.85,21.150000000000006,Very High,-6.0,Neutral,Medium,Low,High,485.28,480.25,,,,,0.41,,,0.01,486.25,488.8,498.9,476.7,488.83,,,,,3.55,18.65,22.2,True,1.85,CandleHighSwipe,Bearish,-0.012416093283990293,-6.0,Neutral,,,,1.6,-33.88,,,,0.57,,Buy,0.5699999999999932,0.0,8.75,8.81,False,13.18,10.85,True,-6.0,12.832406720044531,-76.99444032026719,35.589080186435844,-1.6036434779819752e-05,-0.007323736356916883,2.09,2.37,False
2016-12-30,LAURUSLABS,162852,4781,64617,2.82,9.52,237.59,Medium,Medium,Medium,,-0.71,-0.63,-0.69,102.9,91.3,11.600000000000009,High,0.6,Neutral,Low,Low,High,481.45,480.85,,,,,-0.83,,,0.01,480.25,483.75,484.5,479.0,481.39,,,,,1.85,3.65,5.5,False,0.0,,Bearish,0.0012485695098245486,0.6000000000000227,Neutral,,,,6.19,286.88,,,,0.57,,Buy,0.7100000000000364,0.14,5.29,7.71,False,8.41,9.48,False,0.6000000000000227,12.000597091869372,7.200358255121896,34.06233005647354,3.684326873480355e-06,0.0015060360290989115,3.48,3.1,True
