Date,Symbol,Close,Vol2Trade,Z-ScoreDelVolume,NetDel2Vol
2011-06-30,LICHSGFIN,243.15,265.91,1.52,79.53999999999996
2011-07-07,LICHSGFIN,223.1,120.18,1.45,12.849999999999994
2011-10-20,LICHSGFIN,217.55,127.59,2.03,47.41
2011-10-25,LICHSGFIN,218.15,393.33,1.08,326.67
2012-09-24,LICHSGFIN,276.5,137.5,3.06,181.25
2012-10-25,LICHSGFIN,244.95,709.09,3.63,940.91
2013-02-14,LICHSGFIN,252.1,90.0,1.27,25.450000000000003
2013-02-15,LICHSGFIN,248.15,100.0,1.7,66.66999999999999
2013-02-27,LICHSGFIN,246.25,216.67,1.27,841.66
2013-04-29,LICHSGFIN,252.1,150.0,2.43,169.74
2013-07-05,LICHSGFIN,233.05,50.0,1.02,95.71
2013-07-08,LICHSGFIN,224.75,74.36,1.78,153.85000000000002
2013-08-27,LICHSGFIN,165.5,293.75,4.53,414.06
2013-09-05,LICHSGFIN,167.05,493.33,1.07,220.00000000000009
2013-09-19,LICHSGFIN,204.6,100.68,2.39,61.91
2013-11-27,LICHSGFIN,201.95,362.5,2.42,645.83
2013-12-09,LICHSGFIN,206.5,114.67,2.58,229.33
2013-12-20,LICHSGFIN,208.8,427.27,1.87,422.73
2014-03-06,LICHSGFIN,215.7,335.0,1.2,265.0
2014-04-10,LICHSGFIN,267.95,115.63,1.89,81.25
2014-05-19,LICHSGFIN,334.6,62.05,2.97,70.54
2014-07-07,LICHSGFIN,333.45,129.79,2.99,188.3
2014-07-31,LICHSGFIN,289.7,437.5,1.58,1537.5
2014-09-01,LICHSGFIN,312.35,275.0,1.53,1000.0
2014-10-14,LICHSGFIN,333.5,169.15,2.78,126.59
2014-12-16,LICHSGFIN,396.15,103.31,1.53,23.14
2015-03-04,LICHSGFIN,489.55,125.45,1.6,165.46000000000004
2015-03-26,LICHSGFIN,424.0,59.38,1.22,67.69999999999999
2016-11-04,LICHSGFIN,532.6,98.97,2.72,181.44000000000003
2016-11-09,LICHSGFIN,525.7,110.06,3.59,90.5
2017-01-17,LICHSGFIN,531.9,79.23,2.14,37.71
2018-03-12,LICHSGFIN,492.55,-30.77,1.09,869.23
2018-04-26,LICHSGFIN,545.15,2200.0,2.7,6800.0
2018-05-30,LICHSGFIN,476.25,130.77,1.83,573.08
2018-09-27,LICHSGFIN,420.9,102.13,1.65,248.93
2018-09-28,LICHSGFIN,417.4,400.0,2.86,900.0
2018-10-10,LICHSGFIN,428.65,154.41,2.11,155.88000000000002
2018-12-05,LICHSGFIN,433.8,471.43,1.08,1071.4299999999998
2019-03-28,LICHSGFIN,534.05,104.35,1.21,421.74
2019-09-20,LICHSGFIN,417.25,51.79,1.23,11.29
2020-01-31,LICHSGFIN,437.7,109.87,1.07,-39.48
2020-04-30,LICHSGFIN,283.25,143.69,1.38,-9.710000000000008
2021-02-15,LICHSGFIN,476.05,95.28,2.25,-52.83
2021-03-03,LICHSGFIN,464.3,81.19,1.2,-21.78
2021-03-19,LICHSGFIN,416.45,86.55,1.09,5.049999999999997
2021-06-16,LICHSGFIN,495.05,82.18,1.61,-46.32000000000001
2021-06-17,LICHSGFIN,482.1,84.41,2.98,16.61
2022-01-17,LICHSGFIN,389.5,119.23,2.84,99.23
2022-04-01,LICHSGFIN,372.25,420.69,2.53,451.72
2024-01-31,LICHSGFIN,625.6,120.31,2.37,250.0
2024-09-05,LICHSGFIN,707.4,52.75,1.36,9.64
2024-09-16,LICHSGFIN,680.75,65.31,3.17,-0.6200000000000045
2024-10-30,LICHSGFIN,633.0,34.72,1.21,21.300000000000004
