Date,Symbol,Volume,Trades,Deliverable Volume,DeiiveryToTrade,VolumeToTrade,TradeDel2VolDiff,Z-ScoreDelVolume_IMP,VolumeZscore_IMP,TradesZscore_IMP,FuturePremium_IMP,Z-ScoreDelVolume,VolumeZscore,TradesZscore,Del2Trade,Vol2Trade,NetDel2Vol,NetDel2Vol_IMP,ClosePriceDiff,Supply_Demand_Strength,DeiiveryToTrade_IMP,VolumeToTrade_IMP,TradeDel2VolDiff_IMP,Rolling_TWPC_Vol,Close,Close_Diff,Close_Future,Fut2Close%Change,FuturePremium,Fluc-Zscore,MWPL_Diff,Change in OI,MWPLDiffZscore,Prev Close,Open,High,Low,vwap,Open Interest,Expiry,MWPL,Position,BuyingPressure,SellingPressure,fluctuates,CandleSwipe,SwipePercent,SwipeType,CandleType,Return,Change,Supply_Demand_Strength.1,VWAP_12,VWAP_26,VWAP_Diff_Rate_Change,Per_Trade_Volume_to_Price,VolPerTrade_ROC,Histogram_VWAP,MACD_VWAP,SignalLine_VWAP,Histogram_VWAP_Close,MACD_Signal,MACD_Signal_Close,MACD_VWAP_Close,SignalLine_VWAP_Close,EWMA20BUYPRE,EWMA50BUYPRE,BUYSIGNAL,EWMA20SELLPRE,EWMA50SELLPRE,SELLSIGNAL,Price Change,Log(Volume),Price Movement with Volume,VTR,PCVR,CSI,EWMA20_VolPerTrade,EWMA50_VolPerTrade,VolPerTradeSIGNAL,Market Structure,Liquidity,MarketMove,Swing,Trend,Swing%
2010-01-04,LT,471122,,188338,38.05,44.44,16.79,Low,Low,,Medium,-1.13,-1.08,-1.56,72.44,69.23,3.2099999999999937,High,,Neutral,Medium,Medium,Low,,1691.4,,1696.3,,4.899999999999864,-0.97,,67200.0,-0.0,1677.6,1683.0,1696.85,1683.0,1690.68,3001600.0,2010-01-28,,Undecisive,,,13.85,,,,,,,Neutral,,,,,,,,,0.0,,,0.0,0.0,,,False,,,False,,13.062872362812362,,,,,,,False,LL,HH Sweep,BoS,,Downtrend,
2010-01-05,LT,1192884,,793282,212.0,119.72,43.53,Medium,Low,,Medium,-0.5,-0.71,-1.56,32.05,45.51,-13.46,Medium,3.0,Low Supply,Very High,High,Medium,,1694.4,2.2999999999999545,1698.6,-0.0399999999999999,4.199999999999818,-0.44,,-26000.0,-0.0,1691.4,1705.0,1710.4,1684.15,1695.37,2975600.0,2010-01-28,,ShortCovering,10.25,16.0,26.25,True,0.8,CandleOpenHighSwipe,Bearish,0.0017721074990202,3.0,Low Supply,,,,,,,,,0.05,,Buy,0.0599999999999454,0.01,10.25,10.25,False,16.0,16.0,False,3.0,13.991884462488327,41.97565338746498,,2.5149134366795096e-06,,,,False,,,,,,
2010-01-06,LT,1367204,,924554,333.33,151.61,54.52,Medium,Low,,High,-0.36,-0.62,-1.56,23.08,39.74,-16.660000000000004,Medium,-18.75,Low Demand,Very High,Very High,High,,1675.65,-17.34999999999991,1681.25,0.09,5.599999999999909,0.54,,9800.0,-0.0,1694.4,1657.85,1706.9,1657.85,1682.79,2985400.0,2010-01-28,,ShortBuildUp,17.8,31.25,49.05,False,0.0,NoSwipe,Bullish,-0.0111275461621751,-18.75,Low Demand,,,,,,,,,-0.41,,Sell,-0.5,-0.09,15.28,14.2,True,26.17,24.21,True,-18.75,14.128278336466774,-264.905218808752,,-1.3714120204446446e-05,,,,False,,,,,,
2010-01-07,LT,903565,,455663,83.53,83.53,0.0,Low,Low,,High,-0.85,-0.85,-1.56,54.49,54.49,0.0,Medium,-8.05,Low Demand,High,High,,,1667.6,-7.75,1673.5,0.0199999999999999,5.900000000000091,-0.35,,59000.0,-0.0,1675.65,1673.95,1688.5,1660.05,1669.41,3044400.0,2010-01-28,,ShortBuildUp,7.55,20.9,28.45,False,0.0,,Bearish,-0.0048156826783252,-8.050000000000182,Low Demand,,,,,,,,,-0.75,,Sell,-1.0300000000002,-0.28,10.86,11.77,False,23.16,22.93,True,-8.050000000000182,13.71410332887273,-110.39853179742796,,-8.90915429437858e-06,,,,False,,,,,,
2010-01-08,LT,1307102,,800095,218.37,140.0,35.89,Medium,Low,,Medium,-0.49,-0.65,-1.56,31.41,41.67,-10.260000000000002,Medium,10.55,Low Supply,Very High,Very High,Medium,,1678.15,9.799999999999956,1683.3,-0.04,5.149999999999864,-0.44,,-85000.0,-0.0,1667.6,1670.5,1696.85,1670.5,1686.39,2959400.0,2010-01-28,,ShortCovering,7.65,18.7,26.35,True,0.5,CandleHighSwipe,Bullish,0.0063065291587633,10.550000000000182,Low Supply,,,,,,,,,-0.48,,Sell,-0.8800000000001091,-0.4,9.15,10.59,False,20.78,21.62,False,10.550000000000182,14.083323030877285,148.5790579757579,,8.071290534327222e-06,,,,False,,,,,,
2010-01-11,LT,993580,,642289,140.0,92.59,33.86,Low,Low,,Medium,-0.65,-0.81,-1.56,41.67,51.92,-10.25,Medium,-0.85,Low Demand,High,High,Medium,,1677.3,-3.7000000000000455,1679.6,-0.1699999999999999,2.2999999999999545,-0.42,,186400.0,-0.0,1678.15,1691.0,1700.0,1673.2,1686.72,3145800.0,2010-01-28,,ShortBuildUp,4.1,22.7,26.8,True,0.19,CandleHighSwipe,Bearish,-0.0005066384646958,-0.8500000000001364,Low Demand,,,,,,,,,-0.33,,Sell,-0.8099999999999454,-0.48,6.54,9.03,False,21.77,21.91,False,-0.8500000000001364,13.809069861134288,-11.737709381966027,,-8.554922603113352e-07,,,,False,BoS,,BoS,,Downtrend,
2010-01-12,LT,1387134,,789946,212.0,160.0,24.53,Medium,Low,,Low,-0.5,-0.6,-1.56,32.05,38.46,-6.410000000000004,Medium,1.95,Low Supply,Very High,Very High,Medium,,1679.25,0.3000000000001819,1679.9,-0.0999999999999999,0.650000000000091,-0.11,,2200.0,-0.0,1677.3,1682.0,1696.9,1663.0,1681.24,3148000.0,2010-01-28,,LongBuildUp,16.25,17.65,33.9,True,0.61,CandleLowSwipe,Bearish,0.0011619074462645,1.9500000000000453,Low Supply,,,,,,,,,-0.14,,Sell,-0.6599999999998545,-0.52,11.47,10.54,True,19.68,20.9,False,1.9500000000000453,14.14275030602188,27.57836309674331,,1.4057762263775854e-06,,,,False,,,,,Downtrend,
2010-01-13,LT,810134,,440062,79.31,73.33,7.54,Low,Low,,High,-0.87,-0.9,-1.56,55.77,57.69,-1.9199999999999944,Medium,-6.05,Low Demand,High,High,Low,,1673.2,-0.5500000000001819,1679.35,0.3299999999999999,6.149999999999864,-0.39,,79800.0,-0.0,1679.25,1670.0,1689.0,1661.7,1671.64,3227800.0,2010-01-28,,ShortBuildUp,11.5,15.8,27.3,True,0.08,CandleLowSwipe,Bullish,-0.0036093045789309,-6.0499999999999545,Low Demand,,,,,,,,,-0.26,,Sell,-0.8399999999999181,-0.58,11.49,10.72,True,17.72,19.8,False,-6.0499999999999545,13.604954945065009,-82.30997741764267,,-7.467900372037162e-06,,,,False,,,,,Downtrend,
2010-01-14,LT,1737040,,1144640,1200.0,271.43,77.38,High,Medium,,Low,-0.12,-0.42,-1.56,7.69,26.92,-19.23,Medium,-4.8,Low Demand,Very High,Very High,High,,1668.4,-9.849999999999907,1669.5,-0.3,1.099999999999909,-0.4,,73600.0,-0.0,1673.2,1680.2,1680.2,1653.0,1665.83,3301400.0,2010-01-28,,ShortBuildUp,15.4,11.8,27.2,True,0.52,CandleLowSwipe,Bearish,-0.0028728772452524,-4.7999999999999545,Low Demand,,,,,,,,,-0.48,,Sell,-1.1800000000000637,-0.7,13.45,11.52,True,14.75,18.18,False,-4.7999999999999545,14.367693073167654,-68.96492675120409,,-2.7633215124579483e-06,,,,False,,,,,Downtrend,
2010-01-15,LT,1434130,,1011712,500.0,168.97,66.21,Medium,Medium,,Medium,-0.26,-0.58,-1.56,16.67,37.18,-20.51,Medium,-17.2,Low Demand,Very High,Very High,High,,1651.2,-16.5,1653.0,0.04,1.7999999999999543,-0.32,,87200.0,-0.0,1668.4,1674.05,1674.05,1645.0,1651.69,3388600.0,2010-01-28,,ShortBuildUp,6.2,22.85,29.05,False,0.0,NoSwipe,Bearish,-0.0103627870355467,-17.200000000000045,Low Demand,,,,,,,,,-1.28,,Sell,-2.300000000000182,-1.02,9.82,10.68,False,18.81,19.07,False,-17.200000000000045,14.176068951541806,-243.8283859665197,,-1.1993333937648642e-05,,,,False,,,,,Downtrend,
