Date,Symbol,Expiry,Open,High,Low,Close,Settle Price,FUT_VOLUME,Number of Contracts,Open Interest,Change in OI
2024-12-12,LTIM,2024-12-26,6625.05,6745.3,6609.45,6678.4,6678.4,770400,5136.0,2170050,-104850
2024-12-11,LTIM,2024-12-26,6634.0,6651.95,6548.0,6613.3,6613.3,578700,3858.0,2274900,13050
2024-12-10,LTIM,2024-12-26,6443.95,6637.8,6418.8,6586.3,6586.3,985800,6572.0,2261850,34500
2024-12-09,LTIM,2024-12-26,6362.0,6450.0,6335.2,6418.85,6418.85,308100,2054.0,2227350,-56850
2024-12-06,LTIM,2024-12-26,6325.0,6410.95,6325.0,6390.1,6390.1,359250,2395.0,2284200,-61350
2024-12-05,LTIM,2024-12-26,6283.75,6379.95,6260.0,6364.25,6364.25,637200,4248.0,2345550,-92850
2024-12-04,LTIM,2024-12-26,6181.0,6267.0,6172.3,6246.05,6246.05,307800,2052.0,2438400,-40650
2024-12-03,LTIM,2024-12-26,6294.5,6314.3,6157.05,6182.95,6182.95,353400,2356.0,2479050,57900
2024-12-02,LTIM,2024-12-26,6309.85,6309.85,6161.0,6239.95,6239.95,176100,1174.0,2421150,8250
2024-11-29,LTIM,2024-12-26,6162.45,6280.0,6162.45,6207.6,6207.6,308700,2058.0,2412900,-23400
2024-11-28,LTIM,2024-11-28,6272.4,6272.4,6074.15,6146.0,6159.7,558450,3723.0,102600,-369000
2024-11-27,LTIM,2024-11-28,6211.4,6297.3,6181.4,6250.75,6250.75,1000200,6668.0,471600,-744900
2024-11-26,LTIM,2024-11-28,6137.5,6261.2,6112.6,6225.85,6225.85,888300,5922.0,1216500,-576600
2024-11-25,LTIM,2024-11-28,6166.0,6198.3,6089.15,6125.55,6125.55,857100,5714.0,1793100,-549900
2024-11-22,LTIM,2024-11-28,5935.05,6147.95,5927.3,6124.45,6124.45,638400,4256.0,2343000,23850
2024-11-21,LTIM,2024-11-28,5897.5,5940.95,5855.0,5924.95,5924.95,246900,1646.0,2319150,-61050
2024-11-19,LTIM,2024-11-28,5852.1,5974.9,5852.1,5880.6,5880.6,330900,2206.0,2380200,-36300
