DeiiveryToTrade_CAT,VolumeToTrade_CAT,TradeDel2VolDiff_CAT,next_day_fluctuates,next_day_CandleType,percentage_fluctuation,TotalCount
High,High,Low,116.11111111111111,Bearish,9,9
High,High,Medium,86.5,Bullish,1,1
High,High,Very Low,139.75624999999982,Bullish,24,24
High,Low,Low,123.97999999999993,Bearish,5,5
High,Low,Medium,116.32500000000005,Bearish,4,4
High,Medium,Low,135.1535714285714,Bearish,14,14
High,Medium,Medium,487.0,Bearish,1,1
High,Medium,Very Low,90.84999999999991,Bearish,2,2
High,Very High,High,114.85999999999986,Bearish,5,5
High,Very High,Low,155.94999999999982,Bullish,3,3
High,Very High,Medium,113.16428571428567,Bearish,7,7
High,Very High,Very High,106.1916666666666,Bearish,6,6
High,Very Low,Medium,113.39999999999986,Bearish,8,8
High,Very Low,Very Low,130.0,Bearish,1,1
Low,High,High,155.56249999999977,Bullish,4,4
Low,High,Medium,94.86666666666649,Bearish,3,3
Low,High,Very High,95.0916666666667,Bullish,6,6
Low,Low,Low,94.14999999999993,Bearish,6,6
Low,Low,Very Low,120.90249999999988,Bearish,20,20
Low,Medium,High,139.74999999999977,Bearish,4,4
Low,Medium,Low,104.62500000000016,Bearish,6,6
Low,Medium,Medium,211.0,Bullish,2,2
Low,Medium,Very Low,90.64999999999964,Bullish,2,2
Low,Very High,Very High,111.20833333333348,Bearish,6,6
Low,Very Low,Low,112.93749999999984,Bullish,12,12
Low,Very Low,Medium,120.4571428571427,Bearish,7,7
Low,Very Low,Very Low,142.11666666666648,Bullish,6,6
Medium,High,High,96.55000000000018,Bullish,1,1
Medium,High,Low,136.31999999999988,Bullish,5,5
Medium,High,Medium,154.0399999999996,Bearish,5,5
Medium,High,Very Low,89.42499999999995,Bullish,4,4
Medium,Low,Low,134.01111111111106,Bearish,9,9
Medium,Low,Very Low,151.38571428571427,Bullish,7,7
Medium,Medium,Low,168.02500000000032,Bullish,4,4
Medium,Medium,Medium,180.7750000000001,Doji,2,2
Medium,Medium,Very Low,138.8628571428571,Bearish,35,35
Medium,Very High,High,80.39999999999964,Bearish,1,1
Medium,Very High,Very High,99.51666666666642,Bearish,3,3
Medium,Very Low,Medium,116.59230769230754,Bullish,13,13
Very High,High,Low,140.70000000000002,Bullish,14,14
Very High,High,Medium,150.82142857142844,Bullish,7,7
Very High,High,Very Low,120.15000000000009,Bearish,2,2
Very High,Low,Medium,142.06999999999988,Bearish,5,5
Very High,Medium,Low,106.44999999999982,Bearish,2,2
Very High,Medium,Medium,134.92916666666665,Bearish,12,12
Very High,Very High,High,138.87727272727253,Bearish,11,11
Very High,Very High,Low,127.3576923076922,Bullish,13,13
Very High,Very High,Medium,105.4571428571427,Bearish,7,7
Very High,Very High,Very High,103.39999999999964,Bullish,4,4
Very High,Very High,Very Low,109.96499999999996,Bearish,10,10
Very High,Very Low,Medium,113.125,Bearish,2,2
Very High,Very Low,Very Low,136.80000000000018,Bearish,1,1
Very Low,High,Very High,96.79166666666652,Bearish,6,6
Very Low,Low,High,111.74999999999989,Bearish,8,8
Very Low,Low,Low,91.75,Bullish,2,2
Very Low,Low,Medium,135.12499999999986,Bearish,6,6
Very Low,Low,Very High,138.42999999999986,Bullish,15,15
Very Low,Low,Very Low,176.375,Bullish,2,2
Very Low,Medium,High,107.8416666666667,Bearish,6,6
Very Low,Medium,Very High,110.04500000000007,Bearish,10,10
Very Low,Very High,Very High,101.45000000000012,Bearish,3,3
Very Low,Very Low,High,100.15000000000009,Bearish,2,2
Very Low,Very Low,Low,123.69062499999984,Bullish,16,16
Very Low,Very Low,Medium,118.26666666666658,Bearish,6,6
Very Low,Very Low,Very High,109.80833333333324,Bearish,6,6
Very Low,Very Low,Very Low,140.43749999999977,Bullish,8,8
