Date,Symbol,Prev Close,Open,High,Low,Close,vwap,Volume,Trades,Deliverable Volume,%Deliverble,MWPL,MWPL_Diff,Close_Future,FUT_VOLUME,Open Interest,Expiry,Change in OI,Close_Diff,Position
2016-07-21,LTI,710.0,667.0,710.0,666.0,697.6,697.24,11824029,290190,3174314,26.85,,,,,,,,,
2016-07-22,LTI,697.6,700.0,708.7,696.2,700.0,701.61,820402,25092,285586,34.81,,,,,,,,,
2016-07-25,LTI,700.0,701.0,701.0,692.0,693.05,694.88,260240,10485,137514,52.84,,,,,,,,,
2016-07-26,LTI,693.05,694.9,701.5,690.0,692.15,694.9,312995,9744,160813,51.38,,,,,,,,,
2016-07-27,LTI,692.15,692.1,697.65,687.05,689.9,692.18,168708,7005,96231,57.04,,,,,,,,,
2016-07-28,LTI,689.9,691.6,697.0,677.85,679.9,688.05,375033,16950,256692,68.45,,,,,,,,,
2016-07-29,LTI,679.9,690.0,700.0,685.0,691.8,693.76,726870,30087,354447,48.76,,,,,,,,,
2016-08-01,LTI,691.8,694.85,696.35,682.6,686.9,689.03,347573,26513,188206,54.15,,,,,,,,,
2016-08-02,LTI,686.9,685.05,690.0,682.5,683.65,685.07,268056,13630,208777,77.89,,,,,,,,,
2016-08-03,LTI,683.65,685.0,688.0,677.7,680.0,682.33,116318,5951,67892,58.37,,,,,,,,,
2016-08-04,LTI,680.0,682.05,684.0,679.1,681.05,681.28,134769,7920,95506,70.87,,,,,,,,,
2016-08-05,LTI,681.05,681.95,715.0,681.5,697.65,702.53,593783,19320,232260,39.12,,,,,,,,,
2016-08-08,LTI,697.65,700.0,708.0,696.3,700.9,703.11,347844,23924,177463,51.02,,,,,,,,,
2016-08-09,LTI,700.9,703.2,711.0,696.3,698.3,703.79,341932,13797,185728,54.32,,,,,,,,,
2016-08-10,LTI,698.3,699.9,700.95,690.0,690.25,693.81,84904,3476,43604,51.36,,,,,,,,,
2016-08-11,LTI,690.25,691.0,697.0,682.5,684.05,688.17,96842,5096,49486,51.1,,,,,,,,,
2016-08-12,LTI,684.05,686.65,691.1,683.0,685.2,686.29,74615,3148,42907,57.5,,,,,,,,,
2016-08-16,LTI,685.2,685.2,688.0,681.3,681.95,683.65,64845,2772,39698,61.22,,,,,,,,,
2016-08-17,LTI,681.95,682.1,691.5,677.2,678.95,683.23,90769,3325,44220,48.72,,,,,,,,,
2016-08-18,LTI,678.95,679.8,681.85,674.0,674.95,678.0,152898,6665,76614,50.11,,,,,,,,,
2016-08-19,LTI,674.95,675.0,679.9,662.65,664.6,668.34,222490,11461,152926,68.73,,,,,,,,,
2016-08-22,LTI,664.6,665.95,667.0,655.0,656.05,660.14,132422,9592,90077,68.02,,,,,,,,,
2016-08-23,LTI,656.05,655.1,661.9,644.0,645.95,652.89,221090,13422,151400,68.48,,,,,,,,,
2016-08-24,LTI,645.95,646.0,649.45,638.35,639.85,642.56,188676,10272,133182,70.59,,,,,,,,,
2016-08-25,LTI,639.85,640.05,664.8,640.05,653.9,651.52,283053,9341,121665,42.98,,,,,,,,,
2016-08-26,LTI,653.9,655.05,659.9,646.6,647.8,652.55,86564,3210,50166,57.95,,,,,,,,,
2016-08-29,LTI,647.8,644.5,647.45,639.8,640.9,642.54,66739,2906,45255,67.81,,,,,,,,,
2016-08-30,LTI,640.9,644.0,659.85,641.5,651.75,651.61,141778,5394,56843,40.09,,,,,,,,,
2016-08-31,LTI,651.75,648.55,660.0,648.55,652.9,655.82,182760,6528,121409,66.43,,,,,,,,,
2016-09-01,LTI,652.9,654.0,655.0,644.05,645.6,649.65,75558,3123,50904,67.37,,,,,,,,,
2016-09-02,LTI,645.6,647.0,652.1,640.05,643.95,645.27,90488,4200,53728,59.38,,,,,,,,,
2016-09-06,LTI,643.95,645.95,663.0,645.0,651.55,653.66,186480,7134,93305,50.03,,,,,,,,,
2016-09-07,LTI,651.55,653.9,664.0,652.1,655.2,657.46,142947,5873,80472,56.29,,,,,,,,,
