DeiiveryToTrade_CAT,VolumeToTrade_CAT,TradeDel2VolDiff_CAT,next_day_fluctuates,next_day_CandleType,percentage_fluctuation,TotalCount
High,High,High,75.0,Bearish,1,1
High,High,Low,141.7115384615384,Bullish,13,13
High,High,Medium,140.3749999999999,Bearish,4,4
High,High,Very Low,126.51382978723403,Bearish,47,47
High,Low,Low,92.83333333333319,Bullish,3,3
High,Low,Medium,104.3708333333334,Bullish,12,12
High,Medium,Low,124.16000000000008,Bearish,10,10
High,Medium,Medium,96.15000000000009,Bullish,3,3
High,Medium,Very Low,186.02499999999964,Bullish,2,2
High,Very High,High,132.51875,Bearish,8,8
High,Very High,Medium,136.87499999999986,Bearish,6,6
High,Very High,Very High,98.66999999999999,Bearish,10,10
High,Very High,Very Low,86.65000000000009,Bullish,2,2
High,Very Low,Medium,115.52692307692304,Bullish,13,13
High,Very Low,Very Low,129.80000000000018,Bullish,2,2
Low,High,High,180.71249999999986,Bearish,4,4
Low,High,Very High,107.07000000000016,Bullish,5,5
Low,Low,Low,107.7066666666666,Bearish,15,15
Low,Low,Medium,92.69999999999982,Bullish,1,1
Low,Low,Very Low,129.125,Bullish,32,32
Low,Medium,High,153.19999999999982,Bullish,2,2
Low,Medium,Low,81.44999999999982,Bearish,2,2
Low,Medium,Medium,120.83000000000011,Bearish,5,5
Low,Medium,Very Low,87.48750000000007,Bearish,4,4
Low,Very High,Very High,91.04999999999988,Bearish,3,3
Low,Very Low,Low,113.40769230769227,Bearish,26,26
Low,Very Low,Medium,106.77419354838706,Bearish,31,31
Low,Very Low,Very Low,93.71000000000004,Bullish,5,5
Medium,High,High,95.71999999999989,Bearish,5,5
Medium,High,Low,172.1333333333332,Bullish,3,3
Medium,High,Medium,132.805,Bearish,10,10
Medium,High,Very Low,208.5,Bullish,3,3
Medium,Low,Low,137.9795454545454,Bullish,22,22
Medium,Low,Medium,201.25,Bearish,2,2
Medium,Low,Very Low,109.82222222222215,Bearish,18,18
Medium,Medium,Low,42.75,Bullish,1,1
Medium,Medium,Medium,227.35000000000036,Bullish,1,1
Medium,Medium,Very Low,117.30833333333328,Bearish,48,48
Medium,Very High,High,92.84999999999991,Bearish,1,1
Medium,Very High,Very High,165.2,Bearish,5,5
Medium,Very Low,Low,100.15000000000009,Doji,2,2
Medium,Very Low,Medium,110.94230769230765,Bearish,13,13
Very High,High,Low,121.86428571428567,Bearish,7,7
Very High,High,Medium,135.24999999999994,Bearish,16,16
Very High,High,Very Low,269.9000000000001,Bearish,1,1
Very High,Low,Medium,99.86923076923068,Bearish,13,13
Very High,Medium,Medium,155.2692307692308,Bullish,13,13
Very High,Very High,High,162.19999999999982,Bearish,10,10
Very High,Very High,Low,113.26153846153836,Bullish,13,13
Very High,Very High,Medium,143.35833333333326,Bearish,12,12
Very High,Very High,Very High,175.54999999999987,Bullish,6,6
Very High,Very High,Very Low,117.2730769230768,Bearish,13,13
Very High,Very Low,Medium,116.35172413793101,Bearish,29,29
Very High,Very Low,Very Low,107.0,Bearish,1,1
Very Low,High,Very High,125.34749999999993,Bearish,20,20
Very Low,Low,High,92.3166666666666,Bearish,3,3
Very Low,Low,Medium,112.12499999999993,Bearish,6,6
Very Low,Low,Very High,97.51111111111108,Bullish,18,18
Very Low,Low,Very Low,175.05000000000018,Bearish,1,1
Very Low,Medium,High,108.13999999999996,Bullish,5,5
Very Low,Medium,Very High,116.11666666666663,Bearish,9,9
Very Low,Very High,Very High,105.18999999999978,Bearish,5,5
Very Low,Very Low,High,106.71249999999986,Bullish,4,4
Very Low,Very Low,Low,124.4473684210526,Bullish,19,19
Very Low,Very Low,Medium,136.51590909090896,Bullish,22,22
Very Low,Very Low,Very High,101.10000000000014,Bullish,6,6
Very Low,Very Low,Very Low,90.04999999999994,Bearish,17,17
