Date,Symbol,Close,Vol2Trade,Z-ScoreDelVolume,NetDel2Vol
2018-04-25,LTTS,1289.25,505.88,6.82,497.06000000000006
2018-05-23,LTTS,1310.7,91.75,1.24,36.09
2018-10-12,LTTS,1479.0,145.0,1.26,485.0
2020-12-17,LTTS,1962.45,112.05,2.49,-0.8900000000000006
2020-12-28,LTTS,2389.0,209.09,1.11,295.46000000000004
2021-01-12,LTTS,2501.35,114.75,1.41,116.4
2021-01-21,LTTS,2523.5,92.94,3.25,98.24
2021-09-29,LTTS,4785.8,93.56,2.75,10.61
2021-12-09,LTTS,5384.6,138.89,1.15,180.55
2022-01-19,LTTS,5077.55,64.13,3.25,-9.139999999999992
2022-02-01,LTTS,4694.5,67.35,1.2,55.10000000000001
2022-05-30,LTTS,3575.35,116.67,1.27,59.71999999999999
2022-05-31,LTTS,3502.35,202.1,7.48,320.98
2022-09-12,LTTS,3824.25,137.35,1.19,6.02000000000001
2023-03-29,LTTS,3357.3,327.27,1.05,627.28
2023-04-19,LTTS,3435.1,518.18,1.92,1227.27
2023-06-15,LTTS,3836.25,128.57,1.5,228.57
2024-05-07,LTTS,4504.9,45.38,1.04,42.01
2024-10-07,LTTS,5145.8,89.55,1.52,137.32
