Date,Symbol,Close,Vol2Trade,Z-ScoreDelVolume,NetDel2Vol
2010-11-29,LUPIN,508.0,-78.7,1.38,-49.08
2011-07-18,LUPIN,479.25,5350.0,3.03,9800.0
2012-09-17,LUPIN,572.1,120.25,3.01,260.76
2013-01-31,LUPIN,604.3,103.57,1.05,83.93
2013-03-19,LUPIN,619.6,252.0,2.64,804.0
2015-03-20,LUPIN,1906.3,57.89,2.91,112.29
2015-05-29,LUPIN,1833.25,153.17,32.28,199.23
2015-08-14,LUPIN,1793.45,12.6,1.25,85.83000000000001
2016-03-21,LUPIN,1535.2,61.13,4.52,24.15
2016-04-08,LUPIN,1540.1,77.12,1.94,87.28999999999999
2016-04-28,LUPIN,1576.3,28.74,1.33,124.13
2016-11-10,LUPIN,1493.9,114.06,1.69,150.0
2017-05-25,LUPIN,1140.2,88.91,5.66,27.31
2017-06-29,LUPIN,1055.6,287.5,4.46,409.38
2017-07-05,LUPIN,1084.0,139.52,3.94,96.41
2018-03-28,LUPIN,735.85,94.55,1.02,90.9
2018-09-27,LUPIN,896.35,246.67,6.23,272.5
2018-11-29,LUPIN,868.25,126.95,3.55,85.61999999999999
2019-03-15,LUPIN,785.15,427.27,2.61,363.64
2019-03-28,LUPIN,724.85,237.5,1.58,157.5
2019-11-07,LUPIN,737.45,252.1,4.98,166.39
2020-02-28,LUPIN,640.0,142.22,1.16,115.55999999999996
2020-03-26,LUPIN,558.65,65.82,2.5,39.67
2020-03-27,LUPIN,548.1,142.48,4.08,124.19000000000004
2020-08-07,LUPIN,879.85,135.02,4.79,-38.06000000000002
2020-09-10,LUPIN,962.5,325.0,1.31,-27.269999999999985
2021-05-27,LUPIN,1203.35,2766.67,1.47,2133.33
2021-08-12,LUPIN,975.95,109.26,5.38,4.0
2021-08-23,LUPIN,925.6,73.21,1.37,49.11
2021-10-28,LUPIN,881.75,90.34,2.0,47.59
2022-02-14,LUPIN,761.35,54.17,1.55,38.09
2022-02-15,LUPIN,764.2,115.25,1.54,145.76999999999998
2022-09-16,LUPIN,632.15,390.0,1.03,640.0
2024-08-01,LUPIN,1953.35,68.25,1.26,131.75
2024-09-12,LUPIN,2247.5,66.18,1.94,219.11
2024-12-30,LUPIN,2311.35,39.0,2.03,39.38
