Date,Symbol,Close,Vol2Trade,Z-ScoreDelVolume,NetDel2Vol
2012-03-14,MANAPPURAM,46.1,353.59,14.61,345.45
2012-03-27,MANAPPURAM,29.95,107.45,3.08,56.38000000000001
2012-11-12,MANAPPURAM,31.25,247.06,1.06,376.47
2013-01-03,MANAPPURAM,40.6,365.52,2.13,368.96
2013-02-07,MANAPPURAM,38.95,186.76,1.65,55.890000000000015
2013-03-19,MANAPPURAM,27.7,138.51,6.92,95.27
2013-03-21,MANAPPURAM,23.85,240.91,1.64,131.82000000000002
2013-04-17,MANAPPURAM,15.35,1210.0,2.54,60.0
2014-09-19,MANAPPURAM,30.35,419.23,0.99,-38.46000000000004
2015-09-15,MANAPPURAM,24.35,649.18,7.45,572.13
2015-11-26,MANAPPURAM,25.2,5800.0,4.97,4140.0
2016-05-13,MANAPPURAM,50.25,236.54,3.16,67.31000000000003
2016-06-03,MANAPPURAM,56.85,215.52,1.21,-6.900000000000006
2016-08-08,MANAPPURAM,91.3,172.84,1.35,-6.170000000000016
2016-08-18,MANAPPURAM,87.65,187.1,0.93,112.9
2016-09-07,MANAPPURAM,89.95,178.57,0.98,171.43
2017-03-02,MANAPPURAM,99.9,63.51,1.76,174.33
2017-07-06,MANAPPURAM,102.0,158.26,2.39,49.57000000000002
2017-07-21,MANAPPURAM,104.85,132.43,1.03,6.759999999999991
2017-10-26,MANAPPURAM,98.3,4900.0,1.28,7900.0
2020-06-25,MANAPPURAM,157.45,68.72,0.98,-18.46
2020-08-06,MANAPPURAM,154.8,79.33,1.44,-54.11
2021-06-18,MANAPPURAM,160.2,41.84,0.98,27.66
2021-07-27,MANAPPURAM,209.5,84.88,2.6,-24.41
2022-02-15,MANAPPURAM,127.6,77.41,5.25,1.6599999999999966
2022-02-16,MANAPPURAM,125.95,78.96,2.51,2.2700000000000102
2022-11-16,MANAPPURAM,116.3,121.67,0.94,34.999999999999986
2023-03-29,MANAPPURAM,122.35,100.0,0.94,84.31
2023-06-01,MANAPPURAM,113.4,202.83,2.86,66.97999999999999
2023-06-08,MANAPPURAM,112.55,641.94,3.66,538.71
2023-08-11,MANAPPURAM,147.9,155.56,2.48,28.139999999999983
2023-08-24,MANAPPURAM,142.25,213.27,17.84,139.99999999999997
2023-09-01,MANAPPURAM,151.8,211.48,1.65,59.01000000000002
2023-10-25,MANAPPURAM,131.75,91.3,0.93,43.48
2023-11-13,MANAPPURAM,140.35,112.0,1.97,85.0
2023-11-24,MANAPPURAM,148.15,153.33,1.24,122.23
2024-02-09,MANAPPURAM,183.45,126.09,1.72,60.870000000000005
2024-05-16,MANAPPURAM,185.1,129.03,1.42,100.0
2024-06-03,MANAPPURAM,173.45,109.52,1.0,128.57999999999998
2024-07-25,MANAPPURAM,204.67,89.62,2.03,101.89
2024-07-26,MANAPPURAM,212.99,163.7,4.01,110.96000000000004
2024-08-12,MANAPPURAM,209.92,148.98,1.73,204.08
2024-08-22,MANAPPURAM,216.8,92.95,1.8,22.429999999999996
2024-11-12,MANAPPURAM,157.99,115.6,1.5,22.01000000000002
2025-01-29,MANAPPURAM,199.41,84.83,2.98,17.930000000000007
2025-02-28,MANAPPURAM,200.96,157.87,5.5,58.66999999999999
