DeiiveryToTrade_CAT,VolumeToTrade_CAT,TradeDel2VolDiff_CAT,next_day_fluctuates,next_day_CandleType,percentage_fluctuation,TotalCount
High,High,Low,7.880769230769232,Bullish,26,26
High,High,Medium,10.462500000000006,Bearish,4,4
High,High,Very Low,9.503174603174598,Bearish,126,126
High,Low,Low,9.050000000000011,Bearish,6,6
High,Low,Medium,13.267499999999993,Bullish,20,20
High,Medium,Low,11.500000000000004,Bearish,20,20
High,Medium,Medium,14.937500000000014,Bearish,4,4
High,Medium,Very Low,9.845454545454542,Bearish,11,11
High,Very High,High,10.11400000000001,Bullish,25,25
High,Very High,Low,11.25,Bearish,11,11
High,Very High,Medium,10.305555555555555,Bullish,18,18
High,Very High,Very High,8.935294117647054,Bearish,17,17
High,Very High,Very Low,11.164285714285691,Bearish,7,7
High,Very Low,Medium,11.654838709677414,Bearish,31,31
High,Very Low,Very Low,9.0,Bullish,2,2
Low,High,High,7.368750000000009,Bearish,8,8
Low,High,Very High,9.313636363636379,Bullish,11,11
Low,Low,Low,10.055357142857133,Bearish,28,28
Low,Low,Medium,10.350000000000003,Doji,3,3
Low,Low,Very Low,9.837234042553186,Bearish,94,94
Low,Medium,High,11.784999999999995,Bearish,20,20
Low,Medium,Low,8.923333333333343,Bullish,15,15
Low,Medium,Medium,9.024999999999991,Bullish,12,12
Low,Medium,Very Low,9.924999999999997,Bearish,16,16
Low,Very High,Very High,9.326315789473687,Bearish,19,19
Low,Very Low,Low,9.386842105263156,Bearish,38,38
Low,Very Low,Medium,10.626136363636359,Bearish,44,44
Low,Very Low,Very Low,8.555263157894743,Bearish,19,19
Medium,High,High,11.01666666666666,Bearish,9,9
Medium,High,Low,11.666666666666648,Bullish,6,6
Medium,High,Medium,12.444444444444438,Bearish,9,9
Medium,High,Very Low,9.892857142857148,Bullish,21,21
Medium,Low,Low,10.630769230769234,Bearish,26,26
Medium,Low,Medium,8.749999999999972,Bearish,2,2
Medium,Low,Very Low,12.407812499999999,Bullish,32,32
Medium,Medium,Low,16.162500000000023,Bullish,4,4
Medium,Medium,Very Low,8.856369426751588,Bearish,157,157
Medium,Very High,High,6.8166666666666815,Bullish,3,3
Medium,Very High,Very High,10.295238095238094,Bearish,21,21
Medium,Very Low,Low,7.149999999999977,Bullish,1,1
Medium,Very Low,Medium,12.685714285714289,Bearish,35,35
Medium,Very Low,Very Low,6.400000000000034,Bearish,1,1
Very High,High,Low,9.625000000000004,Bearish,20,20
Very High,High,Medium,12.082692307692309,Bearish,26,26
Very High,High,Very Low,12.957142857142875,Bearish,7,7
Very High,Low,Medium,8.341428571428576,Bearish,35,35
Very High,Medium,Medium,10.997826086956527,Bullish,23,23
Very High,Very High,High,13.746666666666677,Bearish,15,15
Very High,Very High,Low,11.793478260869565,Bearish,46,46
Very High,Very High,Medium,10.719607843137254,Bearish,51,51
Very High,Very High,Very High,13.346428571428577,Bullish,14,14
Very High,Very High,Very Low,11.512686567164174,Bearish,67,67
Very High,Very Low,Medium,13.197368421052625,Bearish,19,19
Very High,Very Low,Very Low,6.650000000000006,Bearish,4,4
Very Low,High,Very High,9.897368421052624,Bearish,19,19
Very Low,Low,High,9.26562499999999,Bearish,16,16
Very Low,Low,Low,8.02272727272727,Bullish,11,11
Very Low,Low,Medium,8.669047619047612,Bearish,21,21
Very Low,Low,Very High,10.189189189189184,Bearish,37,37
Very Low,Low,Very Low,9.100000000000009,Bullish,2,2
Very Low,Medium,High,13.370000000000005,Bullish,10,10
Very Low,Medium,Very High,9.199999999999998,Bearish,25,25
Very Low,Very High,Very High,7.2785714285714125,Bearish,14,14
Very Low,Very Low,High,7.843749999999998,Bearish,16,16
Very Low,Very Low,Low,8.390625,Bullish,48,48
Very Low,Very Low,Medium,9.120731707317072,Bearish,41,41
Very Low,Very Low,Very High,9.266000000000005,Bearish,25,25
Very Low,Very Low,Very Low,9.82906976744186,Bullish,43,43
