Date,Symbol,Prev Close,Open,High,Low,Close,vwap,Volume,Trades,Deliverable Volume,%Deliverble,MWPL,MWPL_Diff,Close_Future,FUT_VOLUME,Open Interest,Expiry,Change in OI,Close_Diff,Position
2010-01-04,MAX,222.05,226.0,230.9,221.6,229.7,227.32,903073,,688400,0.7623000000000001,,,,,,,,,
2010-01-05,MAX,229.7,231.9,233.45,226.25,227.2,229.59,309256,,196932,0.6368,,,,,,,,,
2010-01-06,MAX,227.2,228.5,231.0,224.0,225.9,228.21,250409,,77271,0.3086,,,,,,,,,
2010-01-07,MAX,225.9,226.7,228.0,221.1,221.85,223.44,153867,,91943,0.5975,,,,,,,,,
2010-01-08,MAX,221.85,223.0,224.7,216.25,216.95,219.56,212640,,124115,0.5837,,,,,,,,,
2010-01-11,MAX,216.95,218.0,224.5,216.15,217.55,220.11,264448,,134595,0.509,,,,,,,,,
2010-01-12,MAX,217.55,219.0,220.9,215.0,215.95,218.33,163214,,95063,0.5824,,,,,,,,,
2010-01-13,MAX,215.95,214.0,221.5,208.15,217.4,217.4,117013,,45892,0.3922,,,,,,,,,
2010-01-14,MAX,217.4,220.9,225.0,218.1,223.9,222.6,210228,,143161,0.6809999999999999,,,,,,,,,
2010-01-15,MAX,223.9,223.2,225.9,221.5,222.05,223.66,90292,,47165,0.5224,,,,,,,,,
2010-01-18,MAX,222.05,218.05,227.0,218.05,225.75,224.31,103649,,68949,0.6652,,,,,,,,,
2010-01-19,MAX,225.75,225.75,228.15,220.55,222.55,225.67,191960,,134606,0.7012,,,,,,,,,
2010-01-20,MAX,222.55,222.05,225.7,222.0,222.8,223.47,56094,,33072,0.5896,,,,,,,,,
2010-01-21,MAX,222.8,220.0,224.0,217.25,218.6,220.55,165890,,125275,0.7552,,,,,,,,,
2010-01-22,MAX,218.6,213.0,217.0,205.4,214.25,214.19,226055,,177467,0.7851,,,,,,,,,
2010-01-25,MAX,214.25,212.85,213.7,206.2,207.8,209.7,147812,,81473,0.5512,,,,,,,,,
2010-01-27,MAX,207.8,209.0,209.0,188.1,190.35,197.84,394454,,288365,0.731,,,,,,,,,
2010-01-28,MAX,190.35,194.8,218.9,194.0,208.25,207.16,2039587,,780754,0.38280000000000003,,,,,,,,,
2010-01-29,MAX,208.25,201.0,210.9,196.45,209.05,204.52,684690,,210146,0.3069,,,,,,,,,
2010-02-01,MAX,209.05,205.0,208.0,199.0,200.1,202.68,516377,,330872,0.6408,,,,,,,,,
2010-02-02,MAX,200.1,204.85,205.5,195.2,197.25,200.24,133678,,62998,0.47130000000000005,,,,,,,,,
2010-02-03,MAX,197.25,200.0,206.5,199.45,205.35,203.66,190020,,117669,0.6192000000000001,,,,,,,,,
2010-02-04,MAX,205.35,206.0,208.3,200.5,201.15,205.06,106251,,44640,0.4201,,,,,,,,,
2010-02-05,MAX,201.15,193.8,202.8,192.75,199.25,197.22,88279,,38234,0.43310000000000004,,,,,,,,,
2010-02-06,MAX,199.25,203.5,203.75,200.05,202.05,201.73,19255,,11231,0.5833,,,,,,,,,
2010-02-08,MAX,202.05,203.8,205.0,196.05,199.15,200.48,113971,,64318,0.5643,,,,,,,,,
2010-02-09,MAX,199.15,197.0,202.5,196.0,200.3,199.43,162877,,65361,0.40130000000000005,,,,,,,,,
2010-02-10,MAX,200.3,203.45,208.75,196.0,197.8,207.1,1080914,,955414,0.8839,,,,,,,,,
2010-02-11,MAX,197.8,200.5,202.0,197.3,197.8,198.96,62091,,28180,0.45380000000000004,,,,,,,,,
2010-02-15,MAX,197.8,199.1,201.0,196.5,197.8,198.74,51346,,19528,0.3803,,,,,,,,,
2010-02-16,MAX,197.8,200.0,200.0,196.0,197.15,197.25,35827,,13529,0.3776,,,,,,,,,
2010-02-17,MAX,197.15,199.7,205.9,196.7,197.8,201.15,360681,,163047,0.4521,,,,,,,,,
2010-02-18,MAX,197.8,197.0,209.0,197.0,201.95,206.4,1145167,,836232,0.7302,,,,,,,,,
2010-02-19,MAX,201.95,200.0,201.95,197.5,198.45,199.51,145620,,71493,0.49100000000000005,,,,,,,,,
2010-02-22,MAX,198.45,200.95,203.0,192.9,193.9,197.39,164539,,95534,0.5806,,,,,,,,,
2010-02-23,MAX,193.9,194.0,197.9,190.05,190.9,193.67,141202,,70734,0.5009,,,,,,,,,
2010-02-24,MAX,190.9,189.95,193.8,188.5,191.55,191.87,153446,,110144,0.7178,,,,,,,,,
2010-02-25,MAX,191.55,192.0,196.6,191.2,194.2,194.17,371367,,288493,0.7768,,,,,,,,,
2010-02-26,MAX,194.2,197.0,204.8,194.1,195.2,200.0,758482,,218787,0.28850000000000003,,,,,,,,,
2010-03-02,MAX,195.2,196.5,200.95,195.3,200.2,198.33,300689,,197938,0.6583,,,,,,,,,
2010-03-03,MAX,200.2,202.0,207.0,200.15,205.95,204.95,436281,,337897,0.7745000000000001,,,,,,,,,
2010-03-04,MAX,205.95,206.9,211.45,206.9,207.95,208.47,497754,,349231,0.7016,,,,,,,,,
2010-03-05,MAX,207.95,208.0,216.7,208.0,215.3,213.88,485220,,247027,0.5091,,,,,,,,,
2010-03-08,MAX,215.3,217.9,219.7,208.0,209.3,212.55,213297,,119594,0.5607,,,,,,,,,
2010-03-09,MAX,209.3,210.35,210.8,202.6,203.4,205.11,126659,,95532,0.7542,,,,,,,,,
2010-03-10,MAX,203.4,204.9,204.95,197.5,199.0,200.59,163577,,111090,0.6790999999999999,,,,,,,,,
2010-03-11,MAX,199.0,199.0,200.95,195.2,196.4,197.81,201263,,140388,0.6975,,,,,,,,,
2010-03-12,MAX,196.4,198.6,199.9,192.1,192.8,195.38,328935,,187574,0.5702,,,,,,,,,
2010-03-15,MAX,192.8,194.45,194.9,186.25,190.2,190.0,466618,,278248,0.5963,,,,,,,,,
2010-03-16,MAX,190.2,188.1,195.0,186.55,193.55,192.64,401258,,203686,0.5075999999999999,,,,,,,,,
2010-03-17,MAX,193.55,194.0,194.8,190.75,193.6,192.69,348618,,251692,0.7220000000000001,,,,,,,,,
2010-03-18,MAX,193.6,192.25,199.75,191.05,196.9,195.9,329652,,210196,0.6376,,,,,,,,,
2010-03-19,MAX,196.9,197.85,198.85,192.65,196.3,196.63,508560,,455461,0.8956000000000001,,,,,,,,,
2010-03-22,MAX,196.3,191.9,204.0,191.85,202.5,199.08,700100,,456056,0.6514,,,,,,,,,
2010-03-23,MAX,202.5,203.0,207.95,201.0,204.4,204.47,451133,,215835,0.47840000000000005,,,,,,,,,
2010-03-25,MAX,204.4,206.15,208.4,202.0,203.85,205.7,237557,,125107,0.5266,,,,,,,,,
2010-03-26,MAX,203.85,205.0,205.0,199.0,203.05,202.83,121845,,63706,0.5228,,,,,,,,,
2010-03-29,MAX,203.05,203.0,210.3,201.0,203.6,205.97,257291,,130183,0.506,,,,,,,,,
2010-03-30,MAX,203.6,204.95,208.7,204.0,206.6,206.08,129554,,84582,0.6529,,,,,,,,,
2010-03-31,MAX,206.6,208.5,209.7,206.0,207.2,207.23,138225,,92912,0.6722,,,,,,,,,
2010-04-01,MAX,207.2,208.8,217.95,208.05,216.9,214.3,389913,,180848,0.46380000000000005,,,,,,,,,
2010-04-05,MAX,216.9,217.0,219.9,209.2,213.0,211.86,238768,,118065,0.49450000000000005,,,,,,,,,
2010-04-06,MAX,213.0,214.8,218.5,213.0,213.9,215.75,167840,,103999,0.6196,,,,,,,,,
2010-04-07,MAX,213.9,215.35,222.9,214.1,218.0,218.11,1515663,,1313814,0.8668000000000001,,,,,,,,,
2010-04-08,MAX,218.0,215.0,219.45,213.1,216.45,216.3,441676,,358943,0.8127,,,,,,,,,
2010-04-09,MAX,216.45,217.85,220.9,217.0,219.85,219.78,322959,,250519,0.7757,,,,,,,,,
2010-04-12,MAX,219.85,217.05,218.8,214.5,216.65,216.37,1051046,,866827,0.8247,,,,,,,,,
2010-04-13,MAX,216.65,215.4,218.15,213.5,214.9,215.52,327214,,266077,0.8131999999999999,,,,,,,,,
2010-04-15,MAX,214.9,216.95,219.85,190.55,193.4,198.83,1544651,,991364,0.6418,,,,,,,,,
2010-04-16,MAX,193.4,193.0,197.9,176.2,184.85,184.46,6161352,,4496504,0.7298,,,,,,,,,
2010-04-19,MAX,184.85,183.9,187.9,175.65,181.5,179.7,1165312,,654878,0.562,,,,,,,,,
2010-04-20,MAX,181.5,185.95,191.95,184.0,190.1,187.31,1126137,,746514,0.6629,,,,,,,,,
2010-04-21,MAX,190.1,191.95,192.8,184.5,187.55,187.97,455864,,141279,0.3099,,,,,,,,,
2010-04-22,MAX,187.55,188.0,189.9,186.0,187.15,187.54,288841,,163251,0.5652,,,,,,,,,
2010-04-23,MAX,187.15,187.2,190.9,182.75,189.95,187.42,350685,,182708,0.521,,,,,,,,,
2010-04-26,MAX,189.95,190.05,192.4,184.0,184.7,186.86,393132,,239818,0.61,,,,,,,,,
2010-04-27,MAX,184.7,186.0,186.5,183.0,184.35,184.65,273576,,187884,0.6868000000000001,,,,,,,,,
2010-04-28,MAX,184.35,180.55,183.0,177.25,178.9,179.86,277922,,131325,0.47250000000000003,,,,,,,,,
2010-04-29,MAX,178.9,181.0,184.85,177.35,181.4,180.58,310810,,207039,0.6661,,,,,,,,,
2010-04-30,MAX,181.4,183.0,183.9,178.55,179.15,179.95,329790,,207525,0.6293,,,,,,,,,
2010-05-03,MAX,179.15,178.5,183.0,176.0,179.25,178.65,426005,,225056,0.5283,,,,,,,,,
2010-05-04,MAX,179.25,178.0,182.0,171.5,172.55,176.43,530026,,295762,0.5579999999999999,,,,,,,,,
2010-05-05,MAX,172.55,166.0,177.95,166.0,174.75,174.28,681132,,429687,0.6308,,,,,,,,,
2010-05-06,MAX,174.75,174.0,183.3,173.0,181.45,178.37,348634,,189049,0.5423,,,,,,,,,
2010-05-07,MAX,181.45,178.65,178.65,174.25,176.75,176.64,193410,,122721,0.6345000000000001,,,,,,,,,
2010-05-10,MAX,176.75,179.8,180.0,176.2,176.9,177.99,254324,,189930,0.7468000000000001,,,,,,,,,
2010-05-11,MAX,176.9,179.8,179.8,173.15,174.15,175.73,236311,,149855,0.6341,,,,,,,,,
2010-05-12,MAX,174.15,175.85,175.85,171.2,172.6,173.11,83065,,33743,0.4062,,,,,,,,,
2010-05-13,MAX,172.6,174.0,186.75,172.65,181.75,182.19,800575,,300711,0.37560000000000004,,,,,,,,,
2010-05-14,MAX,181.75,178.4,181.0,176.65,178.6,178.25,405846,,239713,0.5907,,,,,,,,,
2010-05-17,MAX,178.6,175.5,185.0,172.65,184.3,178.61,458587,,273985,0.5975,,,,,,,,,
2010-05-18,MAX,184.3,183.0,184.9,180.15,181.45,182.78,155825,,75935,0.48729999999999996,,,,,,,,,
2010-05-19,MAX,181.45,180.4,180.9,172.1,173.45,174.77,277396,,195350,0.7042,,,,,,,,,
2010-05-20,MAX,173.45,174.1,178.9,174.1,175.25,176.17,244609,,175256,0.7165,,,,,,,,,
2010-05-21,MAX,175.25,170.55,178.0,170.55,175.4,173.97,157048,,55785,0.3552,,,,,,,,,
2010-05-24,MAX,175.4,178.0,179.4,173.5,174.8,176.67,57479,,27426,0.4771,,,,,,,,,
2010-05-25,MAX,174.8,174.8,175.0,167.15,170.0,170.76,110998,,59854,0.5392,,,,,,,,,
2010-05-26,MAX,170.0,173.35,175.9,168.05,172.55,171.89,544390,,293377,0.5389,,,,,,,,,
2010-05-27,MAX,172.55,171.0,171.05,160.95,166.6,165.85,1192699,,502080,0.42100000000000004,,,,,,,,,
2010-05-28,MAX,166.6,169.0,169.0,160.55,162.75,162.41,1123567,,593493,0.5282,,,,,,,,,
2010-05-31,MAX,162.75,163.1,164.0,158.4,162.9,162.01,480117,,261404,0.5445000000000001,,,,,,,,,
2010-06-01,MAX,162.9,163.75,165.6,160.0,160.5,162.54,306243,,210266,0.6866,,,,,,,,,
2010-06-02,MAX,160.5,161.25,163.2,160.1,161.35,161.37,273528,,175002,0.6398,,,,,,,,,
2010-06-03,MAX,161.35,161.5,165.0,161.5,162.5,163.18,493611,,363995,0.7373999999999999,,,,,,,,,
2010-06-04,MAX,162.5,162.05,164.25,160.05,161.8,162.33,260109,,184870,0.7107,,,,,,,,,
2010-06-07,MAX,161.8,160.0,161.05,156.6,159.2,159.0,207705,,106922,0.5147999999999999,,,,,,,,,
2010-06-08,MAX,159.2,160.95,162.2,159.5,160.8,160.43,346786,,277266,0.7995000000000001,,,,,,,,,
2010-06-09,MAX,160.8,161.95,170.7,161.1,163.5,165.98,1032352,,463965,0.44939999999999997,,,,,,,,,
2010-06-10,MAX,163.5,164.5,166.9,162.6,164.65,164.1,355496,,255608,0.7190000000000001,,,,,,,,,
2010-06-11,MAX,164.65,164.05,165.95,161.5,162.05,162.39,536009,,447663,0.8351999999999999,,,,,,,,,
2010-06-14,MAX,162.05,163.7,164.4,161.05,162.45,162.83,250242,,156332,0.6247,,,,,,,,,
2010-06-15,MAX,162.45,163.8,163.8,161.1,161.8,161.99,352423,,288415,0.8184,,,,,,,,,
2010-06-16,MAX,161.8,164.0,165.2,161.0,161.75,162.53,285439,,141908,0.4972,,,,,,,,,
2010-06-17,MAX,161.75,162.75,164.5,160.55,161.85,161.78,843868,,677945,0.8034,,,,,,,,,
2010-06-18,MAX,161.85,163.0,168.2,161.0,164.35,165.3,2347608,,1650763,0.7031999999999999,,,,,,,,,
2010-06-21,MAX,164.35,171.0,176.9,166.25,168.2,173.06,3085434,,2020513,0.6548999999999999,,,,,,,,,
2010-06-22,MAX,168.2,168.0,168.95,165.8,166.85,167.72,1578940,,1334011,0.8449,,,,,,,,,
2010-06-23,MAX,166.85,167.5,167.9,162.8,163.95,164.47,1408347,,1262979,0.8968,,,,,,,,,
2010-06-24,MAX,163.95,164.0,167.5,162.6,163.45,165.01,308718,,157879,0.5114,,,,,,,,,
2010-06-25,MAX,163.45,164.8,165.0,160.3,161.15,162.28,360843,,251414,0.6967,,,,,,,,,
2010-06-28,MAX,161.15,162.45,165.85,160.1,165.15,164.01,597575,,395911,0.6625,,,,,,,,,
2010-06-29,MAX,165.15,163.0,165.0,156.5,156.9,159.84,814337,,555026,0.6816,,,,,,,,,
2010-06-30,MAX,156.9,165.5,165.5,151.6,153.75,154.85,860031,,606574,0.7053,,,,,,,,,
2010-07-01,MAX,153.75,154.4,158.05,154.3,156.45,156.59,793181,,522085,0.6581999999999999,,,,,,,,,
2010-07-02,MAX,156.45,158.0,159.4,156.35,158.35,158.53,517759,,314188,0.6068,,,,,,,,,
2010-07-05,MAX,158.35,156.0,158.85,155.0,157.9,157.64,118803,,65363,0.5502,,,,,,,,,
2010-07-06,MAX,157.9,158.45,159.5,155.65,156.0,157.35,143808,,71118,0.49450000000000005,,,,,,,,,
2010-07-07,MAX,156.0,156.1,157.65,154.6,154.8,155.89,142112,,80569,0.5669,,,,,,,,,
2010-07-08,MAX,154.8,156.0,158.2,142.4,155.1,155.75,239064,,128838,0.5389,,,,,,,,,
