Date,Symbol,Prev Close,Open,High,Low,Close,vwap,Volume,Trades,Deliverable Volume,%Deliverble,Z-ScoreDelVolume
2025-03-26,MGL,1365.5,1357.55,1374.5,1345.0,1348.3,1360.06,186757,12068,76650,41.04,-0.35
2025-03-25,MGL,1390.1,1396.0,1401.45,1359.55,1365.5,1374.87,230272,18377,78975,34.3,-0.34
2025-03-24,MGL,1380.0,1383.0,1407.4,1377.15,1390.1,1391.26,694701,20735,383419,55.19,0.47
2025-03-21,MGL,1369.7,1369.75,1392.95,1361.0,1380.0,1378.11,377834,19300,143128,37.88,-0.17
2025-03-20,MGL,1332.5,1355.0,1388.9,1344.1,1369.7,1372.81,777812,45765,154085,19.81,-0.14
2025-03-19,MGL,1323.9,1328.0,1346.3,1320.6,1332.5,1332.4,262260,16252,112009,42.71,-0.25
2025-03-18,MGL,1311.55,1313.95,1330.0,1312.6,1323.9,1321.37,144172,14143,55028,38.17,-0.4
2025-03-17,MGL,1285.95,1288.05,1326.0,1283.6,1311.55,1313.82,306214,20553,108359,35.39,-0.26
2025-03-13,MGL,1299.5,1295.0,1306.3,1280.5,1285.95,1289.67,156251,13399,52516,33.61,-0.41
2025-03-12,MGL,1287.9,1287.9,1301.8,1278.0,1299.5,1290.61,162129,13983,52313,32.27,-0.41
2025-03-11,MGL,1278.65,1261.0,1292.45,1242.3,1287.9,1271.57,316597,22290,101130,31.94,-0.28
2025-03-10,MGL,1284.0,1280.0,1307.9,1270.5,1278.65,1290.34,397855,25909,100270,25.2,-0.28
2025-03-07,MGL,1336.5,1325.15,1334.0,1271.3,1284.0,1292.65,959525,56057,241100,25.13,0.09
2025-03-06,MGL,1280.4,1303.95,1339.95,1285.35,1336.5,1323.71,818021,41175,319861,39.1,0.3
2025-03-05,MGL,1213.85,1216.7,1289.55,1216.7,1280.4,1270.15,464515,36354,101681,21.89,-0.28
2025-03-04,MGL,1235.4,1221.0,1229.6,1195.55,1213.85,1214.84,246010,20072,82072,33.36,-0.33
2025-03-03,MGL,1237.5,1260.0,1266.7,1216.35,1235.4,1238.84,454356,39899,177361,39.04,-0.08
2025-02-28,MGL,1311.3,1304.05,1309.95,1233.0,1237.5,1250.1,545196,33041,263410,48.31,0.15
2025-02-27,MGL,1319.2,1322.1,1329.65,1285.35,1311.3,1306.96,492186,32032,202919,41.23,-0.01
2025-02-25,MGL,1317.0,1305.0,1327.9,1304.15,1319.2,1316.92,268793,31769,133747,49.76,-0.2
2025-02-24,MGL,1334.45,1313.0,1324.1,1296.9,1317.0,1313.84,252892,26562,98691,39.02,-0.29
2025-02-21,MGL,1342.55,1332.55,1365.85,1325.75,1334.45,1340.77,312637,36311,121763,38.95,-0.23
2025-02-20,MGL,1293.65,1296.65,1347.95,1280.65,1342.55,1330.14,609148,38706,219451,36.03,0.03
2025-02-19,MGL,1301.4,1277.0,1307.5,1277.0,1293.65,1291.1,342911,22948,127209,37.1,-0.21
2025-02-18,MGL,1277.4,1277.8,1306.85,1269.0,1301.4,1290.39,499060,38906,66899,13.41,-0.37
2025-02-17,MGL,1239.6,1239.0,1281.0,1205.75,1277.4,1256.46,403177,26753,167244,41.48,-0.11
2025-02-14,MGL,1298.05,1299.45,1317.55,1225.95,1239.6,1248.27,385387,29226,129529,33.61,-0.21
2025-02-13,MGL,1301.85,1301.85,1318.0,1291.55,1298.05,1304.93,281419,36151,123610,43.92,-0.22
2025-02-12,MGL,1297.5,1291.15,1319.4,1256.05,1301.85,1292.89,407965,31996,168364,41.27,-0.1
2025-02-11,MGL,1331.15,1336.0,1338.0,1278.55,1297.5,1299.17,360490,27904,191249,53.05,-0.04
2025-02-10,MGL,1359.5,1355.55,1357.95,1322.4,1331.15,1333.97,284508,23773,123525,43.42,-0.22
2025-02-07,MGL,1342.05,1344.95,1363.0,1327.0,1359.5,1348.37,285625,18047,123991,43.41,-0.22
2025-02-06,MGL,1348.55,1352.0,1363.9,1322.0,1342.05,1339.02,252596,23089,91643,36.28,-0.31
